"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Celtis.occidentalis","Corylus","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Humulus.lupulus","Iva.annua","Iva.xanthifolia","Juglans","Juniperus.Thuja","Lamiaceae","Larix.laricina","Lycopodiaceae","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae.type","Pteridium.aquilinum","Quercus","Rosaceae","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia","Sparganium.type","Symphoricarpos.occidentalis","Thalictrum","Tilia.americana","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Xanthium"
1,-10,3,1,0,1,21,7,34,0,1,6,3,49,0,0,0,0,0,4,10,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,4,0,0,0,1,2,3,8,13,21,147,0,0,24,1,1,0,31,0,1,3,0,0,0,0,0,0,1,6,3,0,0,2
10,15,2,0,1,0,18,11,33,0,2,19,3,52,0,0,0,0,0,6,8,1,0,1,0,0,0,3,0,0,1,0,0,0,3,0,11,0,0,0,5,0,3,6,24,27,187,0,0,38,5,1,0,16,0,1,1,0,0,1,0,0,1,0,7,4,0,0,0
20,44,3,0,0,2,17,9,19,0,0,14,4,59,0,0,0,0,0,5,14,0,1,2,0,0,0,2,0,0,0,0,1,1,0,0,12,0,0,0,2,4,1,4,17,15,203,0,0,13,5,0,1,21,0,0,3,1,0,0,0,0,0,1,7,3,0,0,0
30,72,3,1,0,1,10,2,15,0,0,19,1,49,0,0,1,0,0,5,17,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,11,0,3,0,2,2,6,5,5,8,161,0,0,15,3,0,1,32,0,0,3,1,0,0,0,0,0,0,2,3,0,0,0
40,100,2,0,0,2,17,3,7,0,0,19,4,62,0,0,0,1,0,6,11,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,12,0,0,0,1,1,3,7,11,25,166,0,0,23,4,0,0,16,0,1,2,0,0,0,0,0,0,0,4,1,0,0,0
50,229,3,1,2,0,10,4,12,0,0,8,4,34,0,1,1,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,1,7,7,19,31,183,0,0,29,1,0,0,12,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0
60,357,1,0,1,0,12,2,8,0,0,10,1,46,0,0,0,0,0,4,10,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,8,1,0,0,5,0,7,17,20,41,196,0,0,47,0,0,0,16,0,1,3,0,0,0,0,1,0,0,2,3,1,0,0
70,485,2,0,0,0,16,2,6,0,0,6,2,32,0,0,0,0,0,1,10,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,10,0,0,0,1,1,5,7,23,45,192,0,0,50,1,0,0,20,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0
100,869,1,0,0,1,14,2,1,0,0,12,3,79,0,0,0,0,0,1,8,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,9,0,20,3,11,26,115,0,0,63,0,0,0,19,0,0,2,0,0,0,0,0,0,0,5,2,0,0,0
120,1125,2,0,0,4,26,1,3,0,1,10,3,62,0,0,2,0,0,3,13,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,9,1,0,0,8,0,9,3,6,10,153,0,0,149,3,0,1,25,0,0,0,1,0,1,0,1,0,0,5,4,0,0,0
140,1382,2,0,0,1,8,1,2,0,0,8,1,37,0,0,0,0,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,7,0,0,0,3,0,7,8,7,36,147,0,0,224,11,0,0,19,0,0,2,1,0,0,0,0,0,0,6,2,0,0,0
160,1638,0,0,0,1,10,4,2,0,0,12,0,44,0,0,0,0,0,5,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,9,0,0,0,14,0,2,0,5,29,185,0,0,14,1,0,0,13,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
180,1894,1,0,0,2,16,1,2,0,0,10,2,61,0,0,0,0,0,5,9,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,4,0,0,0,1,0,13,4,2,32,127,0,0,44,1,0,0,19,0,1,1,2,0,0,0,0,0,0,7,3,0,0,0
200,2150,0,0,0,2,5,2,3,0,0,4,1,50,0,0,1,1,0,2,7,0,0,1,0,0,0,4,2,0,0,0,0,0,1,0,6,0,0,0,2,0,13,2,3,19,134,0,0,56,1,0,0,51,0,0,0,1,0,1,0,0,1,1,6,1,0,0,0
210,2278,1,0,0,2,16,2,3,0,0,8,3,71,0,0,0,0,0,2,9,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,5,0,0,0,6,0,17,1,1,2,105,0,0,60,2,0,0,60,0,0,0,0,0,1,0,0,1,0,13,1,0,0,0
