"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Prunus.pensylvanica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Salix.undiff.","Acer.rubrum","Fraxinus.pennsylvanica.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Rosaceae.undiff.","Brassicaceae","Castanea.dentata","Tsuga.canadensis","Picea.glauca.type","Taxus","Plantago","Acer.pensylvanicum","Caryophyllaceae","Juglans.cinerea","Sambucus","Larix","Tilia","Amaranthaceae","Ephedra","Viburnum.opulus","Arceuthobium.pusillum","Viburnum.edule","Apiaceae","Salix.vestita.type","Onagraceae","Polygonaceae.undiff.","Shepherdia.canadensis","Liliaceae","Saxifraga.cernua.type","cf..Oxyria.digyna","Salix.herbacea.type","Populus.grandidentata.type","Rosaceae.cf..Prunus.serotina","Saxifraga.oppositifolia.type","Sanguisorba.canadensis","Oxytropis.maydelliana.type","Prunus.undiff.","Asteraceae.subf..Cichorioideae","Campanula.type","Rubus.chamaemorus","Koenigia.islandica","Armeria.maritima","cf..Sarcobatus.vermiculatus","Polygonum.undiff.","Polygonum.viviparum","Dryas","Rhamnus.Vitis","Viburnum.nudum"
0,0,0.0016750418760469,0.0569514237855946,0.0318257956448911,0.0150753768844221,0.0016750418760469,0.539363484087102,0.0016750418760469,0.0050251256281407,0.0067001675041876,0.0033500837520938,0.0016750418760469,0.0804020100502513,0.0184254606365159,0.0016750418760469,0.0033500837520938,0.0033500837520938,0.0016750418760469,0.0033500837520938,0.0033500837520938,0.0351758793969849,0.0804020100502513,0.0033500837520938,0.0016750418760469,0.0117252931323283,0.0033500837520938,0.0067001675041876,0.0100502512562814,0.0016750418760469,0.0117252931323283,0.0033500837520938,0.0469011725293132,0.0033500837520938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,441,0,0.0461049284578696,0.0206677265500795,0.00317965023847377,0,0.503974562798092,0.00635930047694754,0.00158982511923688,0.0206677265500795,0.00317965023847377,0,0.09697933227345,0.0540540540540541,0,0.00476947535771065,0.014308426073132,0.00317965023847377,0.0111287758346582,0.00158982511923688,0.00635930047694754,0.0461049284578696,0.00158982511923688,0,0.00476947535771065,0,0.0095389507154213,0.0190779014308426,0,0,0.00476947535771065,0.0874403815580286,0,0.00158982511923688,0.00158982511923688,0.00158982511923688,0.00158982511923688,0.00158982511923688,0.00317965023847377,0.00158982511923688,0.00317965023847377,0.0127186009538951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,911,0,0.0990415335463259,0.0191693290734824,0,0.00479233226837061,0.522364217252396,0.00798722044728434,0.00159744408945687,0.0143769968051118,0.00319488817891374,0,0.0814696485623003,0.0111821086261981,0,0,0.00638977635782748,0,0.00479233226837061,0,0.00638977635782748,0.0654952076677316,0.00479233226837061,0,0.0175718849840256,0.00159744408945687,0.0111821086261981,0.0271565495207668,0,0,0,0.0686900958466454,0.00159744408945687,0,0.00159744408945687,0,0,0,0.00159744408945687,0,0,0.0143769968051118,0.00159744408945687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1833,0,0.0609375,0.0109375,0,0,0.4953125,0.003125,0,0.015625,0.0046875,0,0.0578125,0.134375,0,0.003125,0.015625,0,0.0046875,0.0015625,0.00625,0.028125,0.0109375,0,0,0.0015625,0.0125,0.05,0,0.0015625,0.009375,0.059375,0,0.0015625,0.0046875,0,0,0,0,0,0,0.003125,0,0.0015625,0.0015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2764,0,0.045346062052506,0.0155131264916468,0.00119331742243437,0.0035799522673031,0.515513126491647,0.0035799522673031,0,0.0178997613365155,0.0035799522673031,0,0.0823389021479714,0.0322195704057279,0,0,0.00835322195704057,0.00119331742243437,0.00477326968973747,0.00119331742243437,0.00596658711217184,0.0704057279236277,0.0143198090692124,0,0.00477326968973747,0,0.013126491646778,0.0596658711217184,0.00119331742243437,0,0,0.0704057279236277,0,0.0035799522673031,0.0035799522673031,0.00119331742243437,0,0,0,0,0,0.00835322195704057,0.00119331742243437,0,0,0.00119331742243437,0.00238663484486874,0.00119331742243437,0.00119331742243437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3937,0,0.055441478439425,0.00513347022587269,0,0.00102669404517454,0.575975359342916,0.00205338809034908,0,0.0164271047227926,0.00513347022587269,0.00102669404517454,0.0770020533880904,0.026694045174538,0,0.00205338809034908,0.0123203285420945,0.00102669404517454,0.00513347022587269,0,0.00718685831622177,0.053388090349076,0.0082135523613963,0.00102669404517454,0.0102669404517454,0.00205338809034908,0.00924024640657084,0.068788501026694,0,0,0.00205338809034908,0.0349075975359343,0.00102669404517454,0,0.00102669404517454,0,0,0.00102669404517454,0.00102669404517454,0.00102669404517454,0,0.00308008213552361,0,0.00308008213552361,0,0.00102669404517454,0,0,0,0.00205338809034908,0.00102669404517454,0.00102669404517454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5107,0,0.0630517023959647,0.0239596469104666,0.00252206809583859,0.00126103404791929,0.593947036569987,0.00504413619167718,0,0.00756620428751576,0.00630517023959647,0,0.0769230769230769,0.0189155107187894,0,0.00126103404791929,0.0163934426229508,0,0.00882723833543506,0,0.00126103404791929,0.0441361916771753,0.00504413619167718,0,0.00756620428751576,0.00252206809583859,0.00504413619167718,0.0453972257250946,0,0,0,0.0491803278688525,0.00126103404791929,0,0,0,0,0,0,0,0,0.00504413619167718,0.00126103404791929,0.00378310214375788,0,0,0,0,0,0,0.00126103404791929,0,0.00126103404791929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6251,0.0014367816091954,0.0373563218390805,0.0186781609195402,0,0,0.566091954022989,0.0028735632183908,0,0.00574712643678161,0.00574712643678161,0,0.0732758620689655,0.0316091954022989,0,0.00431034482758621,0.00862068965517241,0,0.0028735632183908,0,0,0.0474137931034483,0.00862068965517241,0,0.00862068965517241,0,0.0186781609195402,0.0977011494252874,0,0,0.0014367816091954,0.0158045977011494,0,0,0.0028735632183908,0,0,0,0.0014367816091954,0,0,0.0272988505747126,0,0.00574712643678161,0,0.0014367816091954,0,0,0,0.0028735632183908,0,0,0,0.0014367816091954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6823,0,0.0260869565217391,0.0243478260869565,0,0.00173913043478261,0.601739130434783,0.00695652173913044,0.00347826086956522,0.00521739130434783,0.00695652173913044,0,0.0330434782608696,0.0573913043478261,0,0.00521739130434783,0.00695652173913044,0,0.0104347826086957,0,0.00173913043478261,0.0347826086956522,0.00695652173913044,0,0,0,0.0434782608695652,0.0834782608695652,0,0,0,0.0260869565217391,0,0,0,0,0,0,0,0,0,0.00695652173913044,0,0.00521739130434783,0.00173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7461,0,0.00630417651694247,0.0197005516154452,0.00078802206461781,0.00157604412923562,0.610717100078802,0.00709219858156028,0.00315208825847124,0.00315208825847124,0.00945626477541371,0.00078802206461781,0.0464933018124507,0.0283687943262411,0,0.00315208825847124,0.0173364854215918,0.00078802206461781,0.00709219858156028,0,0.00472813238770686,0.0283687943262411,0.00315208825847124,0.00236406619385343,0.00394011032308905,0.00236406619385343,0.0133963750985028,0.112687155240347,0.00078802206461781,0,0,0.0378250591016548,0.00315208825847124,0.00157604412923562,0.00157604412923562,0,0,0,0,0,0,0.0149724192277384,0,0.00157604412923562,0,0.00078802206461781,0,0,0,0.00078802206461781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,8365,0.0020703933747412,0.0082815734989648,0.0331262939958592,0,0,0.579710144927536,0.0020703933747412,0.0041407867494824,0.0020703933747412,0.0062111801242236,0.0020703933747412,0.0434782608695652,0.0703933747412008,0,0.0062111801242236,0.0124223602484472,0.0020703933747412,0.010351966873706,0.0020703933747412,0,0.0393374741200828,0.0020703933747412,0,0,0,0.0186335403726708,0.0807453416149068,0,0,0,0.0393374741200828,0,0,0,0,0,0,0,0,0,0.010351966873706,0,0.010351966873706,0.0020703933747412,0,0,0,0,0.0082815734989648,0,0,0,0,0.0020703933747412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,9268,0,0.0203784570596798,0.0829694323144105,0,0,0.512372634643377,0.00291120815138282,0.00291120815138282,0,0.00873362445414847,0,0.0480349344978166,0.0378457059679767,0.00291120815138282,0.0174672489082969,0.0262008733624454,0.00291120815138282,0.0116448326055313,0.00145560407569141,0.00582241630276565,0.0553129548762737,0.00145560407569141,0.00145560407569141,0.00873362445414847,0.00727802037845706,0.0320232896652111,0.0655021834061135,0,0,0.00291120815138282,0.0262008733624454,0.00582241630276565,0,0,0,0,0,0,0,0,0,0,0.00145560407569141,0,0,0,0.00145560407569141,0,0.00145560407569141,0,0.00436681222707424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
