"sample.depths","sample.ages","Acer.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Populus","Poaceae","Plantago","Rosaceae","Acer.rubrum","Iva.xanthifolia.type","Larix","Vitis","Iva.annua.type","Cannabaceae","Acer.saccharum.type","Sarcobatus.vermiculatus","Thalictrum","Abies","Impatiens","Urticaceae","Celtis","Pinus.subg..Pinus","Pinus.subg..Strobus","Ericaceae","Ranunculaceae.undiff.","Shepherdia.canadensis"
1,3,0.026615969581749,0.218631178707224,0.00760456273764259,0.0551330798479087,0.0133079847908745,0.00190114068441065,0.00380228136882129,0.00190114068441065,0.0342205323193916,0.0722433460076046,0.00380228136882129,0.0114068441064639,0.0152091254752852,0.00570342205323194,0.0190114068441065,0.00190114068441065,0.0209125475285171,0.00950570342205323,0.104562737642586,0.00570342205323194,0.131178707224335,0.00190114068441065,0.05893536121673,0.00380228136882129,0.00760456273764259,0.0114068441064639,0.0665399239543726,0.00570342205323194,0.00760456273764259,0.00380228136882129,0.0608365019011407,0.00570342205323194,0.00190114068441065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,0.0542797494780793,0.189979123173278,0.00835073068893528,0.0250521920668058,0.0167014613778706,0.00626304801670146,0.00208768267223382,0.00208768267223382,0.0480167014613779,0.058455114822547,0.0125260960334029,0.0125260960334029,0.0250521920668058,0.00417536534446764,0,0,0.0167014613778706,0.00417536534446764,0.093945720250522,0.00626304801670146,0.164926931106472,0,0.0313152400835073,0.0104384133611691,0.00835073068893528,0.0167014613778706,0.0501043841336117,0.00208768267223382,0.00208768267223382,0.00417536534446764,0.108559498956159,0,0,0.00208768267223382,0.00417536534446764,0.00417536534446764,0.00417536534446764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,55,0.0561797752808989,0.17752808988764,0.00674157303370787,0.0382022471910112,0.0269662921348315,0.00898876404494382,0,0.00449438202247191,0.0314606741573034,0.051685393258427,0.0134831460674157,0.0112359550561798,0.0247191011235955,0.00449438202247191,0.00224719101123596,0.00224719101123596,0.0134831460674157,0.00224719101123596,0.0741573033707865,0.00224719101123596,0.208988764044944,0,0.0247191011235955,0.00898876404494382,0.00898876404494382,0.0134831460674157,0.0539325842696629,0.00224719101123596,0.00674157303370787,0.00898876404494382,0.0921348314606742,0.00224719101123596,0,0.00224719101123596,0.00674157303370787,0.00674157303370787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,82,0.0744274809160305,0.148854961832061,0.00381679389312977,0.0381679389312977,0.00763358778625954,0.00572519083969466,0,0.00190839694656489,0.0190839694656489,0.0477099236641221,0.0248091603053435,0.00572519083969466,0.0438931297709924,0.00381679389312977,0,0,0.0114503816793893,0,0.083969465648855,0.00572519083969466,0.16030534351145,0.049618320610687,0.0267175572519084,0.00381679389312977,0.0114503816793893,0.0286259541984733,0.0458015267175573,0.00572519083969466,0.00381679389312977,0.0267175572519084,0.083969465648855,0.00954198473282443,0.00572519083969466,0.00381679389312977,0,0.00190839694656489,0,0.00572519083969466,0,0,0,0,0,0,0,0,0,0,0,0,0
40,110,0.0524691358024691,0.0864197530864197,0,0.0555555555555556,0.00925925925925926,0.00925925925925926,0,0,0,0.185185185185185,0.0493827160493827,0.00925925925925926,0.058641975308642,0,0,0,0.0216049382716049,0.00308641975308642,0.111111111111111,0,0.185185185185185,0,0.00925925925925926,0.00925925925925926,0.00925925925925926,0.00308641975308642,0.058641975308642,0.00308641975308642,0.00617283950617284,0,0.0648148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,137,0.0482233502538071,0.0380710659898477,0.0126903553299492,0.0558375634517767,0.0203045685279188,0,0,0.0050761421319797,0.0152284263959391,0.116751269035533,0.0177664974619289,0.00761421319796954,0.0253807106598985,0.00253807106598985,0,0,0.0177664974619289,0.00253807106598985,0.116751269035533,0.0101522842639594,0.230964467005076,0.0126903553299492,0.0050761421319797,0.0152284263959391,0.0101522842639594,0.0126903553299492,0.0964467005076142,0,0.0050761421319797,0.0050761421319797,0.0812182741116751,0,0,0.0050761421319797,0,0.0050761421319797,0,0,0.00253807106598985,0,0,0,0,0,0,0,0,0,0,0,0
60,263,0.0728862973760933,0.0145772594752187,0,0.0349854227405248,0.0291545189504373,0.00583090379008746,0,0.00583090379008746,0.00583090379008746,0.142857142857143,0,0.0204081632653061,0.0204081632653061,0.00291545189504373,0,0,0.0408163265306122,0.00291545189504373,0.166180758017493,0.00291545189504373,0.24198250728863,0,0.0233236151603499,0.00583090379008746,0.0116618075801749,0.0087463556851312,0.0787172011661808,0,0.00583090379008746,0,0.0233236151603499,0,0,0,0,0.0204081632653061,0,0,0,0.00583090379008746,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0,0
70,489,0.0493827160493827,0.00617283950617284,0.0185185185185185,0.0462962962962963,0.0216049382716049,0,0,0.0154320987654321,0.00925925925925926,0.135802469135802,0.0246913580246914,0.0154320987654321,0.0401234567901235,0,0,0,0.0462962962962963,0.0154320987654321,0.132716049382716,0.0154320987654321,0.212962962962963,0,0.0154320987654321,0.00308641975308642,0.0401234567901235,0.00617283950617284,0.095679012345679,0,0.00308641975308642,0.00925925925925926,0.0123456790123457,0,0,0,0,0.00617283950617284,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0,0
80,715,0.0569620253164557,0.00949367088607595,0.0126582278481013,0.0443037974683544,0.0284810126582278,0,0,0.00632911392405063,0.0158227848101266,0.142405063291139,0.0221518987341772,0.00949367088607595,0.0316455696202532,0.00316455696202532,0.00316455696202532,0,0.069620253164557,0.00949367088607595,0.0727848101265823,0.0126582278481013,0.322784810126582,0,0,0.00316455696202532,0.00316455696202532,0.00316455696202532,0.10126582278481,0,0,0.00632911392405063,0,0,0,0.00316455696202532,0,0.00632911392405063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,940,0.111111111111111,0.0113960113960114,0.00854700854700855,0.0484330484330484,0.0284900284900285,0,0,0.00284900284900285,0.0113960113960114,0.0655270655270655,0.0142450142450142,0.00854700854700855,0.0227920227920228,0,0.0056980056980057,0,0.0398860398860399,0,0.094017094017094,0.0284900284900285,0.301994301994302,0.0170940170940171,0.0199430199430199,0.00854700854700855,0.0170940170940171,0.00284900284900285,0.0883190883190883,0,0.00854700854700855,0.0056980056980057,0.00854700854700855,0,0,0.0056980056980057,0,0.0056980056980057,0.00284900284900285,0,0,0,0,0,0.00284900284900285,0.00284900284900285,0,0,0,0,0,0,0
