"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Poaceae","Acer.saccharum","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Fagus","Ulmus","Myrica","Populus","Fraxinus.nigra","Cupressaceae","Salix","Carya","Corylus","Fraxinus.undiff.","Juglans.cinerea","Fraxinus.americana","Acer.rubrum","Ilex.Nemopanthus","Arceuthobium","Sarcobatus.vermiculatus","Iva.annua","Platanus","Tilia","Juglans.nigra","Rosaceae","Celtis","Shepherdia.canadensis","Onagraceae"
1,10,300,2,1,32,3,2,1,1,1,22,3,1,1,6,12,1,2,158,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,403,300,2,3,58,0,2,1,4,4,21,9,1,0,10,2,1,0,120,51,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,816,300,5,0,59,0,2,1,2,1,17,15,3,0,11,2,1,1,119,48,4,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1226,302,3,2,78,0,2,0,4,0,11,10,1,1,9,5,1,4,113,46,3,0,1,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,1631,301,2,2,73,0,7,2,1,1,18,8,5,1,12,1,1,1,75,79,1,2,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2031,301,5,0,42,0,3,0,0,1,25,6,1,0,12,1,2,2,99,93,2,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2423,302,1,0,52,0,2,2,4,0,18,7,1,1,6,0,4,2,100,94,1,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2806,302,2,0,61,0,2,1,0,1,15,7,1,0,5,1,3,0,105,79,1,5,2,2,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,3178,300,2,1,73,1,1,0,2,3,5,11,1,0,23,0,0,4,72,90,2,4,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
180,3543,300,3,0,43,0,0,0,0,1,8,3,0,0,13,0,0,1,92,125,3,1,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,3906,303,2,0,75,1,2,1,0,2,11,8,0,2,10,1,0,3,35,121,2,4,0,0,3,14,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0
220,4276,301,1,2,59,0,0,1,4,0,4,9,1,1,13,1,1,1,56,128,2,4,0,3,0,6,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
240,4658,302,1,0,62,0,1,0,3,0,6,22,0,0,11,3,1,0,49,125,1,3,1,0,2,7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5060,300,0,1,40,0,3,0,0,4,2,12,4,1,48,1,0,1,89,85,1,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5487,301,0,1,37,1,1,0,2,3,7,13,4,0,16,1,1,2,69,117,1,8,3,0,1,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
300,5948,301,1,2,32,1,1,0,3,3,5,12,0,0,14,1,1,0,130,79,3,4,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0
320,6449,303,2,0,20,1,2,1,3,2,3,12,1,0,12,2,1,2,89,123,3,6,1,1,2,6,0,0,0,3,0,1,0,1,0,0,0,1,0,1,1,0,0,0
340,6997,303,1,0,40,3,5,0,2,2,4,18,0,0,15,0,1,1,98,90,4,3,4,1,2,1,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,0
360,7599,300,2,1,21,2,1,1,0,0,5,9,0,1,8,3,1,1,71,158,2,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,8260,301,7,1,23,2,0,0,2,1,11,7,1,0,4,0,0,2,171,55,0,5,3,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,8957,231,1,1,52,0,1,0,2,3,6,10,0,0,26,2,5,0,106,5,0,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,9640,302,4,2,28,0,2,0,1,1,13,14,0,0,5,1,1,0,212,6,0,3,4,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
440,10273,301,0,2,64,0,3,0,3,2,29,7,0,2,1,3,2,2,157,12,0,4,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
460,NA,305,0,4,81,2,1,0,7,4,95,6,0,0,0,4,0,0,77,0,0,7,2,1,5,2,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0
480,NA,305,0,5,37,1,5,1,7,7,115,28,3,2,0,3,0,0,40,0,0,8,19,0,4,8,3,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,305,0,5,22,0,0,0,6,10,156,22,1,1,2,2,2,0,37,2,0,10,1,6,5,5,0,1,0,5,1,0,0,0,0,1,0,0,0,0,2,0,0,0
520,NA,311,0,13,13,3,2,0,0,11,110,34,1,2,1,5,2,1,61,7,0,16,0,2,11,1,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,2,0
540,NA,300,0,5,17,0,3,0,0,2,16,16,1,0,1,2,3,1,226,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
