"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Populus.undiff.","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Iva.xanthifolia","Plantago","Potentilla","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Sarcobatus.vermiculatus","Vitis","Humulus","Acer.saccharum","Rubiaceae","Ostrya","Tilia","Tsuga","Populus.tremuloides.type","Iva.annua","Apiaceae","Carya","Juniperus.type","Juglans.cinerea","Taxus","Juglans.undiff.","Urticaceae","Populus.balsamifera","Epilobium","Platanus","Xanthium","Lamiaceae","Ephedra.trifurca.type","Dalea.purpurea","Thalictrum","Fraxinus.pennsylvanica","Polygonum","Juglans.nigra","Rhus","Castanea","Ranunculus","Ephedra.viridis.type","Brassicaceae","Asteraceae.subf..Cichorioideae","Zanthoxylum","Parthenocissus","Comptonia.peregrina","Viburnum","Fabaceae.undiff.","Cornus"
105,18,0.00852878464818763,0.00213219616204691,0.00213219616204691,0.0149253731343284,0.127931769722815,0.0447761194029851,0.00852878464818763,0.00639658848614072,0.00213219616204691,0.00213219616204691,0.0106609808102345,0.00639658848614072,0.0127931769722814,0.0191897654584222,0.0874200426439232,0.00213219616204691,0.0724946695095949,0.0106609808102345,0.0106609808102345,0.00426439232409382,0.0127931769722814,0.0511727078891258,0.155650319829424,0.00213219616204691,0.0874200426439232,0.00213219616204691,0.00213219616204691,0.00213219616204691,0.0405117270788913,0.187633262260128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,54,0.00867052023121387,0.00289017341040462,0,0.00867052023121387,0.138728323699422,0.00867052023121387,0.00578034682080925,0.0173410404624277,0,0,0.00867052023121387,0.00578034682080925,0.0202312138728324,0.0173410404624277,0.127167630057803,0,0.0375722543352601,0,0.00289017341040462,0.00289017341040462,0.00289017341040462,0.0491329479768786,0.0722543352601156,0,0.0664739884393064,0,0,0,0.046242774566474,0.329479768786127,0.00289017341040462,0.00289017341040462,0.00289017341040462,0.00289017341040462,0.00289017341040462,0.00578034682080925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,117,0.0257879656160458,0,0,0.00573065902578797,0.183381088825215,0.00286532951289398,0.00286532951289398,0.0114613180515759,0.00286532951289398,0,0.00286532951289398,0.00573065902578797,0.00286532951289398,0.0114613180515759,0.131805157593123,0.00286532951289398,0.0429799426934097,0,0.00286532951289398,0,0.00859598853868195,0.0143266475644699,0.00859598853868195,0,0.0114613180515759,0.00286532951289398,0,0,0.0401146131805158,0.461318051575931,0,0,0,0.00859598853868195,0,0,0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,208,0.0228571428571429,0,0,0.00285714285714286,0.0857142857142857,0,0,0.0171428571428571,0.00857142857142857,0,0,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.128571428571429,0,0.0228571428571429,0,0,0,0,0.0257142857142857,0.00857142857142857,0.00285714285714286,0.0114285714285714,0.00285714285714286,0,0,0.06,0.551428571428571,0,0,0,0,0,0.00285714285714286,0,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,300,0.0114942528735632,0,0,0.00862068965517241,0.132183908045977,0,0,0.0114942528735632,0,0,0,0.00574712643678161,0.0114942528735632,0.028735632183908,0.114942528735632,0,0.0258620689655172,0,0,0,0,0.0431034482758621,0.0114942528735632,0,0.00862068965517241,0,0,0,0.114942528735632,0.459770114942529,0.0028735632183908,0,0,0,0,0,0.0028735632183908,0,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,391,0.0229885057471264,0,0,0,0.112068965517241,0,0,0.0172413793103448,0,0,0.0028735632183908,0.0114942528735632,0.0172413793103448,0.0114942528735632,0.132183908045977,0,0.028735632183908,0,0,0.00862068965517241,0.0028735632183908,0.0373563218390805,0.0172413793103448,0,0.0114942528735632,0,0,0,0.0431034482758621,0.511494252873563,0.0028735632183908,0,0,0.0028735632183908,0,0,0,0,0,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,528,0.0401146131805158,0.00286532951289398,0,0.0114613180515759,0.134670487106017,0.00286532951289398,0,0.0143266475644699,0,0,0.00859598853868195,0.00286532951289398,0.00573065902578797,0.0171919770773639,0.126074498567335,0,0.0315186246418338,0,0,0,0.00859598853868195,0.0257879656160458,0.0114613180515759,0,0.00573065902578797,0,0,0,0.0659025787965616,0.472779369627507,0,0,0,0,0,0.00286532951289398,0.00573065902578797,0,0,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,619,0.0200573065902579,0,0,0.00573065902578797,0.143266475644699,0.00286532951289398,0.00573065902578797,0.0229226361031519,0,0,0,0.00286532951289398,0.0143266475644699,0.0286532951289398,0.114613180515759,0,0.0372492836676218,0,0.00286532951289398,0.00286532951289398,0,0.0716332378223496,0.00859598853868195,0,0.00573065902578797,0,0,0,0.100286532951289,0.401146131805158,0,0,0,0,0,0.00286532951289398,0.00286532951289398,0,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,710,0.0171428571428571,0,0,0.0142857142857143,0.142857142857143,0.00857142857142857,0.00285714285714286,0.00857142857142857,0.00285714285714286,0,0.0114285714285714,0.0114285714285714,0.0171428571428571,0.00857142857142857,0.134285714285714,0.00285714285714286,0.0514285714285714,0,0.00285714285714286,0.00857142857142857,0,0.02,0.00857142857142857,0,0.00857142857142857,0,0,0,0.0314285714285714,0.471428571428571,0,0,0,0,0,0.00571428571428571,0,0.00285714285714286,0,0,0,0.00285714285714286,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,801,0,0.00222222222222222,0.00222222222222222,0.00888888888888889,0.0666666666666667,0.00222222222222222,0,0.0133333333333333,0.00444444444444444,0,0.0111111111111111,0,0.00888888888888889,0.00666666666666667,0.104444444444444,0,0.0377777777777778,0,0,0.00222222222222222,0.00666666666666667,0.00444444444444444,0.00888888888888889,0,0.00444444444444444,0,0,0,0.0422222222222222,0.648888888888889,0,0,0,0,0,0.00666666666666667,0.00222222222222222,0,0,0.00222222222222222,0,0,0,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,892,0.00864553314121038,0,0,0.0115273775216138,0.132564841498559,0.00576368876080692,0,0.0201729106628242,0,0,0,0.00288184438040346,0.0115273775216138,0.0259365994236311,0.118155619596542,0,0.0288184438040346,0,0.00288184438040346,0,0,0.0115273775216138,0.0115273775216138,0,0.0230547550432277,0.00576368876080692,0,0,0.100864553314121,0.461095100864553,0,0,0,0.00576368876080692,0,0.00576368876080692,0.00288184438040346,0,0,0,0,0,0,0,0.00288184438040346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
