"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Populus","Poaceae","Carya","Cyperaceae","Herbs.undiff.","Ranunculaceae.undiff.","Artemisia","Amaranthaceae","Thalictrum","Tilia","Cornus","Lamiaceae","Caprifoliaceae","Rosaceae.undiff.","Polygonum","Juglans","Apiaceae","Onagraceae","Rhamnaceae","Campanulaceae","Caryophyllaceae","Potentilla.type","Shepherdia","Galium","Plantago","Dryas.type","Fabaceae"
0,0,275,8,6,101,1,2,1,1,6,1,3,3,29,9,1,2,24,1,1,21,3,1,3,34,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,62,608,9,5,192,0,2,2,4,51,0,5,0,73,15,7,1,52,0,1,26,10,5,9,105,5,24,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,104,369,5,2,133,0,0,1,1,17,0,0,2,64,6,5,1,19,0,2,19,4,3,8,48,1,22,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,297,433,8,2,186,1,0,8,4,32,0,2,2,23,9,5,0,54,0,0,16,2,4,1,47,3,19,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,489,690,11,0,232,2,1,1,3,61,0,3,0,76,17,1,2,95,2,4,11,6,8,5,144,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,682,684,6,0,240,0,2,3,7,79,0,3,2,42,13,0,0,125,1,4,14,12,7,2,117,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,875,577,7,0,241,0,0,3,2,64,0,0,1,18,11,0,1,90,0,0,9,11,2,3,109,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1068,506,10,0,196,0,0,6,1,55,0,2,2,17,13,0,0,89,0,5,2,6,4,6,83,4,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1261,536,3,0,186,0,1,0,4,49,1,2,1,19,13,0,0,133,0,3,7,5,7,3,96,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1453,385,3,0,140,0,0,5,1,28,0,1,5,8,9,0,0,73,0,2,7,2,4,1,87,2,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1646,415,4,0,192,0,0,6,4,24,0,4,1,9,13,0,0,71,1,5,5,7,8,2,55,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1839,374,2,0,141,0,0,6,0,40,0,1,4,10,3,0,0,97,0,2,2,6,6,2,49,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2032,609,7,0,203,0,1,0,3,53,0,4,0,12,17,0,1,181,0,2,8,4,2,5,104,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
