"sample.depths","sample.ages","Abies","Acer","Alnus","Ambrosia","Apiaceae","Artemisia","Asteraceae..low.spine.","Betula","Brasenia.schreberi","Caryophyllaceae","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus","Hypericum","Ilex","Indeterminable","Isoëtes","Larix","Lycopodium.spike..number.counted.","Morus","Myrica","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Quercus","Rosaceae.trees","Sagittaria","Salix","Sambucus","Sphagnum","Spore..trilete.","Tilia","Tsuga","Typha","Ulmus","Unknown","Utricularia","Brassicaceae","Rumex","Asteraceae..high.spine.","Juglans","Carya","Asteraceae.subf..Asteroideae.undiff.","Plantago","Rhus","Thalictrum","Lycopodium.tablets..concentration..grains.tablet."
10,-2,0,3,4,53,0,0,1,64,0,2,2,1,0,0,8,1,4,0,13,0,0,120,7,55,0,0,160,0,5,0,0,0,0,3,0,0,1,24,0,19,42,0,0,0,0,24,0,0,1,0,5,5,0,29,1,1,0,0,0,0,0,0,54000
70,249,0,3,7,6,0,0,4,55,0,1,2,4,1,0,4,1,2,5,3,8,0,54,3,47,0,0,170,0,5,0,2,0,0,0,0,0,0,28,0,16,72,0,5,0,0,19,0,0,5,3,4,5,0,4,0,3,2,2,1,1,0,0,54000
181,5717,0,1,6,0,0,0,0,20,10,0,2,30,0,0,6,3,10,2,2,25,3,7,0,25,0,0,48,0,0,0,12,0,1,0,0,0,3,28,1,187,162,0,3,13,0,2,0,0,16,6,4,5,0,3,0,9,0,4,0,0,0,0,54000
210,7145,0,11,8,2,0,2,0,27,3,0,0,23,0,0,5,0,5,0,0,23,0,1,3,36,0,0,72,1,4,0,33,0,0,0,0,1,0,11,0,108,168,0,2,0,0,0,0,0,21,2,3,6,0,2,0,15,0,4,0,0,1,1,54000
250,9115,0,6,18,5,0,0,22,38,2,0,0,1,0,0,7,0,1,0,4,8,2,10,0,34,0,0,32,0,7,0,5,0,1,0,0,1,1,27,0,53,105,0,6,0,1,8,0,0,8,5,2,2,0,0,0,0,0,0,0,0,0,0,54000
260,9608,0,0,19,11,1,0,21,33,4,0,0,0,1,0,5,2,5,1,1,5,3,8,0,100,0,0,69,0,6,0,2,1,1,0,0,0,2,38,0,34,116,0,13,0,0,7,1,0,9,17,1,7,1,0,0,0,0,0,0,0,0,0,54000
270,10101,0,2,29,6,0,0,9,44,2,0,0,0,0,2,10,1,73,5,0,0,1,12,1,31,0,1,19,0,11,0,0,0,4,2,0,17,11,80,0,101,112,0,7,3,0,17,8,0,9,15,1,6,0,0,0,0,0,0,0,0,0,0,54000
280,10593,1,1,7,3,0,0,8,41,0,1,1,0,1,0,4,0,45,4,2,1,0,27,1,31,0,0,13,1,7,0,0,2,2,2,14,3,31,69,1,31,61,0,2,0,0,25,7,0,5,22,1,0,1,0,0,0,0,0,0,0,0,0,54000
290,11086,1,1,16,1,0,0,4,62,1,0,1,0,0,0,12,3,31,1,18,0,1,9,1,24,0,0,7,0,7,1,0,1,1,9,15,0,75,58,1,8,48,0,2,0,0,54,14,1,6,5,2,1,0,0,0,0,0,0,0,0,0,0,54000
312,11476,2,0,22,0,0,1,0,16,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,10,13,0,48,2,27,7,0,0,6,42,22,0,5,4,0,1,1,1,0,1,0,3,8,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,54000
320,11618,9,0,16,3,0,0,0,43,0,0,0,0,0,0,6,1,5,0,1,0,2,0,2,17,31,1,82,1,25,5,0,0,7,128,32,0,6,4,1,6,6,1,0,0,0,5,9,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,54000
