"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Elaeagnaceae.undiff.","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Juglans","Lamiaceae","Larix","Lycopodium.type","Myrica","Ostrya.type","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Pteridium","Quercus","Ranunculaceae","Rhamnaceae","Rosaceae","Rubiaceae","Rumex","Salix","Shepherdia.canadensis","Sphagnum","Tilia","Tsuga","Ulmus","Unknown","Urticaceae","Vitaceae"
55,1517,3,0,14,18,2,1,3,0,0,99,4,1,0,0,2,0,0,0,0,3,0,1,2,0,0,5,2,0,2,0,263,21,15,72,0,1,0,4,0,0,4,0,0,0,0,0,1,0,22,0,1,1,0,0,0
60,1577,0,1,21,5,0,2,1,1,0,100,0,0,0,0,0,0,2,0,0,6,0,1,1,0,0,1,0,0,0,0,274.5,22,12,90.5,0,1,0,1,0,0,6,1,0,0,0,0,1,0,22,0,0,4,0,0,0
65,1636,3,1,12,5,0,1,0,4,0,108,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,2,1,0,0,0,184,15,15,49.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,20,0,1,1,0,0,0
70,1695,0,0,15,4,0,0,0,1,0,121,0,0,0,0,0,0,1,0,0,7,0,2,1,0,0,3,3,0,0,0,290.5,10,4,54.5,0,1,0,0,4,0,2,0,0,0,0,0,1,0,12,0,0,1,0,0,0
75,1754,2,0,15,10,1,0,2,2,0,100,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,2,4,0,1,0,279.5,12,9,24.5,0,1,0,3,0,0,2,0,0,1,0,0,2,1,35,0,0,3,1,0,0
80,1814,3,0,19,11,0,1,3,2,0,135,0,2,0,0,0,0,2,0,0,6,0,3,1,0,0,3,1,0,0,0,173,16,7,59,0,1,1,4,1,0,4,0,0,0,0,0,3,0,22,0,1,0,0,0,0
85,1873,4,3,21,14,1,0,4,0,0,108,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,2,1,0,0,0,265,12,5,28.5,0,1,0,2,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0
90,1932,0,1,6,3,1,0,0,0,0,103,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,233.5,7,3,61.5,0,1,0,2,1,0,0,0,0,0,0,1,1,0,6,0,0,4,0,0,0
95,1992,3,1,14,5,0,0,0,0,0,88,0,0,0,1,0,0,2,0,0,10,0,2,4,0,0,2,3,0,2,0,308.5,0,1,30.5,0,0,0,3,0,0,6,0,0,0,0,1,0,0,11,0,3,1,0,0,0
100,2051,0,0,8,4,0,2,1,0,0,137,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,3,0,0,0,250,6,2,27,0,1,0,0,0,0,3,0,0,0,0,1,1,0,5,0,1,2,0,0,0
105,2110,5,3,9,12,0,0,1,1,1,70,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,2,1,1,0,0,301.5,1,3,24.5,0,0,0,3,1,0,2,0,0,0,0,0,0,0,16,0,0,2,0,0,0
110,2170,0,0,16,2,0,0,2,1,0,125,0,0,0,0,0,1,2,0,0,2,0,2,2,0,0,2,0,0,1,0,289,12,2,38.5,0,3,0,2,0,0,1,0,0,1,0,0,2,0,7,0,0,2,0,0,0
115,2229,0,1,7,14,0,0,1,3,0,94,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,1,0,289.5,4,0,18,0,0,0,1,0,0,3,0,0,0,0,0,1,0,12,0,1,1,0,0,0
120,2288,4,2,41,16,0,1,2,3,0,160,0,1,0,0,0,0,3,0,0,4,0,4,2,0,0,2,4,0,0,0,206,17,13,64,0,0,0,7,2,0,3,0,0,0,0,0,3,0,13,0,0,2,0,0,0
125,2348,4,1,9,4,0,0,1,0,0,104,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,8,0,0,0,0,277.5,8,3,38,0,0,0,3,0,0,5,0,0,0,0,0,0,0,8,0,1,2,0,1,0
130,2407,0,0,10,7,0,2,0,1,0,107,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,3,1,0,0,0,286,1,3,17.5,0,2,0,2,0,0,2,0,0,0,0,0,0,0,9,0,0,2,0,0,0
135,2466,1,0,14,11,0,3,0,2,0,113,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,292,18,12,48,0,2,0,1,0,0,3,0,0,2,0,0,0,0,8,0,0,2,1,0,0
140,2525,1,1,16,11,0,1,1,2,0,127,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,3,2,0,0,0,290.5,6,3,26.5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
145,2585,5,0,10,6,0,1,1,2,0,115,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,2,0,3,0,0,260,11,8,40.5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,16,0,0,4,0,0,0
150,2670,1,0,23,4,0,0,1,0,0,104,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,335.5,12,4,29.5,0,1,0,0,1,0,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0
155,2756,0,0,10,3,1,1,0,0,0,100,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,2,0,0,1,0,294,8,1,15,0,1,0,2,2,0,2,0,0,0,0,0,1,0,9,0,0,1,0,0,0
160,2842,0,0,5,2,0,1,2,2,0,110,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,1,1,0,0,235,5,1,19,0,0,0,2,1,0,1,0,0,0,0,0,0,0,5,0,1,3,0,0,0
165,2928,1,0,10,10,0,1,1,1,0,139,0,0,0,1,1,3,4,0,0,3,0,0,0,0,0,0,2,0,0,0,229.5,3,1,11.5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,1,1,0,0,0
170,3013,0,0,18,4,0,3,4,0,0,153,0,1,0,0,0,1,3,0,0,3,0,1,1,0,0,3,0,0,0,0,274.5,11,5,36.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,14,0,1,3,1,0,0
175,3099,0,0,11,5,0,0,0,3,0,133,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,3,0,0,0,213.5,10,4,20.5,0,1,0,3,2,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
