"sample.depths","sample.ages","Artemisia","Betula","Carya","Celtis","Asteraceae.undiff.","Pinaceae.undiff.","Corylus","Cyperaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Larix","Ostrya.Carpinus","Picea","Quercus","Salix","Thalictrum","Trees.undiff.","Ulmus","Alnus","Acer","Ambrosia","Juglans","Populus","Poaceae","Rosaceae","Abies","Fagus","Pinus.undiff.","Tsuga","Amaranthaceae","Other.herbs","Cephalanthus","Tilia","Pinus.strobus","Cupressus"
8,NA,0.010752688172043,0.021505376344086,0.00860215053763441,0.0043010752688172,0.0064516129032258,0.0172043010752688,0.0172043010752688,0.0580645161290323,0.00860215053763441,0.0838709677419355,0.0021505376344086,0.0387096774193548,0.0301075268817204,0.0989247311827957,0.010752688172043,0.00860215053763441,0.0043010752688172,0.0258064516129032,0.0043010752688172,0.0064516129032258,0.00860215053763441,0.0021505376344086,0.0021505376344086,0.513978494623656,0.0064516129032258,0,0,0,0,0,0,0,0,0,0
18,13686,0.00232018561484919,0.0185614849187935,0.00232018561484919,0,0.0139211136890951,0.0464037122969838,0.0116009280742459,0.062645011600928,0.0301624129930394,0.116009280742459,0.00232018561484919,0.0556844547563805,0.0232018561484919,0.0812064965197216,0.0116009280742459,0.00232018561484919,0,0.0255220417633411,0.00464037122969838,0.00232018561484919,0.00696055684454756,0,0,0.45707656612529,0.00464037122969838,0.00232018561484919,0.00464037122969838,0.00232018561484919,0.00232018561484919,0.00696055684454756,0,0,0,0,0
28,13831,0.0105820105820106,0.00529100529100529,0.00264550264550265,0.00264550264550265,0.0158730158730159,0.0396825396825397,0.0105820105820106,0.0767195767195767,0.0211640211640212,0.132275132275132,0,0.0343915343915344,0.0317460317460317,0.0846560846560847,0.00793650793650794,0.0105820105820106,0.00264550264550265,0.0211640211640212,0,0,0.0185185185185185,0,0.00264550264550265,0.46031746031746,0,0,0.00264550264550265,0,0,0.00264550264550265,0.00264550264550265,0,0,0,0
38,13975,0.0022883295194508,0.0045766590389016,0.0091533180778032,0.0022883295194508,0.0137299771167048,0.0251716247139588,0.0320366132723112,0.0709382151029748,0.0068649885583524,0.0938215102974828,0.0022883295194508,0.0366132723112128,0.0160183066361556,0.068649885583524,0,0.0045766590389016,0,0.0320366132723112,0.0022883295194508,0.0022883295194508,0.011441647597254,0,0.0022883295194508,0.540045766590389,0.0022883295194508,0,0.0022883295194508,0.0045766590389016,0,0,0.0068649885583524,0.0022883295194508,0.0022883295194508,0,0
46,14090,0.00691244239631336,0.00460829493087558,0.00691244239631336,0.00460829493087558,0.00460829493087558,0.0414746543778802,0.0299539170506912,0.087557603686636,0.00691244239631336,0.124423963133641,0,0.0622119815668203,0.0345622119815668,0.0806451612903226,0.0184331797235023,0.00230414746543779,0,0.0345622119815668,0.00230414746543779,0,0.00921658986175115,0.00230414746543779,0,0.407834101382488,0.00230414746543779,0,0.00691244239631336,0.00460829493087558,0,0.00460829493087558,0.00460829493087558,0.00230414746543779,0,0.00230414746543779,0
58,14264,0.00952380952380952,0,0.00238095238095238,0.00238095238095238,0.0119047619047619,0.0285714285714286,0.00714285714285714,0.0952380952380952,0.00714285714285714,0.0761904761904762,0,0.030952380952381,0.030952380952381,0.0428571428571429,0.0142857142857143,0.00714285714285714,0.00476190476190476,0.0214285714285714,0,0.00476190476190476,0.0214285714285714,0.00238095238095238,0.00476190476190476,0.552380952380952,0,0.00476190476190476,0.00238095238095238,0,0,0.00238095238095238,0.0119047619047619,0,0,0,0
68,14408,0.00254452926208651,0,0.00254452926208651,0,0.0101781170483461,0.0356234096692112,0.0229007633587786,0.111959287531807,0.0101781170483461,0.101781170483461,0.00254452926208651,0.0407124681933842,0.0178117048346056,0.089058524173028,0.0127226463104326,0.00508905852417303,0.00254452926208651,0.0178117048346056,0.00763358778625954,0,0.00763358778625954,0,0.00254452926208651,0.460559796437659,0.00254452926208651,0.00254452926208651,0.0101781170483461,0.00254452926208651,0,0.00508905852417303,0.00508905852417303,0.00254452926208651,0,0,0.00508905852417303
78,14552,0.00469483568075117,0.00469483568075117,0.00469483568075117,0.00469483568075117,0.0117370892018779,0.0328638497652582,0.00704225352112676,0.112676056338028,0.0140845070422535,0.0234741784037559,0,0.0117370892018779,0.0234741784037559,0.0446009389671361,0.00704225352112676,0.00704225352112676,0.00704225352112676,0.0258215962441315,0,0.00469483568075117,0.00234741784037559,0,0.00938967136150235,0.62206572769953,0.00469483568075117,0.00234741784037559,0,0.00234741784037559,0,0,0.00469483568075117,0,0,0,0
88,14697,0.00631578947368421,0.0357894736842105,0,0.00421052631578947,0.0189473684210526,0.170526315789474,0.0126315789473684,0.0968421052631579,0.00421052631578947,0.0778947368421053,0,0.0463157894736842,0.151578947368421,0.0673684210526316,0.00631578947368421,0,0.00210526315789474,0.00842105263157895,0.0105263157894737,0.00631578947368421,0.00421052631578947,0.00210526315789474,0,0.254736842105263,0,0.00210526315789474,0.00210526315789474,0,0,0,0.00842105263157895,0,0,0,0
218,15844,0.0119521912350598,0.0298804780876494,0.0099601593625498,0.00398406374501992,0.0119521912350598,0.0199203187250996,0.00199203187250996,0.215139442231076,0.0139442231075697,0.149402390438247,0,0.0896414342629482,0.0916334661354582,0.155378486055777,0.0139442231075697,0.00199203187250996,0.00199203187250996,0.0278884462151394,0.00199203187250996,0.00398406374501992,0.0179282868525896,0.00398406374501992,0,0.0936254980079681,0.00597609561752988,0.00398406374501992,0,0.00597609561752988,0,0.00597609561752988,0.00597609561752988,0,0,0,0
