"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Bryopsida","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Epilobium","Equisetum","Ericaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Huperzia.lucidula","Huperzia.selago","Indeterminable","Lycopodiaceae.undiff.","Myrica","Myriophyllum","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus","Poaceae","Polygonaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix","Saxifraga.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type"
448,NA,0,26,0,1,2,4,2,37,0,0,0,0,2,7,34,0,0,6,1,2,0,0,2,8,43,10,0,6,0,16,60,5,0,0,23,4,0,0,6,4,0,1,16,0,0,6,1,5,1,0,1,11,7
454,NA,0,23,1,0,13,3,3,46,1,0,0,0,0,6,37,0,2,6,1,0,0,0,1,10,29,8,0,6,0,5,59,3,0,0,13,1,5,0,3,5,2,1,19,0,0,3,2,3,0,1,2,9,4
459.5,12832,0,39,1,0,0,12,2,9,0,0,2,0,2,9,52,0,0,12,0,1,0,2,2,5,7,0,0,10,19,13,56,5,0,0,4,4,0,0,4,4,0,1,18,2,0,6,2,1,0,0,0,29,5
461.5,12955,0,26,4,1,0,8,0,7,0,0,1,0,2,5,82,0,0,42,1,0,0,0,0,0,4,0,0,7,14,15,53,5,0,0,6,2,0,0,8,1,0,0,40,0,0,4,1,4,0,1,1,32,8
466,13267,1,5,1,3,0,6,3,26,0,1,0,0,1,10,111,0,0,50,0,0,2,0,2,16,4,3,0,8,0,14,33,6,0,0,2,1,0,0,2,5,0,0,38,0,1,7,0,4,0,0,1,13,1
473,13934,0,4,1,1,1,4,2,8,0,0,0,0,1,8,110,1,0,32,1,0,0,0,3,10,7,7,0,5,1,8,46,5,1,1,3,2,1,1,0,4,0,0,58,0,0,5,0,1,0,0,0,16,9
480,14601,0,3,0,0,0,10,3,18,0,0,1,0,0,14,107,0,0,24,0,0,0,0,1,7,15,18,0,6,0,9,55,6,1,0,4,9,0,0,1,4,1,1,31,0,1,10,0,1,0,0,1,17,9
490,15553,0,4,0,1,1,7,3,17,0,0,0,0,1,9,121,0,0,32,0,0,0,0,0,13,9,12,0,9,2,6,48,11,0,0,5,3,0,0,0,3,0,0,51,1,1,14,2,2,0,0,2,21,5
500,NA,0,5,1,4,0,17,4,6,0,0,0,2,0,0,32,2,0,1,3,2,0,0,0,11,0,1,1,1,0,12,74,13,0,0,14,0,0,0,3,6,0,0,50,0,0,2,1,8,0,0,3,20,4
