"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Aquifoliaceae","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myricaceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Plantago.lanceolata","Poaceae","Polygonum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.clavatum","Pteridium","Sphagnum","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Sagittaria","Typha.latifolia","Typha.Sparganium.undiff.","Spore..monolete."
221,3499,3,0,1,5,0,0,43,1,1,2,0,0,0,0,0,1,0,1,0,7,32,91,56,13,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
227,3651,3,0,6,5,0,0,47,1,0,10,0,0,0,0,0,0,0,0,0,1,23,100,56,11,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
241,4004,5,0,3,6,0,0,31,1,0,0,0,0,0,2,0,0,0,0,0,3,24,117,76,9,0,1,1,4,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,4357,2,0,2,5,0,0,51,0,0,7,0,0,0,3,0,0,0,0,0,3,38,84,55,10,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5
269,4711,6,1,4,6,0,0,30,0,0,2,0,0,0,1,0,1,0,1,1,8,22,110,54,10,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
283,5064,11,0,3,3,0,0,10,1,0,1,0,0,0,0,0,0,0,0,1,5,30,109,76,5,0,0,10,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
290,5241,5,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,34,120,68,4,0,0,16,1,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
304,5629,6,0,4,3,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,5,25,108,92,4,0,1,6,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
318,6043,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,15,149,84,7,0,0,6,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
332,6457,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,56,50,163,3,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
346,6798,0,0,1,1,0,0,13,0,1,1,0,0,0,1,0,0,0,0,1,2,21,120,101,8,0,0,0,0,1,2,2,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
360,7086,1,0,0,2,0,0,21,1,2,1,0,0,0,1,0,0,0,0,0,0,33,112,80,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2
368,7250,1,0,1,0,2,0,7,0,0,2,11,0,0,0,0,0,0,0,0,4,35,134,114,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,32
382,7537,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,43,130,78,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,3,0,12
389,7681,4,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,37,94,106,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,32
403,7900,4,0,0,1,2,0,19,0,2,3,0,0,0,0,0,0,1,0,0,8,42,130,70,1,1,0,0,2,1,0,4,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,16,1,33
417,8051,9,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,11,67,82,74,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3
431,8202,5,0,1,1,0,0,9,0,0,1,4,0,0,1,0,0,0,0,0,14,63,70,63,0,0,0,0,2,1,0,1,0,1,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
438,8278,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,73,50,71,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1
451,8384,19,0,0,3,1,0,37,0,0,2,0,0,0,0,0,0,0,4,1,25,73,37,115,4,0,0,0,5,4,1,2,0,3,19,0,2,0,0,2,1,0,0,4,2,3,0,0,3,0,0
464,8490,15,0,1,5,0,0,47,0,1,0,0,0,0,2,0,0,0,2,1,21,66,33,57,4,0,0,0,4,4,1,1,0,0,9,0,1,0,0,1,1,1,1,3,0,5,0,1,0,0,2
478,8605,1,0,0,4,0,0,33,0,0,0,0,0,0,0,0,0,0,2,0,24,117,24,66,0,0,0,0,1,0,1,0,0,2,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
499,8776,8,0,0,7,5,0,63,0,0,2,0,0,1,2,0,0,0,0,0,24,77,26,125,3,0,0,0,4,2,2,1,0,2,4,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1
513,8891,4,0,0,9,2,0,56,0,1,0,0,0,0,1,0,0,0,1,1,26,56,25,93,5,0,0,0,2,7,0,0,0,2,3,0,1,0,0,0,2,2,0,0,0,3,0,0,0,0,0
527,9005,5,0,2,11,6,0,60,0,0,5,0,0,1,1,1,0,1,5,2,45,85,19,80,4,1,0,0,2,3,4,1,0,3,1,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,1
540,9111,8,0,0,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,35,71,42,74,2,0,0,9,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2
546,9160,14,0,0,2,6,0,54,0,0,10,0,0,0,0,0,0,0,0,2,30,42,68,86,5,0,0,4,1,2,2,0,1,2,3,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,3
558,9258,17,0,1,4,0,0,25,1,1,0,0,0,0,0,0,0,0,1,0,57,121,11,62,4,0,0,0,3,3,1,3,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
570,9356,16,0,0,2,0,0,16,0,0,0,0,0,0,1,0,0,0,3,0,48,118,5,59,6,0,0,0,3,5,3,0,0,3,3,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1
582,9454,3,0,0,0,2,0,39,2,2,6,0,0,0,1,0,0,1,3,4,52,80,22,63,2,1,2,1,5,4,5,1,0,4,3,0,2,0,0,0,1,6,0,0,108,1,0,0,0,0,0
594,9770,10,0,0,2,0,0,23,1,0,3,0,0,0,5,0,0,0,2,1,59,69,30,50,7,1,0,0,17,1,1,3,0,3,7,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,4
