"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Asteraceae.undiff.","Corylus","Cyperaceae","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Poaceae","Larix","Tilia","Amaranthaceae","Carya","Juglans","Salix"
0,206,377,1,4,8,92,1,1,1,5,3,3,15,80,83,17,45,2,7,4,2,3,0,0,0,0,0,0
10,969,312,4,0,3,81,0,0,0,0,2,2,5,66,71,14,42,3,8,5,1,1,2,1,1,0,0,0
20,1731,409,0,4,6,151,0,0,0,0,9,3,4,94,60,29,11,7,8,13,5,1,2,0,0,1,1,0
30,2488,369,3,10,4,76,0,3,2,2,3,2,7,97,80,20,19,7,17,5,3,2,5,1,1,0,0,0
40,3239,479,1,4,5,106,1,2,1,2,5,2,11,93,151,23,25,12,9,9,4,4,7,0,0,1,1,0
50,3982,430,1,4,6,109,1,5,1,2,5,2,15,87,90,39,6,11,20,10,8,2,5,1,0,0,0,0
60,4714,243,4,4,2,28,0,1,2,4,4,4,14,77,41,23,0,9,4,10,6,0,4,2,0,0,0,0
70,5432,343,0,2,3,49,1,2,1,4,7,0,15,78,92,31,0,10,17,11,9,4,4,0,2,0,0,1
80,6130,348,2,4,4,45,0,5,0,0,8,1,7,84,144,21,1,5,6,3,4,2,1,0,1,0,0,0
90,6806,433,1,4,3,37,1,2,0,0,14,0,13,74,205,40,3,11,11,7,3,0,1,1,1,1,0,0
100,7454,324,0,7,1,59,1,2,1,1,15,0,15,74,97,18,0,10,16,3,1,1,0,1,1,0,0,0
110,8070,442,2,8,5,48,0,2,0,1,20,0,5,105,154,31,0,24,13,10,1,1,3,1,6,0,1,1
120,8651,364,5,9,3,38,0,0,2,2,12,0,16,80,136,24,0,17,13,1,0,1,0,1,1,1,1,1
130,9191,380,2,8,3,59,0,3,2,2,10,0,11,86,123,19,0,17,24,3,2,0,0,0,4,2,0,0
140,9687,352,2,8,2,56,0,2,1,1,6,1,32,48,145,9,0,11,17,2,1,1,1,0,4,2,0,0
150,10125,315,3,9,3,56,0,2,0,0,4,1,46,5,122,13,0,9,20,1,5,1,2,0,7,2,0,4
160,10455,387,6,7,10,73,0,5,2,5,7,11,20,4,181,10,0,13,20,0,4,1,2,1,4,0,0,1
170,10688,386,3,1,4,49,0,1,0,3,6,16,10,3,239,13,0,17,15,0,3,0,0,0,2,1,0,0
180,10853,351,5,1,5,10,0,2,0,3,4,33,7,4,231,18,0,16,2,2,0,0,1,1,1,2,3,0
190,10978,370,0,2,5,12,0,2,1,2,2,129,4,3,145,17,0,29,1,0,5,0,4,0,2,3,2,0
195,NA,330,0,1,2,17,1,2,0,0,5,39,11,5,210,16,0,6,1,2,3,0,2,0,1,3,3,0
200,NA,317,0,3,4,15,0,2,0,2,3,64,6,5,185,11,0,7,0,1,1,0,5,0,1,1,1,0
205,NA,317,3,4,3,9,0,2,0,1,5,136,9,6,107,9,0,6,1,0,1,5,6,0,0,3,0,1
210,NA,381,1,3,7,17,0,3,0,1,0,114,11,2,144,21,0,34,3,0,7,0,9,0,2,1,1,0
215,NA,373,0,1,2,20,1,1,1,1,2,75,25,1,205,14,0,15,0,2,2,0,5,0,0,0,0,0
225,NA,414,0,0,5,19,0,4,1,2,6,150,31,4,105,30,0,40,1,1,5,1,3,0,0,1,5,0
235,NA,383,1,0,7,24,2,2,1,2,3,159,21,1,97,24,0,11,1,1,4,1,8,0,1,0,5,7
245,NA,337,4,3,10,13,0,5,2,3,11,158,15,1,35,21,0,21,1,2,7,10,10,0,1,0,1,3
