"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Ericaceae","Fagus","Poaceae.undiff.","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Amaranthaceae","Cerealia","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Picea.undiff.","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Picea.glauca.type","Myrica.gale","Tsuga.canadensis","Fraxinus.nigra.type","Juglans.cinerea","Carya.ovata","Tilia","Juniperus.type","Acer.rubrum","Cyperaceae","Castanea.dentata","Pinus.resinosa.type","Acer.pensylvanicum","Artemisia","Thalictrum","Potentilla.palustris.type","Nemopanthus.mucronatus","Populus.tremuloides.type","Sambucus","Pinaceae","Populus.balsamifera.type","Shepherdia.canadensis","Saxifraga.cernua.type","Dryas","Populus.deltoides.type"
10,219,0.00934579439252336,0.0280373831775701,0.00934579439252336,0.11214953271028,0.364485981308411,0.0280373831775701,0.0186915887850467,0.0560747663551402,0.0186915887850467,0.0841121495327103,0.00934579439252336,0.0373831775700935,0.0186915887850467,0.00934579439252336,0.00934579439252336,0.00934579439252336,0.0186915887850467,0.0280373831775701,0.0186915887850467,0.0280373831775701,0.00934579439252336,0.00934579439252336,0.0467289719626168,0.00934579439252336,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,656,0,0.0397727272727273,0.0113636363636364,0.0170454545454545,0.284090909090909,0.0227272727272727,0.0170454545454545,0.0340909090909091,0,0.204545454545455,0.00568181818181818,0.0454545454545455,0,0,0.00568181818181818,0,0,0,0.0397727272727273,0,0.0227272727272727,0.0113636363636364,0.0511363636363636,0.0170454545454545,0.0397727272727273,0.00568181818181818,0.0170454545454545,0.0284090909090909,0.0113636363636364,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1094,0,0.016025641025641,0,0.00320512820512821,0.256410256410256,0.016025641025641,0.0192307692307692,0.0128205128205128,0.00961538461538462,0.243589743589744,0.016025641025641,0.0224358974358974,0.00320512820512821,0,0,0,0.00641025641025641,0,0.032051282051282,0.016025641025641,0.016025641025641,0.0128205128205128,0.092948717948718,0,0.0416666666666667,0.00320512820512821,0.00320512820512821,0.0544871794871795,0.00320512820512821,0.0801282051282051,0.00961538461538462,0.00641025641025641,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1505,0,0.0132231404958678,0.00165289256198347,0.00330578512396694,0.378512396694215,0.0115702479338843,0.0347107438016529,0,0.00991735537190083,0.0892561983471074,0.0165289256198347,0.0297520661157025,0,0,0.0148760330578512,0,0,0,0.0264462809917355,0.0264462809917355,0.0247933884297521,0.00991735537190083,0.105785123966942,0,0.0231404958677686,0,0,0.0198347107438017,0,0.140495867768595,0.0115702479338843,0.00165289256198347,0.00330578512396694,0.00165289256198347,0.00165289256198347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1917,0,0.0204841713221601,0,0.00186219739292365,0.324022346368715,0.0111731843575419,0.0782122905027933,0,0.0186219739292365,0.080074487895717,0.0223463687150838,0.0279329608938547,0.00558659217877095,0,0.0074487895716946,0.00186219739292365,0,0,0.0465549348230912,0.0279329608938547,0.00558659217877095,0.0111731843575419,0.102420856610801,0,0.0186219739292365,0.0037243947858473,0.00186219739292365,0.0111731843575419,0.00558659217877095,0.13780260707635,0.0037243947858473,0.00558659217877095,0,0.00186219739292365,0,0.0037243947858473,0.0037243947858473,0.00186219739292365,0.0074487895716946,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2329,0,0.0108108108108108,0,0,0.335135135135135,0.0027027027027027,0.027027027027027,0,0.00810810810810811,0.0567567567567568,0.0378378378378378,0.0162162162162162,0,0,0.0135135135135135,0,0,0,0.0297297297297297,0.0162162162162162,0.0135135135135135,0.0108108108108108,0.121621621621622,0,0.0189189189189189,0,0.00540540540540541,0.0243243243243243,0.0027027027027027,0.22972972972973,0.0027027027027027,0,0,0.0027027027027027,0,0,0,0,0.0108108108108108,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0
150,2740,0,0.0261569416498994,0.00201207243460765,0,0.400402414486922,0.0181086519114688,0.0442655935613682,0.00201207243460765,0.0120724346076459,0.0422535211267606,0.00603621730382294,0.0181086519114688,0,0,0.0120724346076459,0,0,0,0.0362173038229376,0.0221327967806841,0.0221327967806841,0.00201207243460765,0.108651911468813,0,0.00603621730382294,0.00201207243460765,0,0.0160965794768612,0.00402414486921529,0.17907444668008,0.00201207243460765,0.00201207243460765,0.00402414486921529,0.00201207243460765,0,0.00603621730382294,0.00201207243460765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3152,0,0.0144927536231884,0,0,0.494202898550725,0.00434782608695652,0.0478260869565217,0,0.0130434782608696,0.0463768115942029,0.00869565217391304,0.0144927536231884,0,0.00289855072463768,0.0101449275362319,0,0,0,0.0260869565217391,0.0173913043478261,0.00434782608695652,0.00434782608695652,0.133333333333333,0,0.00144927536231884,0.00144927536231884,0.00579710144927536,0.00144927536231884,0,0.107246376811594,0.0217391304347826,0,0,0.00434782608695652,0,0.00144927536231884,0.00434782608695652,0,0.0072463768115942,0,0.00144927536231884,0,0,0,0,0,0,0,0,0,0,0
200,3563,0,0.0197044334975369,0,0.00246305418719212,0.366995073891626,0.00492610837438424,0.0812807881773399,0,0.00738916256157635,0.0467980295566502,0.0172413793103448,0.0172413793103448,0.00246305418719212,0,0.0147783251231527,0,0,0,0.0394088669950739,0.0246305418719212,0.0197044334975369,0.00246305418719212,0.16256157635468,0,0.00492610837438424,0.00492610837438424,0.00492610837438424,0.00738916256157635,0,0.133004926108374,0.00492610837438424,0,0.00246305418719212,0.00246305418719212,0,0,0,0,0.00246305418719212,0,0.00246305418719212,0,0,0,0,0,0,0,0,0,0,0
225,3975,0,0.0208955223880597,0,0,0.432835820895522,0.0149253731343284,0.0626865671641791,0,0.00895522388059702,0.026865671641791,0.0358208955223881,0.026865671641791,0,0,0.0149253731343284,0,0,0,0.00895522388059702,0.0119402985074627,0.0119402985074627,0.00597014925373134,0.170149253731343,0,0.00298507462686567,0,0.00298507462686567,0.00597014925373134,0,0.0955223880597015,0.0149253731343284,0,0,0.00298507462686567,0,0.0119402985074627,0.00597014925373134,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0
