"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Liriodendron","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnus.Vitis","Salix","Sarcobatus.vermiculatus","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.undiff.","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea"
0,-45,0.003262643,0,0.017944535,0,0.009787928,0,0,0.013050571,0,0,0,0.365415987,0,0.006525285,0.01141925,0,0.008156607,0,0,0.003262643,0,0,0,0.027732463,0.024469821,0,0.001631321,0.004893964,0,0.001631321,0,0,0,0,0,0.008156607,0,0.009787928,0.004893964,0.044045677,0.017944535,0.016313214,0.001631321,0.009787928,0,0.185970636,0,0.001631321,0,0,0,0.001631321,0.060358891,0.01141925,0,0.055464927,0.003262643,0.003262643,0,0.004893964,0.006525285,0,0,0,0,0.026101142,0,0,0.004893964,0.022838499,0,0,0,0
2,-33,0.001545595,0,0.032457496,0,0.00927357,0,0,0.007727975,0,0,0,0.304482226,0,0.00927357,0.004636785,0,0.021638331,0,0,0.004636785,0,0,0.00309119,0.047913447,0.015455951,0.001545595,0,0.001545595,0,0.00309119,0,0,0.001545595,0,0,0.017001546,0,0.004636785,0.00309119,0.032457496,0.037094281,0.010819165,0.001545595,0.001545595,0,0.197836167,0,0.001545595,0,0,0,0,0.058732612,0.017001546,0.00309119,0.040185471,0,0.01236476,0.001545595,0,0.01236476,0,0,0,0.001545595,0.047913447,0,0,0.007727975,0.020092736,0,0,0,0
4,-15,0,0,0.014025245,0,0.011220196,0,0,0.004207574,0,0,0,0.290322581,0,0.001402525,0.012622721,0,0.007012623,0,0,0.002805049,0,0,0.004207574,0.060308555,0.008415147,0,0,0.001402525,0.005610098,0.002805049,0,0,0,0,0,0.008415147,0,0.001402525,0.004207574,0.021037868,0.042075736,0.021037868,0.004207574,0,0,0.145862553,0,0.001402525,0,0,0,0.001402525,0.072931276,0.007012623,0,0.068723703,0,0.021037868,0,0.001402525,0.014025245,0,0,0,0.001402525,0.07713885,0,0,0.004207574,0.053295933,0,0,0.001402525,0
6,1,0.002713704,0,0.020352782,0,0.006784261,0,0,0.014925373,0,0,0,0.218453189,0,0.004070556,0.02578019,0.001356852,0,0,0,0.005427408,0,0,0.004070556,0.085481682,0.017639077,0.004070556,0,0,0.004070556,0,0,0,0.001356852,0,0,0.021709634,0,0.004070556,0.021709634,0.014925373,0.047489824,0.018995929,0,0,0,0.122116689,0,0.004070556,0,0,0,0,0.069199457,0.009497965,0.004070556,0.052917232,0,0.02578019,0,0.001356852,0.014925373,0,0,0,0.001356852,0.092265943,0,0,0.001356852,0.054274084,0,0,0.001356852,0
8,5,0,0,0.016371078,0,0.020463847,0,0,0.012278308,0,0,0,0.281036835,0,0.002728513,0.038199181,0,0,0,0.002728513,0.008185539,0,0,0.008185539,0.062755798,0.004092769,0,0,0,0,0.008185539,0,0,0,0,0,0.012278308,0,0.009549795,0.016371078,0.010914052,0.019099591,0.030013643,0.001364256,0.004092769,0,0.105047749,0,0.001364256,0,0,0,0,0.083219645,0.010914052,0.005457026,0.062755798,0,0.016371078,0,0.006821282,0.008185539,0,0,0,0.001364256,0.085948158,0,0,0.002728513,0.039563438,0,0,0,0.001364256
10,20,0,0,0.011461318,0,0.007163324,0,0,0.007163324,0,0,0,0.244985673,0,0.014326648,0.017191977,0,0.001432665,0,0,0.001432665,0,0,0.00286533,0.047277937,0.007163324,0,0,0.00286533,0.004297994,0.004297994,0,0,0,0,0,0.010028653,0,0.001432665,0.032951289,0.037249284,0.022922636,0.041547278,0.00286533,0,0,0.143266476,0,0.00286533,0,0,0,0,0.091690544,0.00286533,0.001432665,0.075931232,0.001432665,0.011461318,0,0,0.018624642,0,0,0,0.001432665,0.074498567,0,0,0.001432665,0.050143266,0,0,0,0
12,45,0,0,0.00727802,0,0.004366812,0,0,0.016011645,0,0,0,0.23580786,0,0.004366812,0.018922853,0,0.001455604,0,0,0.002911208,0,0,0.004366812,0.084425036,0.014556041,0.002911208,0,0.001455604,0.008733624,0.001455604,0,0,0,0,0,0.016011645,0,0.013100437,0.030567686,0.023289665,0.061135371,0.03202329,0,0.001455604,0,0.122270742,0,0.001455604,0,0,0,0.002911208,0.097525473,0.011644833,0.002911208,0.030567686,0.001455604,0.004366812,0,0,0.004366812,0,0,0,0.001455604,0.069868996,0,0,0,0.062590975,0,0,0,0
14,77,0.00330033,0,0.01650165,0,0.011551155,0,0,0.00330033,0,0,0,0.214521452,0,0.01320132,0.008250825,0,0,0,0,0,0,0,0.001650165,0.112211221,0.004950495,0.001650165,0,0.00330033,0.00330033,0,0,0,0.001650165,0,0,0.01320132,0,0.00330033,0.021452145,0.011551155,0.056105611,0.044554455,0.004950495,0,0,0.168316832,0,0.001650165,0,0,0,0,0.118811881,0.008250825,0,0.031353135,0.001650165,0.001650165,0,0,0.001650165,0,0,0,0,0.064356436,0,0,0,0.047854785,0,0,0,0
16,106,0.001582278,0,0.004746835,0,0.011075949,0,0,0.009493671,0,0,0,0.169303797,0,0.007911392,0.02056962,0,0,0,0.001582278,0.003164557,0,0,0.003164557,0.131329114,0.004746835,0,0,0,0.004746835,0,0,0,0,0,0,0.012658228,0,0.003164557,0.047468354,0.033227848,0.044303797,0.026898734,0,0,0,0.136075949,0,0.001582278,0,0,0,0,0.151898734,0.007911392,0.001582278,0.039556962,0,0.004746835,0,0.001582278,0.007911392,0,0,0,0,0.07278481,0,0,0,0.033227848,0,0,0,0
18,134,0,0,0.01607717,0,0.014469453,0,0,0.012861736,0,0,0,0.204180064,0,0.008038585,0.017684887,0,0,0,0,0.003215434,0,0,0.003215434,0.109324759,0.003215434,0,0,0.004823151,0.001607717,0.003215434,0,0,0,0,0,0.009646302,0,0.001607717,0.054662379,0.041800643,0.041800643,0.025723473,0,0,0,0.120578778,0,0.001607717,0,0,0,0,0.159163987,0.004823151,0,0.030546624,0.001607717,0.001607717,0.001607717,0.001607717,0.003215434,0,0,0,0.001607717,0.046623794,0,0,0.001607717,0.045016077,0,0,0,0.001607717
