"sample.depths","sample.ages","upland.sum","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Herbs.undiff.","Larix","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Ambrosia","Cornus","Fraxinus","Juglans","Populus","Poaceae","Juniperus","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Ostrya","Artemisia","Amaranthaceae.undiff.","Asteraceae.undiff.","Platanus","Thalictrum","Brassicaceae","Urtica","Ericaceae","Trees.undiff.","Abies","Sarcobatus.vermiculatus","Ranunculaceae.undiff.","Nyssa","Rubus","Ephedra","Humulus"
0.5,-23,300,33,3,2,3,10,15,2,4,3,54,2,1,9,14,15,11,43,1,6,3,2,12,1,13,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,88,303,37,6,0,2,10,23,2,2,1,67,0,3,12,12,17,7,13,0,15,1,0,3,0,8,45,7,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0
40,202,300,47,3,1,2,7,16,1,1,3,74,0,3,8,14,14,12,9,0,15,0,0,4,0,7,37,12,2,1,0,2,0,2,1,2,0,0,0,0,0,0,0,0
50,259,317,44,2,1,1,3,25,3,0,2,89,1,1,4,14,12,11,9,0,8,3,0,3,0,12,41,18,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0
60,316,310,52,2,0,0,4,20,3,6,1,74,0,1,3,18,4,4,3,0,13,0,0,6,1,8,65,13,3,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0
80,430,290,37,6,0,2,9,23,0,2,1,67,0,3,14,12,17,7,4,0,15,1,0,3,0,8,45,7,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
100,544,343,41,3,0,2,6,19,0,6,5,97,1,2,6,19,16,7,4,1,11,0,0,2,0,20,57,11,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0
120,658,307,38,1,0,1,5,25,3,3,0,85,0,1,5,10,14,4,0,0,11,1,0,2,0,8,65,15,1,0,1,1,1,1,0,1,0,2,0,0,1,0,1,0
130,715,311,31,3,0,0,10,22,0,2,0,83,3,2,6,22,13,5,7,1,7,3,0,5,0,5,60,13,1,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0
160,886,308,29,1,0,1,6,36,0,6,2,96,0,1,6,9,4,7,2,0,11,1,0,3,1,7,57,16,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
180,1000,302,23,4,1,0,7,10,0,2,0,89,0,2,2,23,8,11,4,0,16,0,0,3,1,7,69,12,2,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0
200,1114,320,15,3,1,0,4,7,0,3,2,95,1,1,5,16,3,12,1,2,9,1,3,7,2,21,82,15,1,1,0,3,0,1,0,0,0,1,0,1,0,1,0,0
230,1285,308,31,1,1,0,3,12,0,8,3,69,0,1,8,11,6,7,6,0,17,2,0,4,2,10,86,11,2,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0
240,1342,306,36,1,0,0,9,12,2,1,1,82,0,2,7,13,7,6,3,0,9,2,0,2,1,9,79,12,2,0,0,2,1,2,0,0,0,0,1,0,1,0,1,0
260,1456,312,24,2,0,1,16,11,1,2,0,97,3,2,8,25,7,6,5,0,5,0,0,3,0,7,69,13,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
280,1570,317,28,2,0,3,8,8,0,2,3,99,1,2,3,20,10,4,3,0,11,2,0,6,0,13,68,12,1,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0
300,1715,340,30,5,0,1,6,21,0,1,0,108,3,5,2,21,15,15,4,2,14,1,0,5,0,15,50,7,2,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0
340,2189,313,31,3,2,0,9,25,0,3,2,63,2,2,1,22,14,6,3,0,8,3,0,3,0,15,66,19,0,1,1,0,1,6,2,0,0,0,0,0,0,0,0,0
360,2426,309,37,5,0,1,6,29,1,0,1,76,1,7,2,13,11,6,2,0,11,0,0,4,1,11,54,24,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0
380,2663,331,28,4,0,2,4,30,0,2,1,84,0,3,4,11,5,10,5,0,17,2,0,8,0,10,65,20,1,1,0,4,1,4,3,1,0,1,0,0,0,0,0,0
400,2900,321,17,4,0,3,6,23,0,4,2,86,1,4,0,26,8,5,2,0,6,1,0,1,1,22,71,20,2,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0
420,3138,311,26,4,0,0,10,14,0,2,1,93,0,2,2,7,8,7,9,0,14,2,0,5,2,15,58,22,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1,1
440,3375,306,16,1,0,1,8,13,1,2,2,90,2,4,0,13,9,7,0,0,8,1,0,2,1,14,83,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
460,3612,307,15,1,1,0,12,8,0,0,1,106,1,4,4,21,13,18,5,0,13,0,0,9,0,7,33,24,1,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0
480,3849,330,22,1,0,1,17,5,0,3,2,129,3,4,0,15,8,5,1,0,12,0,1,2,1,11,55,23,2,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0
500,4086,339,14,4,2,3,3,14,0,2,1,125,1,3,2,25,8,3,3,1,18,3,1,2,3,13,56,22,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
520,4323,310,7,6,1,1,4,41,0,1,1,89,1,6,1,28,5,17,1,0,11,4,0,1,0,14,46,17,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
540,4561,298,9,5,0,2,3,28,0,0,0,84,0,5,1,29,7,11,2,0,12,3,0,3,0,14,53,17,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
560,4798,329,14,3,0,2,7,6,0,0,0,133,0,2,2,32,9,3,9,0,6,2,0,4,0,19,47,22,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
580,5035,313,8,4,0,0,2,5,0,2,0,108,1,2,0,26,2,3,4,0,10,3,0,7,1,14,78,21,3,0,1,1,0,2,2,0,1,1,0,0,0,0,0,1
600,5344,358,12,5,1,2,4,1,0,6,1,139,3,1,1,28,9,12,8,1,15,10,3,9,2,18,36,21,4,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
625,5760,313,13,3,0,1,8,3,2,0,0,125,4,5,0,33,9,5,10,0,10,7,0,11,0,12,20,21,2,2,0,1,0,0,2,0,1,0,0,0,2,0,1,0
640,6010,311,10,1,1,2,6,2,1,2,1,109,3,6,1,40,7,15,6,0,10,7,0,8,0,14,21,31,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1
660,6343,310,8,4,1,0,9,2,0,0,1,98,0,2,3,47,5,16,9,0,9,9,0,3,2,11,19,39,3,2,0,4,2,1,1,0,0,0,0,0,0,0,0,0
685,6759,305,3,5,0,2,7,4,2,0,0,110,1,2,0,42,0,19,7,0,12,5,0,5,0,13,32,26,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
700,7009,325,3,8,2,6,8,0,1,2,0,114,2,6,0,59,0,6,8,0,16,1,0,2,0,17,33,25,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
720,7342,308,7,11,0,2,4,1,1,1,0,80,0,7,0,66,2,3,3,0,17,2,0,1,0,20,51,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
740,7675,324,3,1,0,0,6,2,3,3,0,98,0,4,1,73,1,17,3,0,16,2,0,3,0,16,39,26,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1
