"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Cyperaceae","Ericaceae","Fagus","Fraxinus","Ilex","Isoëtes","Juglans","Juniperus.Thuja","Lycopodiaceae","Nymphaeaceae","Nyssa","Picea","Pinus.strobus","Pinus.undiff.","Poaceae","Polypodiaceae","Quercus","Rosaceae","Salix","Sphagnum","Tilia","Tsuga","Typha","Ulmus","Unknown","Unknown.undiff."
15,82,0,25,6,9,77,0,3,83,4,0,3,0,1,0,40,29,1,0,1,2,3,0,0,0,3,20,46,15,59,0,4,6,0,26,0,1,9,2
78,717,0,37,3,2,3,0,0,115,5,1,13,0,0,0,78,3,1,0,0,4,2,3,0,2,14,21,7,10,27,2,1,1,0,86,0,2,8,9
158,1638,0,32,1,0,1,0,0,127,3,0,11,0,2,0,58,5,1,0,2,0,0,0,0,2,7,16,1,3,42,2,4,0,4,87,2,5,9,8
178,1869,0,49,0,0,1,0,2,138,3,1,25,0,0,0,54,3,1,0,1,0,0,4,1,0,17,20,4,9,46,0,2,3,2,62,0,4,8,6
208,2214,0,46,0,0,0,0,0,125,3,0,6,0,0,0,74,3,3,1,1,0,0,3,0,2,1,35,0,6,51,0,4,0,0,48,0,8,7,3
308,3538,0,40,0,0,2,0,0,103,5,0,9,0,0,0,85,4,4,0,2,0,0,3,0,3,32,26,3,7,54,0,4,0,3,33,1,3,4,8
358,4241,0,55,1,0,0,0,0,101,5,0,19,0,2,1,85,7,1,2,3,14,0,1,0,3,21,24,5,6,54,0,4,8,3,32,5,4,7,13
398,4803,0,30,0,1,1,0,0,116,6,0,24,0,0,0,111,3,1,0,2,0,0,0,0,0,5,29,0,0,56,0,1,0,1,37,1,4,4,0
498,6208,0,57,2,0,7,0,1,85,6,0,4,0,0,0,112,2,2,0,2,0,0,0,0,0,4,18,0,0,46,0,2,0,1,52,2,5,6,0
546,6882,0,48,3,2,3,0,0,119,3,0,7,0,4,1,118,1,4,1,2,0,0,0,0,1,3,12,0,8,54,0,2,1,3,26,0,2,8,5
612,7810,0,51,2,0,1,0,0,135,6,0,7,0,0,0,102,11,11,0,2,0,2,0,0,0,7,10,7,15,50,0,1,1,4,30,0,6,9,19
650,8343,0,45,1,0,4,0,0,67,2,0,10,0,0,0,110,5,5,0,0,6,0,4,1,0,17,34,7,28,29,0,3,5,3,60,3,3,10,25
675,8695,0,50,0,0,1,0,0,85,4,1,7,0,0,0,101,6,3,0,1,4,2,3,0,2,17,32,2,15,37,0,5,3,1,81,2,1,9,8
708,9158,0,61,1,1,2,0,0,116,4,0,12,0,0,0,95,19,2,0,2,0,0,1,0,1,9,12,10,6,53,1,1,4,5,21,0,5,8,2
760,9889,0,46,1,0,0,0,0,85,9,0,9,0,0,0,113,7,3,0,0,4,0,1,1,1,7,21,7,8,66,0,2,0,6,22,2,3,7,5
793,10353,0,37,1,0,2,0,0,94,10,0,7,0,0,0,104,3,1,1,2,0,0,1,0,0,11,29,1,4,65,0,7,1,5,21,0,7,3,12
825,10802,0,38,0,0,1,0,0,78,4,0,11,0,0,1,82,2,1,1,1,0,0,1,0,0,7,29,1,5,33,1,7,1,11,106,0,4,12,1
855,11224,0,30,0,0,3,0,0,147,1,0,2,0,0,0,120,7,3,0,2,3,0,1,0,0,2,6,8,9,31,0,6,1,10,62,2,6,7,5
866,11378,0,30,0,0,0,0,0,172,6,0,2,0,0,0,105,2,2,0,7,0,0,0,0,0,3,3,0,0,31,0,4,0,2,51,0,2,3,0
877,11533,0,30,1,0,1,0,0,52,5,0,7,0,1,0,92,4,1,0,5,1,2,3,0,1,13,12,2,13,30,0,3,2,7,177,3,7,7,13
901,11870,0,19,0,0,1,0,0,78,4,0,2,0,0,0,52,9,0,0,7,4,3,1,0,0,0,2,1,12,47,0,5,2,4,153,5,9,6,17
925,12207,0,28,0,0,2,0,0,37,6,0,5,0,0,0,62,11,0,0,8,0,3,0,0,0,1,9,4,20,44,0,5,1,2,202,8,2,3,10
940,12418,0,6,0,0,1,0,0,31,1,0,0,3,0,0,70,1,0,0,1,2,2,4,0,0,6,13,8,15,21,0,2,0,1,265,5,7,5,2
1005,13331,0,10,1,0,4,0,0,20,1,0,0,0,1,0,68,3,0,0,4,5,0,0,2,0,4,8,4,12,29,0,1,0,5,278,4,3,3,7
1067,14203,0,8,1,0,2,0,0,45,1,0,0,0,0,0,26,10,0,0,1,1,0,0,0,2,11,8,4,2,30,0,3,0,4,325,1,9,3,0
1088,14498,0,6,0,1,5,0,0,58,2,0,0,0,0,0,10,7,1,0,2,0,1,0,0,0,24,72,0,11,98,0,8,0,2,122,2,10,5,5
1120,14947,0,9,3,0,5,0,0,66,4,0,4,0,2,0,2,2,0,0,1,0,0,0,0,0,36,39,5,14,150,2,15,3,2,50,2,10,7,15
1133,15130,5,3,7,0,5,0,1,11,1,0,0,2,0,0,0,2,1,0,0,10,4,0,0,77,19,219,11,2,9,0,0,0,0,6,15,2,3,8
1168,15622,13,4,10,0,10,1,0,85,0,0,2,0,1,0,2,2,0,0,2,0,3,0,0,26,23,189,13,8,26,0,11,0,0,20,0,13,10,0
1189,15917,7,2,18,0,4,0,2,63,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,71,11,213,11,5,16,0,1,0,0,8,1,7,7,3
1208,16184,5,0,9,0,1,0,0,53,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,122,5,180,9,0,17,0,3,0,0,6,0,3,9,7
1233,16535,1,0,19,0,7,0,2,58,2,1,0,0,1,0,2,0,0,0,0,0,9,0,0,84,5,196,9,4,21,3,7,1,0,5,0,4,3,9
1273,17097,18,1,13,0,11,1,1,28,0,0,0,1,3,1,0,5,0,0,3,13,4,0,0,67,26,185,10,3,27,0,12,0,0,7,10,4,6,10
1298,NA,11,2,5,0,6,2,4,28,2,1,0,0,5,0,2,9,1,0,3,2,3,0,0,75,37,184,10,1,26,0,4,3,0,8,14,3,8,5
