"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.negundo","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Populus","Poaceae","Acer.rubrum","Juglans.nigra","Asteraceae.subf..Cichorioideae","Pinus.undiff.","Platanus","Castanea","Caryophyllaceae","Herbs.undiff.","Rosaceae","Thalictrum","Sarcobatus.vermiculatus","Ephedra","Celtis","Iva.annua.type","Ericaceae"
1,-17,0.00196078431372549,0.0235294117647059,0.00196078431372549,0.180392156862745,0.00392156862745098,0.198039215686275,0.00392156862745098,0.00588235294117647,0.00196078431372549,0.0568627450980392,0.0117647058823529,0.00392156862745098,0.00196078431372549,0.00196078431372549,0.00392156862745098,0.00588235294117647,0.00588235294117647,0.00392156862745098,0.0313725490196078,0.107843137254902,0.0411764705882353,0.00196078431372549,0.00392156862745098,0.00392156862745098,0.0254901960784314,0.0117647058823529,0.0470588235294118,0.0705882352941176,0.00980392156862745,0.127450980392157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13,0,0.0247787610619469,0,0.251327433628319,0.00530973451327434,0.11858407079646,0.00530973451327434,0.0141592920353982,0,0.0513274336283186,0.0300884955752212,0.015929203539823,0,0.00176991150442478,0,0.00530973451327434,0.00707964601769911,0.00707964601769911,0,0,0.0566371681415929,0.00353982300884956,0.00353982300884956,0.00530973451327434,0.0247787610619469,0,0.0230088495575221,0.0300884955752212,0.00530973451327434,0.141592920353982,0.00176991150442478,0.00176991150442478,0.00353982300884956,0.157522123893805,0.00353982300884956,0,0,0,0,0,0,0,0,0,0
40,52,0.00220264317180617,0.0110132158590308,0,0.114537444933921,0.00220264317180617,0.0550660792951542,0,0.013215859030837,0.00220264317180617,0.0286343612334802,0.0176211453744493,0.00440528634361234,0,0.00881057268722467,0.00220264317180617,0,0.00440528634361234,0.00220264317180617,0.0286343612334802,0.202643171806167,0.0374449339207048,0.00881057268722467,0.0066079295154185,0.0220264317180617,0.0418502202643172,0.0110132158590308,0.0154185022026432,0.0440528634361234,0.00440528634361234,0.308370044052863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,106,0.0119047619047619,0.0138888888888889,0,0.146825396825397,0.00198412698412698,0.0753968253968254,0,0.0119047619047619,0,0.0376984126984127,0.0396825396825397,0.0138888888888889,0,0,0,0.0119047619047619,0.0138888888888889,0.00595238095238095,0.0376984126984127,0.273809523809524,0.0337301587301587,0.0158730158730159,0.0138888888888889,0.0138888888888889,0.0337301587301587,0.00198412698412698,0.00992063492063492,0.0158730158730159,0,0.160714285714286,0,0.00198412698412698,0,0,0,0.00198412698412698,0,0,0,0,0,0,0,0,0
70,141,0.00672645739910314,0.0291479820627803,0,0.0426008968609865,0.00224215246636771,0.0493273542600897,0.00448430493273543,0.00896860986547085,0,0.0538116591928251,0.0269058295964126,0.0448430493273543,0.0112107623318386,0.00672645739910314,0,0.00224215246636771,0.0224215246636771,0.00224215246636771,0.0201793721973094,0.289237668161435,0.0582959641255605,0.00448430493273543,0.00672645739910314,0.015695067264574,0.0762331838565022,0.00224215246636771,0.0538116591928251,0.00224215246636771,0.00224215246636771,0.145739910313901,0,0,0,0,0.00224215246636771,0,0.00224215246636771,0.00224215246636771,0.00224215246636771,0,0,0,0,0,0
80,183,0.00205761316872428,0.0473251028806584,0.00205761316872428,0.00205761316872428,0.00411522633744856,0.125514403292181,0.00205761316872428,0,0,0.0473251028806584,0.0123456790123457,0.0432098765432099,0.00823045267489712,0.0164609053497942,0.00411522633744856,0.00205761316872428,0.0185185185185185,0.00617283950617284,0.0267489711934156,0.300411522633745,0.113168724279835,0,0.00205761316872428,0.0205761316872428,0.10082304526749,0.00205761316872428,0.0740740740740741,0.00617283950617284,0.00205761316872428,0.00411522633744856,0.00205761316872428,0.00205761316872428,0,0,0,0,0,0,0,0,0,0,0,0,0
90,232,0.00285714285714286,0.0657142857142857,0,0,0.00285714285714286,0.0657142857142857,0.0142857142857143,0,0,0.0885714285714286,0.0285714285714286,0.0857142857142857,0.00571428571428571,0.0114285714285714,0.00857142857142857,0.00571428571428571,0.0885714285714286,0.00285714285714286,0.02,0.105714285714286,0.1,0,0,0.00285714285714286,0.18,0.00285714285714286,0.08,0.0142857142857143,0,0,0.00285714285714286,0.00285714285714286,0,0,0.0114285714285714,0,0,0,0,0,0,0,0,0,0
100,287,0.00564971751412429,0.096045197740113,0,0.00282485875706215,0,0.124293785310734,0.0141242937853107,0.00282485875706215,0,0.0282485875706215,0.019774011299435,0.101694915254237,0.0225988700564972,0.0141242937853107,0,0.00847457627118644,0.0593220338983051,0,0.00847457627118644,0.0338983050847458,0.0875706214689266,0,0.00282485875706215,0.0225988700564972,0.180790960451977,0.00282485875706215,0.132768361581921,0,0.00282485875706215,0.0169491525423729,0,0,0,0,0.00564971751412429,0,0,0.00282485875706215,0,0,0,0,0,0,0
120,417,0.002710027100271,0.111111111111111,0,0,0,0.097560975609756,0.010840108401084,0,0.002710027100271,0.035230352303523,0.065040650406504,0.200542005420054,0.008130081300813,0.010840108401084,0.00542005420054201,0.010840108401084,0.016260162601626,0.00542005420054201,0,0,0.048780487804878,0,0,0.00542005420054201,0.186991869918699,0.00542005420054201,0.0894308943089431,0.002710027100271,0.002710027100271,0.013550135501355,0.002710027100271,0,0,0.0596205962059621,0,0,0,0,0,0,0,0,0,0,0
140,571,0,0.0897097625329815,0,0.00527704485488127,0,0.0606860158311346,0.0079155672823219,0,0,0.0263852242744063,0.0448548812664908,0.253298153034301,0.00527704485488127,0.0184696569920844,0.00527704485488127,0,0.0237467018469657,0.00263852242744063,0,0,0.0606860158311346,0,0,0.0105540897097625,0.158311345646438,0.0079155672823219,0.116094986807388,0.0105540897097625,0.00263852242744063,0.0158311345646438,0,0,0,0.0686015831134565,0.00263852242744063,0,0,0,0,0.00263852242744063,0,0,0,0,0
