"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Liriodendron","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Galium","Iva.annua.type","Iva.undiff.","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea"
0,-45,566,0,0,11,1,11,0,0,6,0,0,0,268,0,4,1,0,0,0,0,0,0,1,43,0,4,0,34,1,1,0,0,0,0,0,0,1,0,3,46,0,3,36,0,1,0,28,0,0,0,0,0,0,0,27,2,0,16,0,0,0,0,0,2,0,0,1,0,0,0,0,11,0,0,0,3,0,0,0,0
1,-39,601,6,0,7,0,18,0,2,11,0,0,0,307,6,2,2,0,0,0,1,0,0,1,45,0,1,0,5,2,1,0,0,0,0,0,0,3,0,9,48,0,9,36,0,0,0,10,0,1,0,0,0,0,1,38,10,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0
2,-33,533,5,0,8,0,18,0,0,1,1,0,0,260,0,2,0,0,0,0,1,0,0,1,48,0,1,0,24,1,1,0,0,0,0,0,0,0,0,4,42,0,5,39,0,0,0,25,0,0,0,0,0,0,0,26,3,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,2,2,0,0,0,0
3,-28,670,2,0,7,0,25,0,2,10,0,0,0,367,9,3,1,0,0,0,0,0,0,0,56,0,0,0,10,0,0,0,0,1,0,0,0,2,0,8,42,0,13,26,0,0,0,18,0,1,0,0,0,0,1,36,4,0,13,0,0,2,0,0,0,1,0,0,0,1,0,0,3,0,0,0,6,0,0,0,0
4,-22,573,4,0,2,2,13,0,0,6,0,1,0,281,0,1,0,0,0,0,1,3,0,0,58,0,4,0,16,4,0,1,0,0,0,0,0,2,1,7,34,0,1,28,0,1,0,30,0,3,0,0,0,0,2,31,6,0,9,0,0,0,0,0,1,2,0,0,0,0,0,1,12,0,0,0,5,0,0,0,0
5,-15,570,1,0,3,0,17,0,3,6,0,0,0,279,3,1,0,0,0,0,0,0,0,0,70,0,1,0,18,1,0,0,0,0,0,0,0,1,0,10,45,0,6,16,1,0,0,19,0,1,0,0,0,0,1,36,0,0,11,0,1,1,0,0,0,1,0,1,0,0,0,1,10,0,0,0,5,0,0,0,0
6,-8,538,4,0,5,0,22,0,0,3,0,0,0,237,0,2,1,0,0,1,1,1,0,0,53,0,2,0,14,1,0,0,0,0,0,0,0,1,0,7,46,3,6,25,0,1,0,27,0,1,0,0,0,0,0,47,5,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,1,6,0,0,0,0
7,34,803,1,0,4,0,40,0,1,9,0,0,0,375,3,1,1,0,0,0,1,0,0,5,120,0,2,0,15,0,2,0,0,1,0,0,0,0,0,6,70,0,10,18,0,1,0,23,0,3,0,0,0,0,0,48,8,0,10,0,1,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0
8,39,536,0,0,1,1,17,0,0,5,0,1,0,265,0,1,1,0,0,0,0,0,0,3,60,0,5,0,14,1,1,1,0,1,0,0,0,4,1,5,40,0,0,26,0,1,0,14,0,0,1,0,0,0,0,49,4,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0
9,52,643,2,0,1,0,21,0,1,7,1,1,0,302,2,3,0,0,0,0,0,0,0,3,95,0,3,0,11,0,0,0,0,0,0,0,0,1,0,7,48,0,8,30,1,0,0,17,0,0,0,0,0,0,0,62,9,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10,75,539,2,0,4,0,15,0,0,3,0,0,0,208,0,0,2,0,0,0,0,0,0,1,83,0,2,0,14,1,0,0,0,0,0,0,0,5,0,3,46,1,4,38,0,2,0,31,0,0,0,0,0,0,0,52,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0
11,91,702,0,0,2,0,22,0,0,4,0,1,0,261,3,0,0,0,0,0,0,0,0,1,104,0,1,0,15,2,1,0,0,2,0,0,0,1,0,9,88,1,18,26,0,0,0,22,0,0,0,0,0,0,0,95,20,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,141,549,2,0,3,4,19,0,1,1,0,1,0,198,0,1,1,0,0,0,0,1,0,0,84,0,7,0,14,1,2,0,0,0,0,0,0,1,0,3,56,1,9,25,1,0,0,25,0,1,0,0,0,0,1,78,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
13,191,501,0,0,3,0,15,0,0,0,0,0,0,207,3,3,0,0,0,0,0,0,0,0,83,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,60,0,10,18,2,0,0,18,0,0,0,0,0,0,0,61,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,241,526,3,0,3,0,27,0,0,3,0,0,0,223,0,0,0,0,0,0,0,1,0,1,80,0,2,0,18,0,1,0,0,0,0,0,0,2,0,4,36,0,5,30,0,0,0,26,0,1,0,0,0,0,0,46,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15,291,565,0,0,0,0,9,0,0,2,0,0,0,255,0,3,1,0,0,0,1,0,0,0,95,0,2,0,6,0,1,0,0,0,0,0,0,2,0,4,48,0,10,22,0,0,0,24,0,0,0,0,0,0,1,68,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0
16,340,520,2,0,3,1,18,0,0,5,1,2,0,206,0,1,0,0,0,0,1,0,0,1,70,0,1,0,4,0,0,0,0,0,0,0,0,2,1,3,54,0,5,28,0,1,0,30,0,0,0,0,0,0,0,70,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,440,520,1,0,3,0,15,0,0,3,0,0,0,212,0,0,1,0,0,0,0,0,0,4,84,0,1,0,12,1,1,0,0,0,0,0,0,1,1,1,38,4,3,21,0,2,0,33,0,0,0,0,0,0,0,66,8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,540,533,0,0,8,3,16,0,0,2,0,1,0,214,0,2,0,0,0,0,0,1,0,0,68,0,2,0,8,0,2,0,0,0,0,0,0,0,6,5,45,0,1,26,0,0,0,23,0,0,0,0,0,0,1,81,5,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
22,640,519,2,0,1,0,12,0,0,4,0,0,0,202,0,0,1,0,0,0,0,0,0,2,86,0,3,0,18,1,0,0,0,0,0,0,0,0,0,2,40,1,7,28,0,1,0,24,0,0,0,0,0,0,0,72,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,740,521,0,0,2,0,8,0,0,3,0,0,0,241,0,2,1,0,0,0,0,0,0,0,79,0,3,0,14,0,1,0,0,0,0,0,0,0,0,4,40,0,4,19,0,0,0,23,0,0,0,0,0,0,1,65,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26,839,521,4,0,3,0,9,0,0,2,0,1,0,234,0,1,0,0,0,0,1,0,0,0,84,0,5,0,10,0,1,0,0,0,0,0,0,1,0,3,42,0,5,14,0,0,0,24,0,0,0,0,0,0,0,66,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,939,514,0,0,5,1,14,0,0,2,0,0,0,213,0,1,0,0,0,0,0,0,0,1,96,0,2,0,18,0,1,1,0,0,0,0,0,0,0,2,28,0,7,24,0,0,0,25,0,0,0,0,0,0,0,63,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1034,513,1,0,5,0,27,0,0,1,0,4,0,227,0,1,0,0,0,0,0,0,0,1,83,0,7,0,6,1,0,0,0,0,0,0,0,0,0,3,24,0,2,21,0,2,0,19,0,1,0,0,0,0,1,67,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
32,1114,509,1,0,2,0,13,0,0,1,0,0,0,215,0,0,0,0,0,0,0,0,0,0,119,0,2,0,8,0,3,0,0,0,0,0,0,1,0,4,29,1,2,16,0,1,0,29,0,1,0,0,0,0,0,55,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,1194,548,2,0,0,1,12,0,4,9,0,0,0,267,0,1,1,0,0,0,1,0,0,1,95,0,3,9,17,0,0,0,0,0,0,0,0,0,0,2,20,0,8,6,0,0,0,22,0,1,0,0,0,0,2,53,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
36,1274,593,1,0,0,1,18,0,1,10,0,0,0,268,0,0,1,0,0,0,0,0,0,1,109,0,5,9,19,0,1,0,0,0,0,0,0,1,0,2,26,0,10,18,0,0,0,20,0,0,0,0,0,0,2,58,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
38,1354,533,0,0,3,2,14,0,4,3,0,0,0,254,0,3,0,0,0,0,0,0,0,0,82,0,4,7,15,0,0,1,1,0,0,0,0,0,0,3,28,1,5,15,0,0,0,10,0,0,0,0,0,0,3,63,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,1434,519,1,0,2,1,26,0,0,1,0,3,0,213,0,1,1,0,0,0,0,0,0,0,106,0,8,0,16,0,0,0,0,0,0,0,0,0,1,2,22,0,3,18,0,2,0,18,0,0,0,0,0,0,0,63,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
42,1513,593,0,0,2,2,13,0,4,4,0,0,0,300,0,2,2,0,0,0,0,0,0,1,100,0,2,8,12,0,1,1,0,0,0,0,0,1,0,4,16,0,3,22,0,0,0,15,0,0,0,0,0,0,0,71,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
