"sample.depths","sample.ages","Acer.negundo","Ambrosia.type","Amorpha.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Pinus","Rubiaceae","Corylus","Thalictrum","Tilia","Urtica.type","Alnus","Ranunculus","Iva.annua.type","Elymus","Juglans.cinerea","Ostrya.Carpinus","Picea","Sarcobatus.vermiculatus","Populus","Dalea.candida","Dalea.purpurea","Abies","Lamiaceae","Cupressaceae","Platanus","Plantago","Rhamnaceae.Vitaceae.undiff.","Acer.saccharum.type","Carya","Ericaceae","Rosaceae","Cornus","Polygonum","Apiaceae","Larix","Humulus","Ephedra","Malvaceae","Parthenocissus","Shepherdia.canadensis","Epilobium.type","Juglans.nigra","Brassicaceae","Fagus","Shepherdia.argentea","Caryophyllaceae"
190,0,0.00664451827242525,0.375415282392027,0.00332225913621262,0.0431893687707641,0.00332225913621262,0.152823920265781,0.0299003322259136,0.00332225913621262,0.0199335548172757,0.0996677740863787,0.079734219269103,0.00332225913621262,0.079734219269103,0.00332225913621262,0.0199335548172757,0.00332225913621262,0.0299003322259136,0.0398671096345515,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,147,0,0.312292358803987,0.00332225913621262,0.079734219269103,0.0132890365448505,0.192691029900332,0.0598006644518272,0,0.0398671096345515,0.116279069767442,0.0631229235880399,0.00332225913621262,0.0398671096345515,0.00332225913621262,0.0132890365448505,0.0132890365448505,0.00996677740863787,0,0,0.00664451827242525,0.00664451827242525,0.00332225913621262,0.00332225913621262,0.0132890365448505,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,293,0,0.235099337748344,0,0.0827814569536424,0.0033112582781457,0.0827814569536424,0.0860927152317881,0,0.00993377483443709,0.16887417218543,0.0264900662251656,0,0.0960264900662252,0,0.0198675496688742,0.0397350993377483,0.0231788079470199,0.0496688741721854,0,0,0.0033112582781457,0.00993377483443709,0,0.00662251655629139,0.0033112582781457,0.0033112582781457,0.00993377483443709,0.0033112582781457,0.0033112582781457,0.00662251655629139,0.00662251655629139,0.00662251655629139,0.00662251655629139,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,440,0,0.182119205298013,0,0.132450331125828,0.0165562913907285,0.0165562913907285,0.175496688741722,0,0.00993377483443709,0.158940397350993,0.0033112582781457,0,0.0860927152317881,0,0.0231788079470199,0.0397350993377483,0.0165562913907285,0.0827814569536424,0,0.0033112582781457,0.0033112582781457,0.0033112582781457,0,0.0165562913907285,0.00662251655629139,0,0,0,0.00993377483443709,0.0033112582781457,0,0,0,0,0.00662251655629139,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,586,0.00335570469798658,0.0671140939597315,0.00335570469798658,0.151006711409396,0.0167785234899329,0.0671140939597315,0.0939597315436242,0,0.00671140939597315,0.231543624161074,0,0.00335570469798658,0.144295302013423,0.00335570469798658,0.023489932885906,0.0268456375838926,0.0134228187919463,0.110738255033557,0,0,0,0.00671140939597315,0,0.00671140939597315,0,0,0,0.00335570469798658,0.00335570469798658,0,0.00335570469798658,0.00671140939597315,0,0,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,733,0,0.0466666666666667,0,0.113333333333333,0.05,0.0266666666666667,0.14,0,0,0.213333333333333,0.00333333333333333,0,0.136666666666667,0,0.0166666666666667,0.03,0.0233333333333333,0.16,0,0,0,0.00333333333333333,0,0.0133333333333333,0,0,0.00333333333333333,0,0,0.00666666666666667,0.00333333333333333,0,0,0.00333333333333333,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,879,0,0.121710526315789,0,0.0855263157894737,0.0394736842105263,0.0263157894736842,0.0921052631578947,0.00328947368421053,0.00986842105263158,0.243421052631579,0,0,0.121710526315789,0.00328947368421053,0.0230263157894737,0.0394736842105263,0.0296052631578947,0.101973684210526,0,0,0.00328947368421053,0.00986842105263158,0,0.0131578947368421,0.00328947368421053,0.00657894736842105,0.00328947368421053,0,0,0.00657894736842105,0,0,0,0,0,0,0,0.00657894736842105,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1026,0,0.0759075907590759,0,0.181518151815182,0.0231023102310231,0.0297029702970297,0.0726072607260726,0,0.0099009900990099,0.155115511551155,0,0,0.237623762376238,0,0.0198019801980198,0.0396039603960396,0.0231023102310231,0.0957095709570957,0.0033003300330033,0,0,0.0066006600660066,0,0,0.0099009900990099,0.0033003300330033,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0.0066006600660066,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1172,0,0.110738255033557,0,0.144295302013423,0.0134228187919463,0.0402684563758389,0.110738255033557,0,0.00335570469798658,0.114093959731544,0.00671140939597315,0.00335570469798658,0.177852348993289,0,0.0167785234899329,0.0436241610738255,0.0201342281879195,0.130872483221477,0,0,0,0.0167785234899329,0,0.0302013422818792,0,0,0,0,0.00335570469798658,0.00335570469798658,0,0,0,0,0,0,0,0.00671140939597315,0,0,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1319,0.0099009900990099,0.115511551155116,0.0033003300330033,0.151815181518152,0.0132013201320132,0.0363036303630363,0.128712871287129,0,0.0231023102310231,0.194719471947195,0,0,0.0957095709570957,0,0.0231023102310231,0.0396039603960396,0.0297029702970297,0.0759075907590759,0,0.0033003300330033,0.0033003300330033,0.0099009900990099,0,0.0033003300330033,0.0132013201320132,0,0.0033003300330033,0,0,0.0033003300330033,0.0033003300330033,0.0066006600660066,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
