"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Abies.balsamea","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Picea.undiff.","Fagus","Larix","Populus.balsamifera.type","Carya.ovata","Tsuga.canadensis","Acer.spicatum","Ostrya.Carpinus","Picea.rubens.type","Acer.saccharum","Myrica.gale","Populus.tremuloides.type","Rhamnus.alnifolia.R..frangula","Pinaceae","Amaranthaceae","Potentilla.palustris.type","Ranunculaceae.undiff.","Rosaceae.undiff.","Nemopanthus.mucronatus","Viburnum.nudum","Juglans.nigra","Sambucus","Juglans.cinerea","Cornus.undiff.","Rhus.typhina","Juniperus.communis.Thuja.occidentalis.type","Castanea.dentata","Acer.rubrum","Fraxinus.pennsylvanica.type","Juniperus.type","Cornus.sericea","Caryophyllaceae","Thalictrum","Polygonum.lapathifolium.type","Shepherdia.canadensis","Dryas","Saxifraga.stellaris.type"
10,145,270,21,5,7,2,78,3,14,1,18,1,4,45,8,1,1,2,1,5,11,8,13,2,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,434,570,19,4,0,1,135,1,9,0,0,0,22,118,30,3,1,0,1,1,35,8,27,39,89,1,19,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,723,571,16,2,0,1,166,1,2,1,1,0,7,32,17,3,0,0,3,0,42,14,16,30,195,0,6,1,1,0,1,3,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1084,393,6,2,0,1,126,2,1,1,0,0,19,42,13,3,0,0,1,0,32,19,18,10,71,0,11,1,4,0,0,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1446,505,7,2,0,1,129,5,1,3,0,0,4,34,38,0,0,0,1,0,16,17,25,96,104,0,6,3,1,0,0,2,1,1,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1807,313,1,1,0,0,68,2,0,1,0,0,6,31,14,2,0,0,0,0,17,0,30,18,111,0,3,2,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2169,566,7,1,1,0,208,2,2,0,0,0,10,39,20,0,1,0,1,0,23,20,33,34,141,0,12,1,1,0,0,2,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2530,461,6,0,0,1,206,3,1,1,0,0,1,38,38,2,0,0,1,0,8,3,25,12,101,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2892,504,5,0,0,0,171,1,1,0,0,0,1,18,66,4,0,1,0,0,13,11,8,61,120,0,6,2,0,0,1,2,1,2,0,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3253,441,11,5,0,1,247,1,0,0,0,0,1,13,27,1,0,1,1,0,2,11,24,4,76,0,7,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3615,430,6,0,0,0,222,0,3,0,0,0,5,5,23,8,0,0,5,0,22,29,7,2,64,0,10,2,1,0,0,1,1,0,0,4,2,0,0,0,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3976,331,8,1,0,0,147,1,0,0,0,0,0,18,18,0,0,0,0,0,12,4,16,2,98,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
