"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Rumex","Taxus","Thalictrum","Alnus","Acer","Fraxinus","Myrica","Populus","Poaceae","Rosaceae","Corylus","Pinus.subg..Strobus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Castanea","Amaranthaceae","Carya","Plantago","Cupressaceae","Trees.undiff.","Rhamnaceae.Vitaceae","Salix","Tilia","Juglans","Polygonaceae.undiff."
0,51,382,8,1,2,1,158,3,1,3,3,1,1,117,13,1,1,4,2,1,52,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,263,428,18,2,2,1,173,2,0,3,0,1,1,150,7,8,4,0,0,0,46,0,1,1,0,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
20,475,386,11,3,1,2,161,1,0,2,0,2,3,129,5,2,4,0,1,0,42,1,2,5,0,2,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0
30,686,762,24,0,0,3,341,5,2,5,1,1,1,229,10,8,7,0,2,0,87,1,0,12,1,2,1,0,10,2,0,4,0,1,1,1,0,0,0,0,0,0,0
40,898,311,21,0,1,1,147,4,1,2,1,0,1,89,2,4,5,0,0,0,20,1,1,5,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
50,1110,341,15,0,1,0,155,2,2,1,2,1,1,99,9,3,1,0,0,0,33,2,2,2,0,1,0,0,1,2,0,2,1,0,0,0,2,1,0,0,0,0,0
60,1322,307,7,0,0,2,145,0,0,1,2,1,0,93,6,0,3,0,0,0,41,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70,1534,319,16,0,1,2,150,3,0,2,0,3,1,86,0,2,6,0,1,1,32,3,2,1,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0
80,1745,299,6,0,1,2,143,3,1,0,0,0,2,86,1,9,3,0,0,0,31,1,2,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,1957,333,15,1,1,1,161,3,1,1,0,0,1,82,4,2,3,0,0,1,41,2,1,2,0,1,1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
