"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Iva.annua","Larix","Lycopodium.type","Myrica","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Populus","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown","Urtica"
1,15,13,0,0,245,0,0,1,0,4,0,86,0,0,0,0,0,19,17,0,16,0,0,0,12,0,0,0,46,0,0,0,79,6,0,20,0,0,0,0,0,1,50,0,0,63,1,0,0,0,0
2,56,12,0,0,67,2,3,6,0,9,0,64,5,0,4,1,1,245,3,0,10,0,0,0,0,0,0,4,10,0,0,0,77,6,1,66,0,0,1,5,4,0,82,0,1,20,3,0,0,0,1
3,98,8,0,0,77,3,1,0,0,15,1,64,4,0,7,2,0,216,5,0,12,0,0,0,0,0,0,0,14,2,0,0,68,5,0,66,0,0,0,4,0,1,115,0,0,9,4,0,0,0,0
4,139,5,0,0,162,1,0,4,0,6,2,81,7,0,0,0,2,93,25,0,18,0,0,0,12,0,0,1,24,0,0,0,46,11,0,67,0,1,0,1,0,0,54,0,0,32,4,0,0,0,0
5,180,9,0,0,136,0,1,2,0,3,0,98,1,0,0,0,3,127,11,0,17,0,0,0,8,0,0,3,10,0,1,0,77,10,0,71,0,0,0,1,0,2,54,0,0,48,2,0,0,0,0
6,221,5,0,0,102,1,2,4,0,11,0,139,0,0,2,0,0,87,11,7,19,0,0,0,0,0,0,0,12,0,0,0,67,7,0,104,2,0,0,1,1,2,51,1,0,42,7,0,0,0,0
7,262,7,0,0,62,3,1,5,0,13,0,101,0,0,0,0,0,113,18,0,13,0,0,0,4,0,0,1,9,0,0,0,80,7,0,171,0,0,0,0,0,0,128,0,0,25,3,0,0,0,0
8,304,15,0,0,88,0,1,6,3,13,0,73,0,0,1,0,0,77,7,0,6,0,0,0,0,0,0,0,7,0,0,0,103,12,0,110,0,0,1,1,0,0,123,1,0,20,3,0,0,0,0
9,345,9,0,0,89,0,2,8,0,14,0,180,0,0,2,0,0,72,6,0,9,0,0,0,6,0,1,0,8,0,0,0,73,9,0,74,0,0,0,1,0,1,100,0,0,27,3,0,0,1,0
10,386,10,0,0,64,2,0,7,1,40,0,136,1,0,0,0,1,77,1,0,9,0,0,0,5,0,0,0,8,0,0,0,79,9,0,69,0,0,1,0,0,1,117,0,0,19,3,1,0,1,0
11,427,2,0,0,53,0,0,7,0,27,0,269,0,0,3,0,0,38,0,0,9,0,0,0,0,0,0,1,8,0,1,0,64,11,0,76,0,0,0,0,0,0,64,0,0,19,6,0,0,0,0
12,469,8,0,0,58,2,0,5,2,8,0,168,0,0,1,0,4,117,2,0,7,0,0,0,2,0,0,0,5,0,0,0,96,11,0,20,0,0,1,4,0,2,44,0,0,16,6,0,0,1,0
13,510,13,0,0,57,0,1,23,0,12,0,203,0,0,1,0,0,91,5,0,1,0,0,0,0,0,0,0,1,0,0,0,105,8,0,33,0,0,0,0,4,2,97,0,0,20,5,0,0,0,0
14,551,8,0,0,58,2,0,9,0,16,0,106,0,0,0,0,3,151,10,0,10,0,0,0,6,0,0,1,12,0,0,0,95,6,0,35,0,0,1,0,0,1,160,0,0,67,9,0,0,0,0
15,592,11,0,0,53,1,0,8,0,19,1,80,0,0,0,0,1,179,3,0,6,0,0,0,6,0,0,0,5,0,0,0,133,9,0,42,0,0,0,1,1,0,164,0,0,90,7,1,0,1,0
16,633,10,0,0,54,0,0,7,0,11,0,87,0,0,0,0,0,68,5,0,18,0,0,0,0,0,0,1,5,0,0,0,79,17,0,31,0,0,0,1,0,1,228,0,0,23,11,0,0,0,0
17,675,15,1,0,59,1,0,15,1,13,0,59,0,0,0,0,1,75,4,0,14,0,0,0,0,0,0,0,11,0,0,0,92,15,0,51,0,0,2,0,2,1,195,0,0,28,2,0,0,0,0
18,716,7,0,0,51,0,0,4,0,18,0,62,0,0,1,0,0,62,5,0,13,0,0,0,0,0,0,0,9,0,0,0,66,3,1,61,0,0,0,1,2,0,138,0,0,54,2,0,0,2,0
19,757,13,0,0,46,1,1,3,0,20,5,60,0,0,0,2,1,113,5,0,9,0,0,0,0,0,1,0,12,5,0,0,105,11,0,93,0,0,0,1,0,1,134,0,0,87,4,0,0,0,0
20,798,11,0,0,61,1,0,8,0,22,0,47,0,0,0,0,1,90,2,0,7,0,0,0,0,0,0,1,11,1,0,0,101,9,0,43,2,0,0,0,4,0,66,0,0,555,4,0,0,0,0
