"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Rumex","Cornus","Acer.undiff.","Cannabaceae","Amaranthaceae.undiff.","Liquidambar","Tilia","Ericaceae","Juglans.nigra","Vitis","Castanea","Juglans.cinerea","Thalictrum","Morus","Galium","Plantago","Aquifoliaceae","Sarcobatus.vermiculatus","Urtica.type","Ranunculaceae.undiff.","Iva.xanthifolia.type","Shepherdia.canadensis","Celtis","Herbs.undiff.","Onagraceae","Dryas.type"
1,11,539,7,4,2,1,11,20,12,4,116,1,1,13,4,2,2,1,1,4,32,146,106,2,14,2,2,1,2,1,13,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,216,519,4,5,0,0,20,16,24,4,139,0,2,10,1,1,3,0,1,3,23,110,100,0,12,2,3,1,7,1,3,13,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,365,586,5,0,0,0,25,28,5,1,144,0,3,21,8,8,1,2,7,9,25,138,107,1,10,1,8,1,6,0,4,5,4,0,0,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,551,542,6,4,0,0,11,6,3,1,109,3,1,19,1,3,2,0,5,10,25,92,181,3,27,1,3,2,6,0,3,3,4,0,1,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,738,464,2,0,0,0,8,10,1,3,97,0,3,26,2,3,2,0,1,11,13,90,133,0,14,1,8,0,11,0,4,6,3,0,1,5,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,926,466,11,0,0,0,14,12,3,3,79,0,4,7,1,4,4,1,1,24,13,99,109,2,28,2,6,0,4,0,13,3,6,0,2,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1114,421,1,6,2,0,5,5,3,1,73,0,2,8,2,2,1,0,1,3,24,93,157,1,12,1,4,1,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1304,565,3,0,0,0,13,8,1,7,113,1,5,51,4,4,3,3,3,13,31,94,134,2,14,0,8,3,12,0,6,4,9,0,1,5,1,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1495,438,5,6,1,0,7,6,2,1,71,1,0,15,3,3,0,1,2,4,16,66,180,1,17,1,1,0,4,0,12,3,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1687,465,2,0,0,0,7,8,2,3,100,1,2,6,4,7,0,2,3,4,8,97,160,1,19,2,3,1,7,0,8,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
