"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Campanula.type","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Juglans.cinerea","Larix","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Dalea","Castanea.dentata","Myrica.gale","Acer.spicatum","Corylus.cornuta","Caryophyllaceae","Fabaceae.undiff.","Brassicaceae","Nemopanthus.mucronatus","Viburnum.nudum","Myosotis.type","Thalictrum","Liliaceae","Amaranthaceae","Acer.nigrum","Salix","Galium","Acer.saccharinum","Urticaceae","Carya.cordiformis","Ranunculaceae.undiff.","Pinus.resinosa.type","Mentha.type","Sambucus","Populus.deltoides.type","Viburnum.opulus","Populus.balsamifera.type","Cornus","Onagraceae.undiff.","Shepherdia.canadensis","Elaeagnus.commutata","Potentilla.palustris.type","Epilobium","Asteraceae.subf..Cichorioideae","Ephedra"
10,260,437,4,7,1,169,3,2,18,3,1,5,1,34,27,10,2,1,2,8,3,11,6,1,3,1,81,5,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,649,539,0,13,2,205,13,2,25,6,2,1,2,33,28,11,1,1,8,7,1,8,5,0,0,0,112,13,19,5,1,1,1,3,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1039,520,0,23,6,191,14,3,31,1,3,0,0,26,32,6,0,1,6,8,4,6,9,0,0,4,90,12,27,7,0,0,0,2,2,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1299,543,3,7,2,237,6,0,26,6,0,0,0,22,21,10,0,1,7,8,2,5,10,0,0,0,63,16,73,4,0,0,0,5,1,0,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1948,463,2,7,2,228,10,1,20,4,4,1,1,8,7,21,0,0,2,21,2,1,6,0,0,0,70,3,31,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2598,713,4,12,0,255,12,1,65,13,6,6,0,14,39,10,2,0,11,10,4,9,10,0,0,2,147,15,53,3,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3247,646,3,6,1,288,5,0,46,11,3,5,0,17,23,13,2,0,5,25,2,2,12,0,2,0,95,19,52,1,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3897,510,5,12,1,205,12,1,31,11,3,4,0,14,23,7,1,3,4,2,0,5,8,0,2,1,112,5,19,4,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4546,515,2,11,2,242,6,2,14,6,2,3,1,7,10,13,3,1,4,1,5,3,8,0,0,0,137,1,20,2,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5196,582,0,14,0,235,3,1,21,6,0,0,1,14,38,15,0,1,6,1,0,8,13,0,1,0,157,0,32,3,0,1,0,4,0,2,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,5585,542,0,20,3,211,1,0,2,5,1,5,1,9,12,7,4,0,6,0,5,1,5,0,0,0,148,0,81,2,0,0,1,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,5845,397,1,14,3,137,3,0,7,6,3,1,1,2,20,4,1,0,9,2,4,1,2,0,0,1,80,2,81,1,1,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,5964,446,4,6,4,127,4,0,2,3,1,4,1,7,29,16,0,0,11,7,3,3,6,0,0,20,101,4,64,3,0,0,4,3,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,6072,559,0,8,5,134,9,1,3,4,3,0,0,3,23,11,4,0,8,0,0,2,8,0,0,2,262,0,55,0,0,2,2,2,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,6252,524,0,12,6,162,4,1,6,16,1,1,0,7,17,41,15,1,10,0,0,1,4,0,0,1,190,0,14,2,0,1,0,1,0,1,0,0,0,2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6433,424,2,6,12,65,3,1,6,9,1,4,0,9,39,12,5,5,7,2,5,5,5,0,0,2,186,1,3,4,0,1,0,4,2,1,0,0,1,12,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,6541,617,0,16,2,191,5,3,4,9,6,1,0,6,37,19,0,2,8,0,1,1,8,0,0,6,227,1,47,2,0,6,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
