"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Quercus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia","Thalictrum","Tilia","Tsuga","Ulmus"
10,219,0,47,9,2,11,4,0,124,8,0,0,3,0,0,0,83,8,0,13,3,0,23,1,34,1,7,49,0,2,0,0,0,16,31,58
15,535,0,36,4,0,8,2,0,123,7,0,0,1,0,0,0,72,8,0,5,2,0,10,1,70,2,3,45,0,0,0,0,0,4,39,73
20,850,0,31,5,1,6,5,0,170,2,0,2,1,2,0,0,52,6,0,6,1,0,21,2,35,1,5,67,0,1,0,0,0,11,23,64
25,1166,0,32,8,3,2,3,0,125,5,0,0,1,0,0,0,64,17,0,7,2,0,20,1,53,3,10,54,2,0,0,0,0,3,52,66
30,1480,2,46,5,2,3,1,1,96,3,0,0,2,0,0,0,57,11,0,8,0,0,11,4,42,5,11,34,2,0,1,0,0,4,98,57
35,1794,0,40,10,1,2,3,2,150,5,0,0,5,0,0,0,89,6,0,8,1,0,19,0,26,4,1,43,0,2,0,0,0,6,59,67
40,2106,0,39,2,1,6,4,1,130,6,3,0,2,2,0,0,92,8,0,8,0,0,30,2,46,3,7,34,0,1,0,0,0,2,52,54
45,2417,0,44,5,3,8,4,0,77,5,0,0,1,2,0,0,89,8,0,5,3,0,6,2,66,0,5,38,1,0,0,0,1,0,101,67
50,2726,0,36,12,0,2,8,2,126,3,0,2,2,0,0,0,83,11,0,8,2,0,20,0,37,1,4,41,1,1,0,0,0,4,58,61
55,3033,1,25,13,2,5,4,1,100,2,0,0,1,1,0,0,99,7,0,9,2,0,13,1,31,4,3,45,1,0,0,0,0,3,58,87
60,3339,0,26,7,1,1,1,0,107,5,0,2,4,0,0,0,148,7,0,7,0,0,26,1,42,1,6,49,0,2,0,0,0,1,39,59
