"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Artemisia","Betula","Carya","Corylus","Cyperaceae","Fraxinus.nigra.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Rhus","Salix","Zea.mays","Ambrosia","Ostrya.type","Trifolium.repens.type","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..incana","Thuja.type","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Rosaceae","Alnus.cf..A..viridis","Acer.rubrum","Caryophyllaceae","Platanus","Sarcobatus.vermiculatus","Iva.annua.type","Polygonum.lapathifolium.type","Humulus.type","Acer.saccharum","Fraxinus.pennsylvanica.type","Agastache.type","Juglans.cinerea.type","cf..Ceanothus","Parietaria.type","Galium","Asteraceae.subf..Cichorioideae","Dalea.candida.type","Ephedra","Amorpha"
0,-30,226.5,1,1,5,5,1,4,47,1,9,1,1,3.5,92,3,3,1,1,1,7,2,1,13,2,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,56,292,4.5,0,4,12,0,0,59.5,0,4,0,0,8,112,2,5,0,3,0,13,1,0,10.5,4,32.5,6,1,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,134,312.5,0,0,1,11,0,4,53,1,2,0,2,7,158.5,1,8,0,2,0,6,1,0,9.5,3,24.5,6,0,0,2,3,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,647,261,1,0,6,10,0,0,40.5,0,9,0,1,6,139.5,2,3,0,3,0,0,1,0,9.6,2,15.4,7,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,903,382,3.5,0,3,19,0,6,60,2,12,1,1,9.5,178,1,6,0,0,0,3,1,0,20,0,37,5,1,0,2,2,0,0,4,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
65,1310,310.5,0.5,0,7,15,0,2,74,0,15,0,4,12.5,113,3,11,0,2,0,0,4,0,11,1,19.5,5,2,1,2,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
90,2172,391.5,1.5,0,8,26,0,5,85,6,26,0,1,7.5,109,9,23,0,2,0,4,11,0,21,4,21.5,11,1,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2690,288.5,2,0,13,24,0,1,67,6,15,0,2,6,56.5,6,37,0,2,0,5,7,0,8.8,3,7.2,7,2,0,3,1,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
115,3034,384,0,0,22.5,36,0,1,92,6,21,0,1,3,72.5,6,40,1,6,0,4,11,0,22.4,0,5.6,16,0,0,6,4,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
125,3379,409.5,1.5,0,23,24,0,3,172,2,43,2,0,2.5,40.5,9,23,0,3,0,9,3,0,7,9,6,10,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
145,NA,370.5,0,0,28,10,0,0,162,2,59,1,1,4,31,2,10,0,0,0,5,3,0,7.5,4,3,7,0,1,20,4,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
200,NA,403,0.5,0,43,7,0,2,170,2,51,0,0,2.5,38.5,7,28,0,2,0,9,5,0,2,6,0.5,3,0,0,10,1,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,4
