"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Ericaceae","Fraxinus","Juglans","Juniperus","Larix","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Eupatorium","Poaceae","Rosaceae","Thalictrum","Dryopteris","Equisetum","Polypodium","Thelypteris","Sphagnum","Myriophyllum","Nuphar","Typha","Unknown"
2,52,0,7,6,75,0,0,0,0,0,0,0,0,17,69,86,6,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10,433,1,0,3,73,0,0,0,0,0,0,0,0,16,157,173,12,1,28,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
20,904,1,3,3,83,0,0,0,0,0,0,0,0,28,157,185,11,2,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0
30,1368,0,2,6,68,0,0,0,0,0,0,0,0,10,172,182,5,0,25,0,1,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
40,1819,1,1,3,106,0,0,0,1,0,0,0,0,16,126,142,11,0,14,0,3,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50,2255,2,1,5,53,0,0,0,6,0,0,0,0,22,161,183,7,0,38,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,2670,1,0,5,78,0,0,0,6,0,0,0,0,38,133,171,10,0,16,0,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
70,3061,2,2,0,62,0,0,0,1,0,0,0,1,37,149,186,9,3,17,0,5,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
80,3424,2,7,7,45,0,0,0,3,0,0,0,6,34,177,211,2,0,5,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
90,3757,2,9,10,55,0,0,1,3,0,0,0,3,41,147,188,11,0,2,0,1,0,10,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0
100,4060,2,11,7,64,0,0,6,2,0,0,2,7,38,137,175,12,0,0,0,3,0,4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1
110,4335,2,15,3,35,0,0,2,3,0,0,3,7,0,0,203,9,2,4,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2
120,4585,3,9,5,56,0,0,1,2,0,0,3,4,64,125,189,17,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
130,4811,6,16,5,49,0,0,4,1,0,0,2,3,61,118,179,11,0,2,3,1,0,2,0,0,0,1,2,0,1,5,0,0,0,5,0,0,2
140,5016,7,9,5,59,0,0,7,1,0,0,3,7,55,105,160,16,5,3,3,1,0,1,0,0,0,0,0,0,1,3,0,0,1,7,0,1,0
