"sample.depths","sample.ages","Abies","Acer.negundo.type","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.cf..A..incana","Alnus.cf..A..viridis","Ambrosia","Amorpha","Artemisia","Asteraceae.undiff.","Athyrium","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","cf..Ceanothus","Chenopodium.type","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dryopteris.type","Equisetum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Larix","Liliaceae","Medicago.sativa","Mentha.type","Nuphar","Osmunda.cinnamomea","Ostrya.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.lapathifolium.type","Populus.tremuloides.type","Potamogeton","Pteridium.type","Quercus","Rhus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Thalictrum","Thuja.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Verbena","Xanthium"
0,-29,0,0,1,0,0,5,2,25,0,9.5,2,0,66.5,2,0,0,0,8,2,2,0,0,0,3,2,5,0,6.5,0,0,0,0,0,0,0,1,0,5,1,12.5,3.5,96.5,1,6,0,10,0,1,37.5,0,0,0,1,0,0,1,1,1,0,1,3,1,0,0
25,47,0,1,0,2,0,10,2,16,0,4,1,0,18,2,0,0,0,4,2,8.5,0,0,0,1,3,1,1,4,0,0,0,1,0,1,0,1,0,5,4,57,22.5,149,0,8,0,3,1,1,19,0,0,1,4,0,1,2,2,1,0,0,4,0,0,0
40,128,0,0,2,1,0,13,0,4,0,3,1,0,25,2,0,0,0,3,1,7.5,0,0,0,0,3,0,0,7.5,0,0,0,3.5,0,2,0,0,1,7,1.5,64,35.5,113.5,0,11,0,3,0,1,21,0,0,0,1,0,0,1,3,0,0,0,3,0,0,0
100,584,1.5,0,1,0,0,17,0,11.5,0,4.5,1,0,41,1,0,0,0,2,2,6,0,0,0,1,1,1,0,5,0,0,1,0,0,0,0,0,0,6,8.5,12.5,17,220,0,8,1,3,0,1,20.5,1,0,0,3,0,1,0,0,2,0,0,1,3,0,1
180,1192,0.5,0,0,0,0.5,19,1,3,0,11.5,7,0,20.5,0,0,0,0,0,2,9.5,0,0,0,0,1,2,0,9.5,1,0,1,1,0,0,0,0,0,7,3.5,35,23,175,0,7,0,2,3,2,46,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0
200,1344,1,0,0,1,0,22,0,7,0,8.5,2,0,42.5,0,1,0,0,1,1,5,1,1,0,0,2,3,0,6,0,0,1,0,0,0,0,0,0,1,5.5,6,5,161,0,11,0,1,0,1,68,0,0,0,2,0,1,1,1,0,1,0,6,0,0,0
225,1565,1,0,1,1,0,7,1,7,0,7,4,1,20,0,0,0,1,3,2,12.5,0,0,1,0,3,0,0,3,1,1,1,1,0,0,0,0,0,6,2,42,83.5,200,1,20,1,6,1,1,58,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0
250,1908,1,0,0,0.5,1,26,0,6,0,10,3,0,38.5,0,0,0,0,2,2,9,0,0,0,0,2,1,0,4,1,1,2,0,0,0,0,0,0,5.5,5,3.5,8,105,0,23,0,0,1,2,59,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0
300,2594,0,0,1,2,0,22.5,0,10,0,13,6,0,44.5,0,0,1,0,0,2,8.5,0,0,1,3,7,3,0,8,0,1,1,2,0,0,0,0,0,6.5,3.5,3,17.5,69,0,16,0,1,1,1,71,1,1,0,0,0,0,1,1,1,0,0,2,1,0,0
350,3280,0,0,0.5,0,0,19,2,6,0,14,5,0,38,0,0,0,0,6.5,3,3,0,0,0,3,1,1,0,16,0,1,0,1,1,0,1,0,0,17.5,4.5,1,1,37,2,19,0,0,8,1,86,0,0,0,1,0,2,0,3,1,0,0,6,1.5,1,0
375,3624,1,0,1,0,0,18,0,17,0,19,8,0,24,0,0,0,0,2,2,8,0,0,0,0,0,3,0,15,2,0,0,2,0,0,0,0,0,2,2.5,0.5,1.5,36,0,23,0,0,3,0,68,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0
400,NA,1,0,1,0,0,10,1,18,0,31,10,0,23.5,0,0,0,0,5.5,0,10,0,1,0,0,4,0,0,5.5,0,0,0,1,0,0,0,0,0,3,8,0.5,1,19.5,1,27,0,1,2,0,57.5,0,0,0,2,0,1,0,3,0,0,0,6,0,0,0
485,NA,0,1,0,0,2,7,2,27,1,53,10,0,6,0,0,0,0,8,2,15.5,1,0,0,2,5,1,0,7,0,0,0,0,0,0,0,0,0,6,3,4.5,14,21,1,52,0,2,3,0,91,0,0,0,2,0,1,0,7,1,0,1,8,2,0,0
