"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ephedra.torreyana.type","Fagus","Fraxinus","Juglans.cinerea","Larix","Morus","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiineae","Cyperaceae","Poaceae","Rumex"
50,4382,0,0.036036036036036,0.009009009009009,0.0495495495495495,0,0.0315315315315315,0,0.0315315315315315,0.0405405405405405,0,0,0,0.0225225225225225,0,0.423423423423423,0.0045045045045045,0.09009009009009,0.0045045045045045,0.018018018018018,0.103603603603604,0.0495495495495495,0.0585585585585586,0,0,0,0,0,0,0.0225225225225225,0.0045045045045045,0
55,4826,0,0.0333333333333333,0,0.0666666666666667,0,0.019047619047619,0,0.0428571428571429,0.0523809523809524,0,0.00476190476190476,0,0.0619047619047619,0,0.438095238095238,0,0.1,0,0,0.0904761904761905,0.0476190476190476,0,0,0,0.00476190476190476,0,0,0,0.0380952380952381,0,0
60,5269,0.00943396226415094,0.0424528301886792,0.00471698113207547,0.0330188679245283,0.00943396226415094,0.0141509433962264,0,0.0424528301886792,0.070754716981132,0.00471698113207547,0,0,0.0566037735849057,0,0.424528301886792,0,0.089622641509434,0,0.00471698113207547,0.089622641509434,0.0518867924528302,0.0141509433962264,0.00471698113207547,0,0,0,0,0,0.0330188679245283,0,0
65,5712,0.00490196078431373,0.0588235294117647,0.00490196078431373,0.0588235294117647,0.00490196078431373,0.053921568627451,0,0.0441176470588235,0.053921568627451,0,0,0,0.0588235294117647,0.00490196078431373,0.470588235294118,0,0.0588235294117647,0,0.00490196078431373,0.0588235294117647,0.0441176470588235,0.00490196078431373,0,0,0,0,0,0,0.00980392156862745,0,0
70,6155,0,0.0531400966183575,0.00966183574879227,0.0193236714975845,0.00483091787439614,0.0434782608695652,0,0.0289855072463768,0.0628019323671498,0,0,0,0.0434782608695652,0,0.502415458937198,0,0.0821256038647343,0.00483091787439614,0.00483091787439614,0.0869565217391304,0.0338164251207729,0,0.00483091787439614,0.00483091787439614,0,0,0,0,0.00966183574879227,0,0
75,6599,0.00495049504950495,0.0544554455445545,0.00495049504950495,0.0148514851485149,0,0.00495049504950495,0,0.0198019801980198,0.0396039603960396,0,0,0,0.0346534653465347,0.0099009900990099,0.618811881188119,0,0.138613861386139,0,0,0.0198019801980198,0.0297029702970297,0,0,0.00495049504950495,0,0,0,0,0,0,0
76,6687,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,9613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9701,0.00490196078431373,0.0196078431372549,0.00490196078431373,0.00980392156862745,0,0.0245098039215686,0,0.0147058823529412,0.0343137254901961,0,0,0,0.0441176470588235,0.00490196078431373,0.622549019607843,0,0.132352941176471,0,0.00980392156862745,0.0392156862745098,0.0196078431372549,0,0.00490196078431373,0,0,0,0,0.00490196078431373,0.00490196078431373,0,0
115,10145,0.0099502487562189,0.0398009950248756,0,0.0398009950248756,0,0.0248756218905473,0,0.0199004975124378,0.0298507462686567,0,0,0,0.0696517412935323,0.00497512437810945,0.562189054726368,0,0.129353233830846,0.00497512437810945,0,0.0298507462686567,0.0298507462686567,0,0.00497512437810945,0,0,0,0,0,0,0,0
120,10588,0.0148514851485149,0.0643564356435644,0,0.0742574257425743,0,0.00495049504950495,0,0.0099009900990099,0.0396039603960396,0,0.0099009900990099,0,0.0693069306930693,0.00495049504950495,0.49009900990099,0,0.128712871287129,0,0,0.00495049504950495,0.0742574257425743,0,0.00495049504950495,0,0,0,0,0,0.00495049504950495,0,0
125,11031,0.0099009900990099,0.0148514851485149,0,0.0643564356435644,0.00495049504950495,0.00495049504950495,0,0.0198019801980198,0.0247524752475248,0.00495049504950495,0,0,0.0495049504950495,0,0.707920792079208,0,0.0346534653465347,0,0,0.0099009900990099,0.0396039603960396,0,0,0,0,0,0,0,0,0.0099009900990099,0
130,NA,0.0541871921182266,0,0,0.0738916256157636,0,0,0,0,0.0197044334975369,0,0,0,0.00492610837438424,0.0197044334975369,0.74384236453202,0,0.0394088669950739,0,0.00492610837438424,0.00985221674876847,0.0147783251231527,0,0.00492610837438424,0,0,0,0,0,0,0.00985221674876847,0
135,NA,0.0396039603960396,0,0,0.123762376237624,0.0099009900990099,0,0,0,0.0198019801980198,0,0,0,0.0297029702970297,0.0148514851485149,0.683168316831683,0,0.0495049504950495,0,0,0,0.0198019801980198,0,0,0.0099009900990099,0,0,0,0,0,0,0
140,NA,0.0242718446601942,0,0,0.0776699029126214,0,0.00485436893203883,0,0.00485436893203883,0.0145631067961165,0,0,0,0.0339805825242718,0.0631067961165049,0.699029126213592,0,0.0388349514563107,0.0145631067961165,0,0.00485436893203883,0.00485436893203883,0,0,0,0.00485436893203883,0,0,0.00485436893203883,0.00485436893203883,0,0
145,NA,0.0443349753694581,0.00492610837438424,0,0.103448275862069,0,0.0246305418719212,0,0,0.00492610837438424,0,0,0,0.00985221674876847,0.0246305418719212,0.689655172413793,0,0.0541871921182266,0.00492610837438424,0,0.0147783251231527,0.00985221674876847,0,0,0,0.00492610837438424,0,0,0.00492610837438424,0,0,0
