"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ephedra.torreyana.type","Fagus","Fraxinus","Juglans.cinerea","Larix","Morus","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiineae","Cyperaceae","Poaceae","Rumex"
0,-50,0.00416666666666667,0.025,0.00416666666666667,0.0958333333333333,0.0125,0.0333333333333333,0,0.025,0.0458333333333333,0.00416666666666667,0.00416666666666667,0,0.025,0.00416666666666667,0.345833333333333,0.0125,0.1125,0,0.00833333333333333,0.0416666666666667,0.0333333333333333,0.1,0.0166666666666667,0,0,0,0,0.00416666666666667,0.00416666666666667,0.0333333333333333,0.00416666666666667
5,393,0,0.0344827586206897,0.00862068965517241,0.0258620689655172,0.00862068965517241,0.0172413793103448,0,0.0560344827586207,0.0517241379310345,0.00431034482758621,0,0,0.0129310344827586,0,0.318965517241379,0.00862068965517241,0.120689655172414,0,0.00431034482758621,0.172413793103448,0.0258620689655172,0.116379310344828,0,0,0,0,0,0,0.00862068965517241,0.00431034482758621,0
10,837,0.00943396226415094,0.0377358490566038,0,0.099056603773585,0.00471698113207547,0.0377358490566038,0,0.0613207547169811,0.0330188679245283,0,0,0,0.0141509433962264,0,0.377358490566038,0.00943396226415094,0.070754716981132,0,0.00943396226415094,0.122641509433962,0.0566037735849057,0.0518867924528302,0,0,0,0,0,0.00471698113207547,0,0,0
15,1280,0,0.0339622641509434,0.00754716981132075,0.0264150943396226,0,0.0452830188679245,0,0.0377358490566038,0.0188679245283019,0.00754716981132075,0,0,0.0188679245283019,0,0.339622641509434,0.00754716981132075,0.120754716981132,0,0.00377358490566038,0.0679245283018868,0.0264150943396226,0.226415094339623,0,0,0.00377358490566038,0,0,0.00377358490566038,0,0.00377358490566038,0
20,1723,0.00444444444444444,0.0222222222222222,0,0.0355555555555556,0,0.0266666666666667,0,0.0666666666666667,0.04,0.00888888888888889,0,0,0.0311111111111111,0.00444444444444444,0.36,0,0.12,0,0.00888888888888889,0.111111111111111,0.0488888888888889,0.102222222222222,0,0,0,0,0,0,0.00888888888888889,0,0
25,2166,0.00943396226415094,0.0141509433962264,0.00471698113207547,0.0613207547169811,0.00471698113207547,0.0188679245283019,0,0.10377358490566,0.0283018867924528,0,0.00471698113207547,0,0.0235849056603774,0,0.391509433962264,0,0.150943396226415,0,0.00471698113207547,0.0849056603773585,0.0424528301886792,0.0471698113207547,0,0,0,0,0,0,0.00471698113207547,0,0
30,2610,0.00431034482758621,0.0172413793103448,0.00862068965517241,0.0387931034482759,0,0.0258620689655172,0.00431034482758621,0.0646551724137931,0.0775862068965517,0,0.00431034482758621,0,0.00862068965517241,0,0.349137931034483,0.00431034482758621,0.0905172413793103,0,0.0129310344827586,0.112068965517241,0.0517241379310345,0.0732758620689655,0,0,0,0,0.0387931034482759,0,0.0129310344827586,0,0
35,3053,0,0.0257510729613734,0.0128755364806867,0.0472103004291846,0.00429184549356223,0.0429184549356223,0,0.0643776824034335,0.0472103004291846,0.00429184549356223,0,0,0.0515021459227468,0,0.321888412017167,0,0.111587982832618,0,0.00858369098712446,0.103004291845494,0.0257510729613734,0.120171673819742,0,0,0,0.00429184549356223,0,0,0.00429184549356223,0,0
40,3496,0,0.04739336492891,0.009478672985782,0.037914691943128,0,0.028436018957346,0,0.04739336492891,0.04739336492891,0,0,0,0.023696682464455,0,0.402843601895735,0,0.118483412322275,0.004739336492891,0.009478672985782,0.127962085308057,0.0568720379146919,0.033175355450237,0,0,0,0,0,0,0.004739336492891,0,0
45,3939,0,0.0416666666666667,0.00462962962962963,0.0277777777777778,0.00925925925925926,0.0277777777777778,0,0.0462962962962963,0.0601851851851852,0,0.00462962962962963,0,0.037037037037037,0.00462962962962963,0.388888888888889,0.00462962962962963,0.115740740740741,0,0,0.111111111111111,0.0462962962962963,0.037037037037037,0,0,0,0.00462962962962963,0,0.00462962962962963,0.0138888888888889,0.00925925925925926,0
