"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Herbs.undiff.","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Polygonum.lapathifolium.type","Quercus","Sarcobatus.vermiculatus","Scrophulariaceae","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Alnus","Acer","Fraxinus","Pinus","Poaceae","Brassicaceae","Amorpha.type","Fabaceae.undiff.","Salix","Saxifragaceae","Trees.undiff.","Populus","Rosaceae","Solanaceae","Juglans.cinerea","Celtis","Parthenocissus","Dalea","Larix","Rumex","Galium","Ilex","Abies","Apiaceae"
5,352,696,52,16,1,5,255,1,3,172,1,3,2,2,10,1,75,1,1,2,1,12,4,1,2,2,3,1,37,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,693,644,48,11,2,6,271,0,6,118,4,1,2,1,2,0,61,1,0,0,0,21,5,0,1,0,3,0,34,35,0,1,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
15,1034,784,42,18,3,9,235,0,1,222,0,2,5,0,11,0,75,1,0,0,2,14,5,2,0,2,4,2,37,86,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
20,1375,660,50,14,1,3,271,0,0,130,1,1,0,1,6,0,86,1,1,0,2,12,3,2,1,0,1,2,30,28,0,2,0,2,0,4,1,3,0,0,1,0,0,0,0,0,0,0,0
25,1716,719,55,12,4,8,271,0,1,185,0,1,7,0,4,0,82,1,0,0,1,8,4,0,0,0,2,1,41,27,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2057,638,50,4,0,4,259,0,6,120,0,2,1,4,7,3,65,0,0,0,1,19,1,0,0,4,3,3,30,42,2,0,0,0,0,0,1,3,1,1,0,1,1,0,0,0,0,0,0
35,2397,693,51,23,3,8,59,0,9,150,1,5,2,0,3,1,82,1,0,0,0,18,6,0,2,2,1,0,50,207,0,1,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
40,2644,690,50,7,0,4,136,0,3,153,1,2,4,3,3,3,62,1,1,0,0,2,0,0,0,0,1,1,27,216,0,0,0,0,2,0,0,0,0,3,0,3,1,0,1,0,0,0,0
45,2797,629,46,24,2,1,186,0,3,111,0,1,1,2,7,4,90,3,0,0,2,18,6,0,1,0,1,2,35,66,0,2,0,1,1,0,0,1,0,7,1,2,0,0,2,0,0,0,0
50,2950,674,47,17,4,15,160,0,1,73,0,6,5,1,5,4,140,1,0,0,2,28,12,0,0,5,2,2,25,106,0,2,0,3,0,1,1,1,0,3,0,0,2,0,0,0,0,0,0
60,3255,562,37,19,1,8,156,0,4,47,0,5,4,3,6,6,101,0,0,0,1,17,15,0,0,1,5,1,20,91,0,2,3,0,0,0,1,0,1,2,2,0,0,0,2,1,0,0,0
70,3624,620,54,20,3,5,259,1,2,73,0,2,3,1,1,2,55,1,0,0,0,11,4,0,0,2,2,1,20,90,0,1,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0
80,4183,589,27,9,0,2,336,2,2,69,0,0,2,0,2,1,43,1,0,1,0,10,5,0,0,0,3,1,20,45,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
90,4742,783,15,16,2,0,624,0,0,44,0,2,1,0,0,0,18,1,0,0,0,2,0,0,0,1,2,1,4,47,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
100,5300,667,24,10,0,1,448,0,3,48,1,2,1,1,4,2,39,0,0,0,0,9,2,0,0,1,0,0,20,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,5943,644,29,4,1,0,516,0,1,19,1,1,2,1,2,0,20,1,0,0,0,6,2,0,0,0,0,0,14,19,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,6836,762,29,6,1,0,620,0,1,27,0,0,0,2,1,4,26,0,0,1,0,8,2,0,0,0,4,1,11,12,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
130,7730,1069,21,9,0,0,930,0,1,22,0,0,1,3,0,0,22,0,0,0,0,16,2,0,0,2,1,0,19,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,8623,623,94,11,3,0,313,0,1,38,0,0,3,29,0,1,30,0,0,0,0,32,5,0,0,3,4,0,23,24,0,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1
150,9517,562,70,8,2,1,318,1,0,40,1,1,1,22,0,0,29,0,0,0,0,14,6,0,0,2,2,0,20,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160,10410,685,24,11,1,0,545,0,1,23,0,0,2,20,0,0,16,0,0,0,0,10,2,0,0,2,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,NA,591,26,20,5,0,280,0,0,45,1,1,4,85,0,0,39,0,0,0,2,19,5,0,2,13,1,3,16,18,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
180,NA,574,31,13,2,0,320,1,0,32,0,0,2,78,1,4,22,0,0,1,2,31,3,0,0,2,1,0,12,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
190,NA,524,33,17,3,1,268,0,0,20,0,1,2,104,2,0,19,1,0,0,0,11,1,0,0,3,2,4,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0
195,NA,565,23,43,14,0,20,4,2,37,0,1,13,218,1,0,35,0,0,3,0,2,14,7,0,22,4,43,8,18,0,0,0,1,0,1,0,0,0,0,1,0,0,10,0,0,0,19,1
200,NA,551,30,17,10,0,120,6,1,38,0,1,17,131,0,0,51,0,0,2,0,8,13,0,1,17,2,40,6,24,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,9,0
205,NA,562,20,31,10,0,15,4,4,27,3,0,16,242,0,0,25,0,1,0,0,8,24,5,0,20,2,23,31,19,0,0,0,4,0,1,0,0,0,0,0,0,0,7,0,0,0,20,0
210,NA,627,60,24,9,0,6,5,1,22,0,0,29,123,0,0,50,0,0,1,0,8,26,8,0,24,2,190,7,11,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,14,0
215,NA,722,48,19,6,0,2,5,1,36,3,0,18,275,4,0,47,0,0,8,0,8,16,8,0,21,9,145,4,19,0,0,0,1,0,0,0,0,0,1,1,0,0,9,0,0,0,8,0
220,NA,707,10,56,4,1,2,2,5,41,1,0,4,451,1,0,26,0,0,4,0,6,3,0,0,10,2,14,13,23,2,0,1,1,0,0,0,0,0,0,0,0,0,14,0,2,0,8,0
225,NA,704,56,8,4,1,2,2,3,28,1,0,9,382,0,0,38,0,0,3,0,10,6,5,0,8,22,44,5,18,1,0,0,1,0,1,0,0,0,0,1,0,0,37,0,0,0,6,2
230,NA,699,29,19,19,1,6,4,5,36,2,0,7,323,0,0,52,0,0,8,0,10,4,9,1,13,11,75,3,38,0,0,0,4,0,0,0,1,0,0,2,0,0,12,0,0,0,5,0
235,NA,665,5,49,6,1,1,2,3,30,0,0,5,454,0,0,16,0,0,3,0,9,1,1,0,12,3,24,3,15,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,3,1
