"sample.depths","sample.ages","Eucalyptus.spike..number.counted.","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml.","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Polygonaceae","Caryophyllaceae","Ranunculaceae","Brassicaceae","Plantago","Unknown","Cyperaceae","Lycopodium","Selaginella","Equisetum","Dryopteris","Sphagnum","Nuphar"
0,-34,101,1,0,102700,127,36,0,0,0,14,0,0,0,0,0,0,3,23,3,0,0,0,117,5,3,1,0,0,0,2,5,0,0,3,0,1,0,0,8,0,0,0,0,46,0
5,109,102,1,0,102700,118,102,0,0,1,23,0,0,0,0,0,0,0,19,5,0,0,0,144,7,2,2,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,35,0
10,253,103,1,0,102700,86,19,0,0,0,25,0,0,0,0,0,0,0,15,6,0,0,0,12,124,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,0,741,0
15,396,186,1,0,102700,123,54,0,0,1,15,0,0,0,0,0,0,5,12,7,0,0,0,33,96,3,7,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,195,0
20,540,459,1,0,102700,144,75,0,0,0,31,0,0,0,0,0,0,11,19,9,0,0,0,49,18,3,21,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,5,0,195,0
25,683,169,1,0,102700,284,44,0,0,0,55,0,0,0,0,0,0,0,32,4,0,0,0,12,9,0,0,0,0,5,0,1,0,0,0,0,0,0,11,7,0,0,0,0,846,0
30,826,104,1,0,102700,144,48,0,0,0,39,0,0,0,0,0,0,0,22,5,0,0,0,15,3,3,1,0,0,8,0,1,0,4,0,0,0,0,0,11,0,0,1,1,491,0
33,912,102,1,0,102700,228,46,0,0,0,42,0,0,0,0,0,0,0,24,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,262,0
38,1056,103,1,0,102700,309,120,0,0,0,42,0,0,0,0,0,0,0,26,8,0,0,0,27,2,1,3,0,0,10,1,3,0,3,0,0,0,0,0,14,0,0,1,1,145,0
43,1775,108,1,0,102700,196,49,0,0,0,42,0,0,0,0,0,0,4,27,1,0,0,0,5,2,5,4,1,1,3,1,1,0,1,0,1,0,0,0,26,0,0,0,0,19,1
48,2558,105,1,0,102700,138,33,0,0,0,33,0,0,0,0,0,0,7,30,4,0,0,0,5,13,0,9,0,0,3,0,6,0,1,0,0,1,0,0,115,0,0,2,3,20,0
53,3341,102,1,0,102700,231,36,0,0,0,29,3,0,0,0,0,0,3,9,0,0,0,0,0,6,3,6,0,0,0,0,6,0,0,0,0,0,0,7,63,0,0,0,0,12,0
58,4125,101,1,0,102700,152,8,0,0,0,20,0,0,0,0,0,0,8,9,8,0,0,0,3,9,3,1,0,0,0,1,4,0,5,0,0,3,0,3,78,0,0,2,0,32,0
63,4908,102,1,0,102700,144,40,0,0,0,24,0,0,0,0,0,0,5,8,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,1,0,0,67,0,0,1,0,11,0
68,5285,105,1,0,102700,224,34,0,0,0,31,0,0,0,0,0,0,1,11,3,0,0,0,1,5,1,2,0,0,0,1,1,0,2,0,0,1,0,7,85,0,0,0,0,15,0
73.5,5402,103,1,0,102700,242,43,0,0,0,33,0,0,0,0,0,0,3,12,1,0,1,0,2,7,2,1,0,0,0,2,2,0,2,0,0,2,0,4,83,0,0,2,0,17,0
79,5519,102,1,0,102700,241,45,0,0,0,29,0,0,0,0,0,0,2,11,3,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,3,77,0,0,0,0,15,0
84.5,5637,101,1,0,102700,181,37,0,1,0,19,2,0,0,0,0,0,0,6,5,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,2,0,3,50,0,0,0,0,12,0
90,5754,101,1,0,102700,231,63,0,0,0,15,0,0,0,0,0,0,2,21,1,0,0,0,0,11,0,0,0,0,3,1,0,0,1,0,0,0,0,5,71,0,0,0,0,21,0
95,5860,102,1,0,102700,155,46,0,0,0,9,4,0,0,0,0,0,2,14,4,0,0,0,0,7,0,0,0,0,3,2,0,0,1,0,0,0,0,2,66,0,0,2,0,14,0
100,5967,111,1,0,102700,244,55,0,0,0,11,2,0,0,0,0,0,0,5,4,0,2,0,1,9,0,0,0,2,2,0,2,0,0,0,0,0,0,5,75,0,0,3,0,29,0
105,6074,121,1,0,102700,110,63,0,1,1,29,1,0,0,0,0,0,0,24,5,0,1,0,11,20,2,5,0,0,0,6,1,0,7,2,0,0,1,2,65,0,4,1,0,70,0
110,6180,105,1,0,102700,161,45,0,0,0,35,3,0,0,0,0,0,0,21,4,0,0,0,11,7,0,7,0,0,0,0,0,0,0,8,0,0,2,4,32,0,0,0,0,212,0
115,6287,115,1,0,102700,164,35,0,0,0,42,0,0,0,0,0,0,6,17,4,0,0,0,15,3,0,0,0,0,0,0,0,0,2,7,0,0,0,8,15,0,0,0,0,313,0
120,6393,109,1,0,102700,171,33,0,0,0,39,1,0,0,0,0,0,2,24,5,0,0,0,21,3,0,0,0,0,0,0,1,1,1,4,0,0,1,6,19,0,0,1,0,337,0
125,6500,107,1,0,102700,191,57,0,0,0,34,0,0,0,0,0,0,0,8,2,0,0,0,15,3,0,2,0,0,0,7,0,0,5,1,0,0,0,3,31,0,0,0,0,135,0
130,6606,121,1,0,102700,195,51,0,0,1,37,5,0,0,0,0,0,0,9,7,0,1,0,11,12,0,3,0,0,0,3,1,0,2,2,0,0,0,3,27,1,0,1,0,135,0
145,6926,115,1,0,102700,201,54,0,0,0,24,0,0,0,0,0,0,0,12,3,0,0,0,2,3,0,2,0,0,0,5,1,0,0,0,0,0,0,3,24,0,0,0,0,696,0
160,NA,101,1,0,102700,198,51,0,0,0,21,0,0,0,0,0,0,0,13,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,8,21,0,0,0,0,501,0
