"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Iva.annua.type","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.nigra","Nyssa","Ostrya.Carpinus","Picea","Platanus","Quercus","Rhamnaceae","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Pinus","Caprifoliaceae","Poaceae","Plantago","Castanea","Corylus","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Liquidambar","Amaranthaceae","Thalictrum","Lamiaceae","Cupressaceae","Tilia","Apiaceae","Urtica.type","Ilex","Brassicaceae","Salix","Herbs.undiff.","Abies","Anacardiaceae","Polygonum","Onagraceae","Ranunculus","Caryophyllaceae","Sanguisorba"
4,57,0.003125,0.00625,0.040625,0.003125,0.14375,0.028125,0.003125,0.00625,0.021875,0.046875,0.00625,0.00625,0.00625,0.003125,0.015625,0.0625,0.003125,0.3375,0.003125,0.00625,0.021875,0.00625,0.015625,0.0125,0.015625,0.003125,0.11875,0.028125,0.01875,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,133,0.00609756097560976,0,0.0701219512195122,0,0.198170731707317,0.0426829268292683,0,0.0121951219512195,0.0304878048780488,0.0304878048780488,0,0.00914634146341463,0.00304878048780488,0,0.0152439024390244,0.0426829268292683,0.00609756097560976,0.341463414634146,0.00304878048780488,0,0.0518292682926829,0,0.00609756097560976,0.0304878048780488,0.00304878048780488,0,0.0274390243902439,0.0121951219512195,0.00914634146341463,0,0.0213414634146341,0.00609756097560976,0.00914634146341463,0.00609756097560976,0.00304878048780488,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,255,0.0064935064935065,0,0.0064935064935065,0,0.162337662337662,0.0584415584415584,0,0.0064935064935065,0.00324675324675325,0.0551948051948052,0,0.012987012987013,0,0,0.00974025974025974,0.0779220779220779,0.00974025974025974,0.366883116883117,0,0,0.0779220779220779,0.00324675324675325,0.0162337662337662,0.012987012987013,0,0.00324675324675325,0.0941558441558442,0.00324675324675325,0.00324675324675325,0,0,0,0,0,0,0,0.0064935064935065,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,722,0.012779552715655,0,0.012779552715655,0,0.201277955271566,0.0511182108626198,0,0.012779552715655,0.00319488817891374,0.0638977635782748,0.00319488817891374,0.00638977635782748,0.00319488817891374,0,0.00638977635782748,0.086261980830671,0.0159744408945687,0.322683706070288,0,0,0.0479233226837061,0,0.00638977635782748,0.0287539936102236,0,0,0.073482428115016,0,0,0,0.0319488817891374,0,0,0,0,0.00638977635782748,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1236,0.0127388535031847,0,0.00636942675159236,0,0.127388535031847,0.0828025477707006,0,0,0.00318471337579618,0.0477707006369427,0,0,0,0,0.0127388535031847,0.0668789808917197,0.00636942675159236,0.363057324840764,0,0,0.035031847133758,0,0.00636942675159236,0.054140127388535,0.0127388535031847,0,0.124203821656051,0,0.00318471337579618,0,0.0318471337579618,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1749,0.00949367088607595,0,0,0,0.180379746835443,0.0759493670886076,0,0.00316455696202532,0.00316455696202532,0.060126582278481,0,0.00949367088607595,0.00632911392405063,0,0.00632911392405063,0.0632911392405063,0.00949367088607595,0.373417721518987,0,0,0.0537974683544304,0.00632911392405063,0.00632911392405063,0.0443037974683544,0,0,0.069620253164557,0,0,0,0.00949367088607595,0.00316455696202532,0,0,0,0,0,0,0,0.00632911392405063,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2123,0.0154320987654321,0,0,0,0.148148148148148,0.0895061728395062,0,0.0185185185185185,0.0185185185185185,0.0524691358024691,0,0.00308641975308642,0,0,0.0123456790123457,0.0524691358024691,0.0123456790123457,0.339506172839506,0,0,0.0246913580246914,0.00308641975308642,0.00925925925925926,0.0432098765432099,0.00308641975308642,0,0.12037037037037,0,0,0,0.0185185185185185,0,0.00925925925925926,0,0,0,0.00308641975308642,0,0,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2589,0.00967741935483871,0,0.0032258064516129,0,0.229032258064516,0.064516129032258,0,0.0064516129032258,0.0129032258064516,0.0387096774193548,0,0.0064516129032258,0.0064516129032258,0,0.0064516129032258,0.0838709677419355,0.00967741935483871,0.338709677419355,0,0,0.0354838709677419,0,0.0032258064516129,0.0225806451612903,0,0,0.0967741935483871,0.0032258064516129,0,0,0.0032258064516129,0.0032258064516129,0.00967741935483871,0,0,0,0.0032258064516129,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0
142,3056,0.0120845921450151,0,0,0,0.190332326283988,0.0362537764350453,0,0.0151057401812689,0,0.0332326283987915,0.00302114803625378,0.0151057401812689,0.00302114803625378,0,0.00604229607250755,0.0785498489425982,0.0120845921450151,0.344410876132931,0,0,0.0151057401812689,0.00302114803625378,0.00302114803625378,0.081570996978852,0,0.00302114803625378,0.105740181268882,0.00302114803625378,0,0,0.0151057401812689,0,0,0,0,0,0.00604229607250755,0,0,0.00302114803625378,0.00906344410876133,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0
162,3523,0.00544959128065395,0,0.00272479564032698,0.00272479564032698,0.141689373297003,0.0735694822888283,0,0.00272479564032698,0,0.0490463215258856,0,0.00272479564032698,0,0,0.00544959128065395,0.0871934604904632,0.00272479564032698,0.288828337874659,0,0,0.00817438692098093,0.00272479564032698,0.00272479564032698,0.204359673024523,0.00817438692098093,0,0.0817438692098093,0,0,0,0.00544959128065395,0,0,0,0,0.00272479564032698,0.00272479564032698,0,0,0.00272479564032698,0,0,0.0108991825613079,0.00272479564032698,0,0,0,0,0,0,0,0,0
