"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Ephedra","Ericaceae","Fraxinus","Juglans","Larix","Lycopodium.type","Myrica","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonaceae","Populus","Quercus","Rosaceae","Salix","Shepherdia","Thalictrum","Ulmus"
2,12,0,1,0,9,62,61,37,0,3,11,0,4,0,0,1,0,0,7,0,0,0,0,0,5,20,1,43,0,0,84,0,1,1,0,3
4,24,0,0,1,6,60,39,32,2,1,7,0,1,0,0,2,0,0,0,0,0,0,0,0,7,24,1,36,1,0,83,0,0,0,0,2
6,37,0,0,0,10,124,70,55,0,0,19,0,0,0,0,5,0,0,7,0,0,0,0,0,9,64,2,56,0,0,76,0,3,0,0,2
8,49,0,0,0,5,90,59,75,1,0,14,0,6,0,0,2,0,0,3,0,0,0,0,0,11,65,0,33,0,0,86,0,4,0,1,4
10,61,0,0,0,13,73,33,62,3,2,11,0,4,0,3,3,0,0,1,0,0,0,0,0,7,45,0,58,0,1,77,0,5,0,2,1
12,74,0,0,0,20,63,28,66,10,0,16,0,6,0,0,0,0,0,3,0,0,0,0,0,13,48,0,100,0,0,119,0,10,0,0,0
14,86,0,0,0,8,58,32,58,3,0,12,0,4,0,6,0,0,0,3,0,0,0,0,0,9,57,1,62,0,1,76,0,6,0,1,5
16,98,0,0,0,12,40,22,59,0,1,15,0,6,0,7,0,0,0,4,0,0,1,0,0,9,58,1,78,0,1,81,0,6,0,2,3
18,117,0,0,0,12,16,15,122,19,1,20,0,3,0,22,0,0,0,2,0,0,0,0,0,16,97,2,96,0,1,49,1,15,0,4,6
20,142,0,0,0,11,13,15,110,23,0,12,0,12,0,20,0,0,0,1,0,0,0,0,0,24,96,2,93,0,3,70,0,7,0,4,0
22,166,0,0,0,15,24,11,114,13,1,18,0,10,0,26,1,0,0,3,1,0,1,0,0,21,133,1,112,0,0,100,0,11,0,1,6
24,191,0,0,0,5,7,5,48,5,0,5,0,4,0,29,0,0,0,3,0,0,0,0,0,16,95,0,46,0,1,52,0,3,0,0,5
26,216,0,0,0,23,18,17,49,3,1,18,0,9,0,23,2,0,0,0,0,0,0,0,0,18,89,1,68,0,0,118,0,7,0,2,6
