"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Adiantum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polygalaceae","Polygonum","Populus","Potamogeton","Potentilla.type","Pteridium.type","Quercus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Sparganium","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Viburnum","Vitis"
0,4,0,1,6,1,0,16,0,4,29,0,0,4,48,0,0,7,0,0,0,0,1,0,2,2,0,0,1,8,4,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,2,42,1,0,30,0,0,3,0,0,0,52,0,3,2,0,2,0,0,1,3,0,0,0,21,0,2,5,1,1,2,0
40,98,0,0,6,0,1,12,0,0,19,0,1,5,18,0,12,5,0,0,0,0,0,0,1,10,0,0,0,24,2,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,117,1,2,21,0,0,1,0,0,2,43,0,0,5,1,1,0,0,1,3,0,0,1,70,0,2,3,2,0,0,0
80,230,1,2,1,0,0,4,0,0,2,0,0,1,12,0,2,1,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,179,0,0,1,0,0,3,0,0,4,37,0,0,1,0,0,0,0,0,0,0,0,0,78,0,0,1,0,1,0,0
120,419,0,1,5,0,0,3,0,0,0,0,0,0,20,0,4,6,0,1,0,0,3,0,3,4,0,0,0,20,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,145,0,1,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,2,0,0,1,81,0,0,1,0,0,0,0
160,666,0,0,8,0,0,6,0,0,0,0,1,0,28,0,1,10,0,0,0,0,0,0,0,5,0,0,0,38,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,79,0,4,0,0,0,0,0,0,6,62,0,0,0,0,1,0,0,0,0,0,0,1,137,0,0,3,0,0,0,0
200,972,0,0,7,0,0,3,0,0,0,0,0,0,29,0,7,1,0,0,0,0,0,0,7,1,0,0,0,20,6,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,169,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,1,0,0,1,91,0,0,3,0,0,0,0
240,1338,0,0,6,0,0,4,0,0,0,0,0,0,28,0,3,3,0,0,0,0,0,0,6,11,0,0,0,23,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,137,0,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,1,58,0,0,3,1,1,0,0
280,1765,0,1,5,0,0,2,0,0,1,0,1,0,38,0,7,3,0,0,0,0,0,0,6,3,0,0,0,22,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,3,2,2,1,0,122,0,1,1,0,0,0,0,0,0,68,1,0,0,1,0,0,0,1,0,0,0,0,100,0,0,4,1,1,0,0
320,2252,0,1,3,0,0,3,0,1,0,0,1,2,16,0,10,11,0,0,0,0,0,0,10,6,0,0,0,20,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,140,0,1,1,1,0,0,0,0,4,48,0,0,0,0,0,0,0,0,2,0,0,0,77,1,1,4,0,0,0,0
360,2802,0,0,5,0,0,6,0,0,0,0,0,0,26,0,2,15,0,1,2,0,3,0,2,0,0,0,0,32,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,94,0,0,1,0,0,0,1,0,0,118,0,0,0,0,0,0,0,0,1,0,0,1,39,0,0,5,2,1,0,0
