"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.negundo","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus.alternifolia","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Cystopteris","Diphasiastrum.alpinum","Diphasiastrum.complanatum","Diphasiastrum.complanatum.type","Dryas","Dryopteris","Dryopteris.type.undiff.","Ephedra","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Hypericum","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae.undiff.","Larix","Linnaea.borealis","Ludwigia","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunella.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.reticulata.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Thelypteris.palustris.type","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
5,63,16,0,0,0,0,3,35,0,0,4,19,0,9,0,0,0,1,0,165,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,0,1,0,0,0,2,7,0,0,0,3,7,0,7,0,0,0,1,8,0,0,0,0,0,0,8,1,0,2,17,6,1,0,37,7,8,0,0,33,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,61,0,0,0,0,9,2,49,1,0,0,0,0,0,0
20,247,4,0,0,0,0,1,23,0,0,21,0,0,0,0,0,0,0,0,300,0,0,1,0,2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,23,0,118,0,4,10,0,0,0,2,1,0,5,0,0,0,0,6,0,0,0,0,22,0,0,0,0,0,0,0,3,0,2,11,0,0,0,58,6,2,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,0,23,4,8,0,0,0,1,0,0,0
35,424,10,0,0,0,0,0,25,1,0,15,1,1,1,0,1,2,0,0,228,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,13,0,88,0,6,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,20,3,13,0,35,9,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,7,103,0,1,0,0,8,2,4,2,0,0,0,0,0,0
50,587,6,0,0,0,0,4,14,0,0,2,6,1,1,0,0,0,0,0,161,0,0,3,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,24,0,0,0,2,0,110,0,8,6,0,1,0,1,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,12,2,30,7,1,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,65,0,1,0,0,9,3,2,9,0,0,0,0,0,0
65,730,4,0,0,0,0,3,41,3,0,72,40,0,3,0,3,3,0,0,170,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,46,0,61,0,9,0,0,0,0,0,11,0,0,0,4,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,5,0,1,17,2,4,0,81,7,9,0,1,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,121,0,2,0,0,9,3,91,4,0,0,0,0,0,1
85,884,2,0,0,0,3,1,27,0,0,80,1,1,2,0,0,1,0,0,200,0,0,3,0,1,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,8,0,81,4,12,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,1,4,5,0,0,6,1,0,0,67,6,14,0,0,1,0,2,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0,14,3,43,6,0,0,0,0,0,0
100,985,0,0,0,0,0,0,19,0,0,3,7,0,0,0,2,0,0,0,174,0,2,3,0,1,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,11,0,46,0,6,4,0,1,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,4,1,22,3,19,18,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0,7,6,5,2,0,0,0,0,0,0
115,1093,7,0,0,0,0,0,30,0,0,23,3,0,1,0,2,2,0,0,389,0,0,2,0,1,0,2,0,0,0,0,2,9,0,0,0,0,0,0,2,0,1,2,0,82,0,8,3,0,1,0,3,0,0,1,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,4,2,4,0,67,19,1,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,88,0,0,1,0,5,1,10,3,0,0,0,2,0,0
135,1276,2,0,0,0,0,1,12,0,0,475,10,1,0,0,1,0,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,27,0,9,2,0,0,0,0,7,0,2,0,6,7,0,5,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,5,2,1,0,27,1,5,0,0,8,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,6,3,21,1,0,0,2,0,2,0
150,1465,0,0,0,0,0,3,39,0,0,56,7,0,1,0,0,1,0,0,128,0,0,3,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,50,0,17,5,0,1,0,5,7,0,6,0,7,14,1,7,0,0,0,1,0,0,0,0,0,0,0,18,4,0,1,3,1,1,1,50,10,3,0,1,3,0,0,0,0,0,0,1,8,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,0,0,0,1,11,0,13,3,0,0,0,0,0,0
