"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Betula","Cyperaceae","Larix","Picea","Asteraceae.subf..Asteroideae.undiff.","Pinus","Poaceae","Brassicaceae","Ericales.undiff.","Artemisia","Castanea","Epilobium","Quercus","Salix","Tsuga","Amaranthaceae","Caryophyllaceae","Rumex","Vaccinium","Cassiope.type","Acer.rubrum","Ambrosia.type","Populus","Rubus","Tofieldia","Empetrum","Prunus.pensylvanica","Ledum.Chamaedaphne.calyculata","Rosaceae.undiff.","Fabaceae","Ulmus","Saxifraga.type"
580,46,415,2,63,93,12,3,219,2,11,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,317,324,0,44,37,13,3,205,4,4,6,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,615,420,0,29,47,17,3,300,5,6,6,0,1,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
610,858,354,0,18,40,6,4,263,1,6,10,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
620,1121,350,2,50,31,3,3,253,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
630,1376,425,0,22,51,7,3,318,0,12,4,0,1,1,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
640,1631,481,0,31,84,7,0,340,2,8,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
650,1886,414,1,29,58,3,6,301,1,8,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
660,2141,347,2,46,76,6,2,207,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,2462,465,5,87,72,4,6,283,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,2782,405,1,56,41,4,0,290,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
690,3103,375,3,66,56,0,0,240,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
700,3423,328,3,66,50,13,0,189,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,3743,234,2,42,25,3,0,157,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
720,3975,410,7,90,69,5,0,229,0,0,4,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
730,4117,306,0,56,47,3,0,193,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
740,4259,319,2,73,72,1,2,165,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,4401,315,2,44,58,3,0,203,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
760,4543,348,6,67,60,2,1,203,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,4685,335,4,62,66,3,3,182,2,2,5,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
775,4756,347,1,80,55,5,1,198,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
780,4827,337,0,84,56,6,4,180,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,4898,364,2,75,79,4,3,193,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
790,4969,351,3,47,56,3,3,235,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,5040,369,3,74,56,3,4,226,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,5111,339,3,82,76,1,0,168,0,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
805,5182,336,1,56,50,2,14,209,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,5253,345,0,84,78,3,2,170,0,3,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
815,5324,383,0,64,99,8,10,191,0,3,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
820,5395,420,4,108,120,6,18,158,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
825,5466,332,4,124,110,3,0,83,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,5594,335,2,139,120,7,2,52,1,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,5849,397,2,170,154,5,1,49,2,4,4,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
850,6104,389,2,190,128,18,0,28,1,9,3,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
860,6360,331,3,135,130,21,0,19,0,14,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
870,6615,228,0,69,99,28,0,5,0,12,7,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
880,6871,281,0,89,109,29,0,11,0,21,3,0,0,1,0,1,1,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
890,NA,27,0,3,12,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
897,NA,18,0,3,1,0,0,0,0,1,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
