"sample.depths","sample.ages","Acer.rubrum","Acer.undiff.","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Alnus","Ambrosia","Rosaceae.undiff.","Populus","Poaceae","Brassicaceae","Plantago","Picea.undiff.","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Corylus","Pinus.undiff.","Rumex.acetosella","Stellaria","Polygonum.lapathifolium","Fraxinus.pennsylvanica.type","Platanus","Picea.mariana","Galium","Castanea","Sarcobatus.vermiculatus","Cornus.canadensis","Juglans.nigra","Shepherdia","Lamiaceae","Abies","Thalictrum","Celtis","Polygonum.viviparum","Cephalanthus","Picea.glauca","Sambucus","Cornus.sericea","Larix","Cornus.racemosa","Potentilla","Ranunculaceae.undiff.","Epilobium","Ericaceae","Rumex.mexicanus"
25,42,0.00208333333333333,0.0291666666666667,0.00625,0.0458333333333333,0.0125,0.00833333333333333,0.0333333333333333,0.025,0.00208333333333333,0.00208333333333333,0.00208333333333333,0.0229166666666667,0.258333333333333,0.00208333333333333,0.0104166666666667,0.00833333333333333,0.00625,0.0375,0.00208333333333333,0.00625,0.00208333333333333,0.116666666666667,0.00625,0.00625,0.15,0.00625,0.00208333333333333,0.00104166666666667,0.009375,0.177083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,81,0.00240673886883273,0.0481347773766546,0.00240673886883273,0.0409145607701564,0.0168471720818291,0.00481347773766546,0.0505415162454874,0.0288808664259928,0.00962695547533093,0.00240673886883273,0,0.0336943441636582,0.267148014440433,0.00481347773766546,0.0072202166064982,0.0144404332129964,0.0144404332129964,0.0433212996389892,0,0.00481347773766546,0.00240673886883273,0.0842358604091456,0.00962695547533093,0.00962695547533093,0.0962695547533093,0.00481347773766546,0,0.00481347773766546,0,0,0.00240673886883273,0.181708784596871,0.0072202166064982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,208,0,0.0357142857142857,0.00824175824175824,0.0164835164835165,0.0302197802197802,0.00549450549450549,0.0384615384615385,0.0686813186813187,0.010989010989011,0,0,0.0521978021978022,0.285714285714286,0.00274725274725275,0.00824175824175824,0.021978021978022,0.00824175824175824,0.0521978021978022,0,0.00274725274725275,0.0137362637362637,0.00824175824175824,0.00549450549450549,0.00824175824175824,0.0604395604395604,0,0,0.00549450549450549,0,0,0,0.244505494505494,0.00274725274725275,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,423,0,0.0746666666666667,0.00266666666666667,0.0266666666666667,0.032,0,0.0373333333333333,0.056,0.00533333333333333,0.008,0,0.048,0.242666666666667,0,0.024,0.032,0.024,0.0586666666666667,0,0,0.0133333333333333,0.0106666666666667,0.00533333333333333,0.00266666666666667,0.0533333333333333,0,0,0.008,0,0.232,0,0,0,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,638,0,0.0641025641025641,0.00256410256410256,0.0435897435897436,0.0205128205128205,0.00256410256410256,0.0307692307692308,0.0564102564102564,0.0153846153846154,0,0,0.0538461538461538,0.264102564102564,0.00769230769230769,0.0179487179487179,0.0256410256410256,0.0128205128205128,0.0435897435897436,0,0.00256410256410256,0.00512820512820513,0.00769230769230769,0,0.00512820512820513,0.0307692307692308,0,0.00256410256410256,0,0,0,0.00256410256410256,0.264102564102564,0,0,0.00512820512820513,0.00512820512820513,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,853,0,0.082079343365253,0.0054719562243502,0.0410396716826265,0.0492476060191518,0,0.0410396716826265,0.0437756497948016,0.0054719562243502,0,0,0.054719562243502,0.248974008207934,0,0.0164158686730506,0.0109439124487004,0.0082079343365253,0.0519835841313269,0,0.0027359781121751,0.0054719562243502,0.0136798905608755,0.0027359781121751,0.0109439124487004,0.0355677154582763,0,0,0.00683994528043776,0,0,0.0082079343365253,0.240766073871409,0,0.0027359781121751,0.0027359781121751,0.0054719562243502,0,0.0027359781121751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1068,0,0.0486026731470231,0.00243013365735115,0.031591737545565,0.0194410692588092,0,0.06318347509113,0.0364520048602673,0.0145808019441069,0.00243013365735115,0,0.031591737545565,0.243013365735115,0.00243013365735115,0.00972053462940462,0.0109356014580802,0.0194410692588092,0.0486026731470231,0,0,0,0.0413122721749696,0,0.0218712029161604,0.0534629404617254,0,0.00243013365735115,0,0,0,0,0.281895504252734,0,0.00243013365735115,0,0.00243013365735115,0.00972053462940462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1283,0,0.0683229813664596,0,0.0186335403726708,0.0590062111801242,0,0.0527950310559006,0.12111801242236,0.015527950310559,0.0062111801242236,0,0.0590062111801242,0.236024844720497,0.0093167701863354,0.015527950310559,0.0186335403726708,0.015527950310559,0.046583850931677,0,0.0062111801242236,0,0.0062111801242236,0.0031055900621118,0.0093167701863354,0.0279503105590062,0,0,0,0,0.190993788819876,0.0031055900621118,0,0,0,0.0046583850931677,0,0.0031055900621118,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1498,0,0.0747028862478778,0,0.033955857385399,0.033955857385399,0,0.064516129032258,0.108658743633277,0.0101867572156197,0.0135823429541596,0,0.0916808149405773,0.308998302207131,0,0.0135823429541596,0.0169779286926995,0.0033955857385399,0.0747028862478778,0,0,0.0067911714770798,0.0101867572156197,0.0101867572156197,0.0033955857385399,0.0033955857385399,0,0,0,0,0,0,0.103565365025467,0,0.0033955857385399,0,0.0033955857385399,0.0033955857385399,0,0.0033955857385399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1713,0,0.0542264752791069,0,0.025518341307815,0.025518341307815,0,0.0893141945773525,0.0701754385964912,0.00318979266347687,0.00318979266347687,0,0.105263157894737,0.392344497607655,0.00956937799043062,0.00637958532695375,0.00637958532695375,0.00318979266347687,0.0606060606060606,0,0,0.00637958532695375,0.00637958532695375,0.00318979266347687,0.00318979266347687,0.0287081339712919,0.00637958532695375,0,0,0,0,0,0.0845295055821372,0,0,0,0.00318979266347687,0.00318979266347687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
