"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis.type","Betula","Carya","Celtis","Cephalanthus","Cornus.sericea.type","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Ericaceae","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar.styraciflua","Morus","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Quercus","Rhus","Rubus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Allium","Ambrosia.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","Amaranthaceae","Dalea.purpurea","Euphorbia","Fagopyrum","Galium","Humulus.lupulus","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Lamiaceae.undiff.","Liliaceae","Lycopus.type","Phlox","Pilea.type","Poaceae","Polemonium","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Cyperaceae","Engelhardtia"
1525,NA,0,0,0,0,0,0.00327868852459016,0,0.0098360655737705,0,0,0,0,0.00327868852459016,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00655737704918033,0.744262295081967,0,0,0.0459016393442623,0,0.00327868852459016,0,0,0.0262295081967213,0,0,0.00655737704918033,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0.0098360655737705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0.00327868852459016,0,0,0.098360655737705,0
1530,NA,0,0,0,0.0093167701863354,0,0.0031055900621118,0,0,0,0,0,0,0,0.0124223602484472,0,0,0,0,0.0093167701863354,0,0,0,0,0,0,0.0186335403726708,0,0,0,0.748447204968944,0,0,0.0341614906832298,0,0,0.0031055900621118,0,0.0248447204968944,0,0,0,0,0,0.0031055900621118,0,0.0062111801242236,0.0031055900621118,0,0.0062111801242236,0,0,0,0.0186335403726708,0.0062111801242236,0,0,0,0,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341614906832298,0,0,0,0,0,0,0.0031055900621118,0,0,0.0031055900621118,0,0,0.046583850931677,0
1535,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033112582781457,0.688741721854305,0,0,0.162251655629139,0,0,0,0,0.00993377483443709,0,0,0,0,0,0,0,0,0,0,0.00662251655629139,0,0,0,0.00662251655629139,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0.109271523178808,0
1540,NA,0.0216049382716049,0,0,0.0154320987654321,0,0,0,0,0,0,0,0,0.00308641975308642,0,0,0,0.00308641975308642,0,0.00308641975308642,0,0,0,0,0,0,0.00308641975308642,0,0,0,0.746913580246914,0,0,0.0555555555555556,0,0,0,0,0.00925925925925926,0,0,0.00617283950617284,0,0,0,0,0.00308641975308642,0,0,0.00617283950617284,0,0,0,0.0123456790123457,0.00308641975308642,0,0,0,0,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246913580246914,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0.0709876543209877,0
1560,NA,0.0142450142450142,0,0,0.00854700854700855,0,0.0056980056980057,0,0.00854700854700855,0,0,0,0,0.00284900284900285,0.00284900284900285,0,0,0,0,0.0056980056980057,0,0,0,0,0,0,0.0142450142450142,0,0,0.00284900284900285,0.658119658119658,0,0,0.0626780626780627,0,0.00284900284900285,0.00284900284900285,0,0.0142450142450142,0,0,0.0170940170940171,0,0,0,0,0,0,0,0.0142450142450142,0,0,0,0.0256410256410256,0.0199430199430199,0,0,0,0,0.0056980056980057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398860398860399,0,0,0,0,0,0,0.00284900284900285,0,0,0,0,0,0.0683760683760684,0
1580,NA,0.0153846153846154,0,0,0,0,0,0,0.00769230769230769,0.00256410256410256,0,0,0,0,0.00512820512820513,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0.00512820512820513,0,0,0,0.723076923076923,0.00256410256410256,0,0.082051282051282,0,0,0,0,0.00769230769230769,0.00256410256410256,0,0.00769230769230769,0,0,0,0,0.00256410256410256,0,0,0.0179487179487179,0,0,0,0,0.00256410256410256,0,0,0,0,0.00512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179487179487179,0,0,0,0,0,0,0,0,0,0,0,0,0.0897435897435897,0
1600,NA,0,0,0,0,0,0,0,0.0142045454545455,0,0,0,0,0.00284090909090909,0.00568181818181818,0,0,0.00284090909090909,0,0,0,0,0,0,0,0,0.0255681818181818,0,0.00284090909090909,0.00284090909090909,0.761363636363636,0,0,0.0227272727272727,0,0.00284090909090909,0,0,0.00284090909090909,0,0,0.00284090909090909,0,0,0,0,0,0,0.00568181818181818,0.00568181818181818,0,0,0,0.00852272727272727,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255681818181818,0,0,0,0,0,0,0,0,0,0.00284090909090909,0,0,0.096590909090909,0
1620,NA,0.0128617363344051,0,0,0,0,0,0,0.00643086816720257,0,0,0,0,0.00643086816720257,0.0160771704180064,0,0,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0.607717041800643,0.00643086816720257,0,0.0707395498392283,0,0.00643086816720257,0.00643086816720257,0,0.00643086816720257,0.00321543408360129,0,0,0,0,0,0.00643086816720257,0,0,0,0.00643086816720257,0,0,0,0.0321543408360129,0.0128617363344051,0,0.00321543408360129,0,0,0.00643086816720257,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0.0643086816720257,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0.109324758842444,0
1640,NA,0.00628930817610063,0,0,0.00314465408805031,0,0,0,0,0.00628930817610063,0,0,0,0.00314465408805031,0,0,0,0,0,0.00628930817610063,0,0,0,0,0,0,0.0125786163522013,0.00314465408805031,0,0,0.625786163522013,0.0251572327044025,0,0.169811320754717,0,0.00628930817610063,0.00314465408805031,0,0.00628930817610063,0,0,0.00314465408805031,0,0,0.00314465408805031,0,0.00314465408805031,0,0,0,0,0,0,0.0157232704402516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0.050314465408805,0
1660,NA,0.0301204819277108,0,0,0,0.00301204819277108,0.00301204819277108,0,0,0,0,0,0,0,0.00602409638554217,0,0,0,0,0.00602409638554217,0,0,0,0.00301204819277108,0,0,0.00903614457831325,0,0,0.00301204819277108,0.596385542168675,0.00301204819277108,0,0.114457831325301,0,0.00602409638554217,0.00602409638554217,0,0.00301204819277108,0.00301204819277108,0,0.00301204819277108,0,0,0,0,0,0,0,0.0120481927710843,0,0.00301204819277108,0,0.0240963855421687,0.00903614457831325,0,0.00301204819277108,0.00602409638554217,0,0.00903614457831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180722891566265,0,0,0,0,0,0,0.00602409638554217,0,0,0.00602409638554217,0,0,0.105421686746988,0
