"sample.depths","sample.ages","Abies","Acer.saccharum","Betula","Carya","Fagus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Other.trees.and.shrubs","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Tilia","Tsuga","Ulmus","Cyperaceae","Other.herbs","Poaceae","Cryptogramma","Pediastrum","Other.aquatics","Isoëtes"
1500,NA,0,34,22,27,104,4,7,31,20,4,2,2,9,4,4,185,3,11,36,4,11,2,6,0,0,0
1510,2103,0,38,20,32,114,7,10,26,15,1,0,12,3,4,3,157,8,21,35,1,3,3,7,0,0,0
1520,2405,1,29,20,29,119,10,5,30,8,2,3,5,4,8,3,181,6,10,25,1,6,2,4,0,0,0
1530,2680,0,29,27,19,172,7,4,34,10,0,3,4,3,4,4,199,13,17,39,3,4,0,3,0,2,0
1540,2912,0,26,23,16,95,9,2,45,20,1,1,4,10,1,2,217,3,8,36,1,7,0,6,0,0,0
1550,3084,0,30,14,23,83,2,0,13,126,0,2,3,5,9,0,178,6,12,24,2,13,2,40,0,2,0
1560,3198,0,32,28,25,103,1,1,23,20,0,2,10,9,5,3,205,3,8,40,1,11,2,11,0,1,0
1570,3271,0,28,22,21,130,4,0,19,17,0,1,13,15,5,5,212,7,5,35,4,6,3,25,1,5,0
1580,3326,0,21,22,26,93,7,0,33,19,0,0,7,7,11,4,179,4,4,38,0,5,5,12,0,0,0
1600,3460,0,7,13,24,97,14,2,41,16,0,1,12,7,8,2,202,3,7,24,0,6,0,8,1,0,0
1610,3580,0,38,22,37,103,7,0,24,22,1,4,13,7,8,7,206,4,2,28,3,1,2,9,0,4,0
1620,3755,0,25,23,21,88,15,0,40,21,0,0,11,3,9,0,218,4,2,42,1,0,2,12,0,0,0
1630,3980,0,38,23,9,99,3,0,34,10,0,1,10,9,9,3,272,1,2,22,4,6,1,12,0,4,0
1640,4239,0,36,13,24,110,5,0,27,9,1,2,9,2,2,3,213,6,4,48,2,7,3,15,0,1,0
1650,4519,0,19,15,24,81,9,0,19,9,0,2,7,9,10,4,264,1,7,33,3,2,2,5,1,3,0
1660,4806,0,17,13,23,99,6,0,17,7,0,2,3,4,4,3,221,3,5,36,2,3,4,7,0,2,0
1670,5088,0,29,29,12,111,6,0,13,13,0,0,6,5,11,0,198,6,13,38,3,8,2,16,0,3,0
1674,5196,0,27,31,20,133,2,0,17,18,0,2,9,10,23,2,248,13,20,58,3,4,4,14,0,0,0
1677,5274,0,35,44,16,199,1,0,17,17,0,1,6,16,22,1,264,4,21,56,0,11,5,8,0,0,0
1680,5351,0,33,33,12,126,3,0,22,18,0,2,10,4,10,4,167,6,33,42,1,8,0,12,0,2,0
1690,5599,0,30,22,43,181,7,0,20,13,0,0,8,8,20,1,237,10,42,74,2,7,3,5,1,8,0
1700,5845,0,28,17,31,92,3,0,21,16,0,2,20,6,14,0,261,8,61,47,3,5,1,12,0,2,0
1710,6098,0,17,12,14,112,5,0,19,14,0,2,13,12,25,0,191,7,20,44,1,7,1,6,0,3,0
1720,6369,0,18,6,13,97,5,0,35,14,0,5,5,8,25,0,195,6,23,56,9,1,4,8,0,0,0
1730,6656,0,23,10,16,144,1,0,24,18,0,3,13,10,20,0,161,8,25,56,5,7,0,12,5,5,0
1740,6943,0,19,8,14,94,2,0,37,18,0,0,8,8,19,1,177,13,16,43,3,1,1,5,0,3,0
1750,7216,0,33,9,16,154,3,0,31,19,0,0,5,7,14,0,153,5,16,43,5,3,0,8,1,1,0
1760,7493,0,26,12,8,96,4,0,43,9,0,4,8,16,8,1,224,3,23,40,3,5,1,8,1,7,0
1770,7829,0,35,8,8,125,0,1,32,14,0,0,14,20,10,0,214,6,26,18,6,4,1,12,3,0,0
1780,8277,0,34,18,6,100,2,1,49,5,0,6,26,26,0,0,180,13,31,26,2,5,0,4,1,5,1
1790,8844,0,19,13,5,94,0,0,90,12,0,9,28,17,13,0,301,13,37,37,3,1,1,2,3,0,1
1800,9488,1,14,16,0,3,3,0,91,10,1,15,125,93,1,9,227,2,30,19,3,4,1,4,0,2,4
1810,10161,0,13,34,1,3,0,1,104,8,1,27,146,124,3,22,173,8,33,14,0,2,0,7,3,1,1
1820,10808,2,10,43,3,0,4,3,65,5,7,19,65,165,2,16,129,0,10,30,7,5,2,7,4,1,9
1830,11417,26,2,112,4,0,2,40,31,32,35,42,35,96,1,109,65,0,11,22,17,3,5,9,32,3,204
1840,11985,5,1,13,1,0,8,7,14,23,219,44,8,83,0,16,23,0,6,16,16,7,4,6,23,1,29
1850,12517,1,1,34,1,0,3,17,14,45,248,35,10,68,1,17,36,0,10,20,19,13,12,1,24,1,1
1860,13029,3,0,13,1,1,23,1,33,18,294,11,2,38,2,4,51,0,1,11,26,17,25,16,253,12,0
1869,NA,0,1,14,2,2,49,0,43,17,188,15,2,32,0,7,72,0,3,4,36,24,9,6,39,19,0
