"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Fagus","Fraxinus","Juglans","Juniperus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodium","Cyperaceae","Poaceae","Rubus","Castanea","Planera.aquatica","Mitella","Geranium","Urtica","Rhamnus","Brassicaceae","Plantago","Menispermaceae","Polygonum","Eupatorium","Thalictrum","Oxalis","Aquifoliaceae","Epilobium","Stellaria","Nyssa","Cornus"
0,-55,291,0,3,4,7,5,0,2,2,2,0,3,1,0,1,0,14,18,0,2,136,0,0,0,10,63,2,0,4,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-14,277,0,4,3,10,2,0,1,6,3,0,2,1,0,1,1,4,53,0,2,133,1,0,11,8,7,1,0,0,1,6,13,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
20,28,269,0,5,1,5,6,4,5,3,4,1,0,1,0,4,2,33,44,0,4,116,1,0,0,3,7,1,5,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,70,258,0,3,3,9,1,0,0,0,4,1,1,2,0,4,1,21,43,0,1,115,7,1,2,11,3,3,3,1,2,11,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0
40,113,264,0,1,3,23,3,1,0,2,6,1,0,0,0,15,3,12,38,0,3,129,0,3,5,3,0,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,156,255,4,2,1,10,4,1,0,2,7,0,1,0,0,4,0,24,48,0,1,102,1,1,4,5,1,9,4,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200,251,0,4,4,8,6,1,4,3,2,0,0,2,0,5,0,12,66,0,6,79,0,0,4,2,6,4,9,2,4,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,244,211,1,5,4,5,0,6,0,5,8,2,1,1,0,2,0,13,36,0,1,74,2,0,0,5,3,4,7,0,4,18,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
80,290,245,2,7,2,13,3,0,1,4,6,1,2,8,0,4,0,14,42,0,5,92,0,1,1,5,3,4,8,1,2,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,327,258,0,1,10,5,3,0,0,0,6,3,7,2,1,1,2,0,55,0,3,95,4,0,4,10,10,7,8,4,5,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,374,304,0,8,7,13,5,0,0,6,9,0,0,6,0,4,0,22,62,0,4,99,3,0,11,10,7,6,8,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,422,273,0,1,1,7,4,0,3,6,5,1,1,8,0,4,2,20,46,0,3,114,0,0,2,6,6,5,4,4,1,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,446,266,0,2,0,19,2,0,1,1,7,0,4,4,0,4,1,22,43,0,0,113,0,0,6,8,7,3,4,2,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,471,257,0,3,3,11,3,0,5,0,4,1,3,2,0,3,2,27,35,0,5,91,2,1,2,6,9,7,7,2,7,7,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,521,321,0,7,4,13,1,1,0,3,4,2,3,15,0,6,1,17,45,0,7,142,1,0,4,5,5,9,3,2,1,12,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
138,573,266,0,3,5,9,2,0,5,3,7,0,0,2,0,1,1,25,46,0,2,122,2,0,1,7,1,2,3,2,1,9,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
148,626,259,1,2,1,13,5,0,4,4,6,0,4,6,0,5,1,11,27,0,0,131,0,0,4,6,7,5,5,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,680,299,0,0,0,19,3,0,1,5,4,3,3,0,0,2,0,23,38,0,4,152,0,1,6,7,5,4,3,1,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
163,708,237,1,0,6,11,0,1,0,0,8,2,2,14,0,1,0,6,42,0,0,103,3,0,8,2,2,1,0,10,1,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
188,853,282,0,4,1,17,2,0,0,4,6,1,3,4,0,0,0,28,59,0,2,128,0,0,0,5,0,5,3,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1008,291,0,2,5,6,3,2,2,1,2,0,5,1,0,6,1,19,51,0,0,131,0,1,4,7,4,6,8,0,3,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,1074,328,1,2,4,14,10,0,2,2,7,0,4,12,0,7,2,24,39,0,3,113,1,0,0,15,7,4,19,5,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1141,275,0,2,3,16,6,2,2,2,6,0,0,1,0,2,0,23,47,0,5,99,0,0,0,11,4,6,10,1,9,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
243,1211,279,0,2,0,10,5,0,1,1,3,1,0,0,0,4,0,17,42,0,3,153,0,0,3,4,3,5,7,1,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
