"sample.depths","sample.ages","upland.sum","Abies","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Larix","Picea","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Populus","Poaceae","Plantago","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Ostrya","Fraxinus.nigra","Fraxinus.americana","Acer.rubrum","Artemisia","Carya","Juglans.nigra","Juglans.cinerea","Ericaceae","Tilia","Corylus","Sarcobatus.vermiculatus","Myrica","Apiaceae","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Thalictrum","Ephedra.nevadensis.type"
1,-15,240,2,65,2,2,2,2,7,5,1,13,1,1,20,1,7,13,13,2,3,1,10,3,52,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,266,230,4,64,0,1,1,3,2,6,0,10,3,0,16,1,6,4,9,0,10,1,14,1,66,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,562,210,1,66,0,6,0,13,3,3,0,3,0,0,33,0,8,8,1,1,0,0,4,1,47,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,858,208,0,67,0,4,1,14,0,1,0,4,0,0,22,2,11,3,0,0,0,0,10,1,51,6,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80,1154,210,0,47,0,0,2,11,1,3,1,6,0,1,39,0,3,4,1,0,1,0,10,0,68,5,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
100,1450,208,0,58,0,1,1,9,1,3,0,12,0,1,30,1,5,5,0,0,1,0,4,1,63,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1746,202,1,56,0,4,1,8,3,1,0,9,0,0,21,0,9,1,0,0,0,0,5,0,74,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2042,205,0,31,0,1,0,10,0,2,0,11,0,0,23,0,14,1,0,2,2,0,5,1,85,4,6,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
160,2338,202,0,43,0,2,0,13,0,1,0,12,0,0,38,0,5,1,0,0,1,0,9,0,72,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,2634,202,1,43,0,1,1,11,1,5,0,4,0,0,16,1,10,1,0,0,0,0,5,1,87,9,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
200,2930,206,3,42,0,0,1,3,2,3,1,6,0,1,18,0,9,4,0,0,0,0,5,1,100,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3226,203,1,46,0,0,0,6,1,1,0,4,0,0,14,0,3,0,0,0,1,0,3,0,110,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,3523,208,1,44,1,2,0,7,1,1,0,13,0,0,10,0,5,5,1,0,0,0,4,1,102,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3819,203,1,42,0,0,0,5,1,5,0,8,0,0,6,0,0,1,0,0,0,0,5,0,109,12,1,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0
280,4115,206,1,44,0,1,0,5,3,3,0,9,0,0,7,0,9,5,0,0,0,0,6,0,97,11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4411,207,1,47,0,2,1,6,0,1,1,13,0,0,4,0,10,2,2,0,1,0,7,1,95,6,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
320,4707,207,0,54,0,1,3,4,1,3,0,19,0,0,4,0,6,2,0,0,1,0,7,0,88,7,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
340,5003,209,1,54,0,1,0,6,0,1,0,12,0,0,9,0,4,2,0,0,0,0,3,1,101,9,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
360,5299,205,1,65,0,0,1,3,0,1,0,20,0,0,5,0,6,1,0,0,0,0,4,0,78,9,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
380,5628,204,0,44,0,0,0,3,1,6,0,9,0,0,28,0,6,0,2,0,1,0,4,1,86,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6013,209,0,48,1,1,1,6,1,0,1,18,0,0,17,0,3,3,1,0,0,0,9,2,79,11,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
420,6398,203,0,24,0,1,0,8,0,1,0,18,0,0,24,0,3,2,0,0,1,0,4,0,102,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,6782,204,0,10,0,0,1,1,1,1,0,14,0,0,15,0,4,1,0,0,1,0,5,0,135,12,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
460,7167,201,0,9,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,1,0,1,0,158,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
480,7552,202,1,7,0,2,1,3,1,0,0,25,0,0,3,0,2,0,0,0,0,0,2,0,123,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500,7937,204,2,4,0,0,0,3,0,2,0,21,0,0,4,0,4,1,1,0,1,0,3,1,134,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,8441,201,4,14,0,0,0,0,0,4,1,10,0,0,0,0,5,0,1,0,0,0,0,0,128,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
540,8984,205,0,12,1,0,1,1,3,4,1,8,0,0,1,0,2,0,1,0,0,0,0,0,94,73,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
560,9528,203,3,29,0,0,2,1,0,4,0,16,0,0,0,0,3,0,0,0,0,0,0,0,29,115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
580,10072,204,4,21,0,2,2,0,2,7,0,13,0,0,0,0,3,2,0,0,0,0,0,0,6,139,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
600,10616,206,1,23,1,1,3,0,0,5,0,11,0,1,3,1,9,0,0,0,0,0,0,0,10,134,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
620,11159,205,0,16,0,2,2,0,2,10,0,13,0,1,0,0,1,0,0,0,0,0,0,0,6,145,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
640,NA,212,0,17,0,1,9,0,0,79,0,21,0,0,0,0,6,1,1,0,0,0,0,0,7,68,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
660,NA,231,1,14,0,2,17,0,0,33,0,17,0,7,2,1,7,2,2,1,2,0,0,0,18,102,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680,NA,210,0,61,1,1,18,0,2,11,0,13,0,3,2,1,11,9,0,5,3,0,2,0,3,35,0,13,0,0,13,1,0,0,0,0,0,0,0,0,2,0,0,0
700,NA,323,0,29,1,2,48,0,0,23,0,23,0,11,4,2,14,9,4,1,12,0,0,0,2,111,0,0,0,0,18,1,0,0,4,0,0,0,0,0,3,1,0,0
720,NA,294,0,41,0,2,49,0,1,25,0,20,0,9,4,4,9,7,4,3,8,0,1,0,17,58,1,1,0,0,23,0,0,0,4,0,0,0,0,0,1,0,1,1
