"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betula.undiff.","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Pedicularis","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Prunus","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Salix","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum"
50,1064,20,0,1,6,1,23,1,0,0,1,2,0,0,185,0,0,0,0,0,0,4,1,0,1,2,2,0,11,0,21,0,0,1,0,0,2,0,0,2,5,2,0,0,0,0,0,3,8,13,0,0,29,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,1,2,6,0,0
75,1596,4,0,1,4,0,7,2,0,0,0,2,0,0,170,0,0,0,0,0,0,0,1,0,0,4,2,0,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,7,0,3,24,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0
100,2128,7,0,1,1,0,9,1,0,0,0,0,0,0,142,0,0,0,0,1,0,2,2,0,0,7,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,4,6,0,4,16,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
125,2660,15,0,0,3,0,5,1,0,0,0,0,0,0,112,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,3,24,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0
150,3192,28,0,2,7,0,17,2,1,0,1,0,0,0,472,0,0,0,0,0,0,8,5,0,2,14,9,1,0,1,15,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,23,20,14,6,39,62,7,0,0,1,0,0,12,0,0,1,1,0,0,0,0,0,0,1,6,0,0,2,1,0,0
175,3724,8,0,2,4,1,11,1,0,0,1,0,0,0,232,0,0,0,0,0,0,0,0,0,1,9,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,7,11,0,14,34,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
200,4256,13,0,0,9,2,11,3,0,1,1,0,0,0,532,0,0,0,1,0,0,16,0,0,3,2,14,2,0,0,8,0,2,0,2,0,0,0,0,0,1,5,0,5,0,0,9,20,13,10,3,45,48,7,0,0,0,0,0,20,0,0,1,0,0,0,1,0,0,0,0,2,0,4,1,1,0,0
225,4789,11,0,1,8,0,12,2,0,0,0,0,0,0,230,0,0,0,0,0,0,0,1,0,0,4,6,2,1,0,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,5,7,6,0,10,44,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0
250,5321,22,0,4,14,0,15,5,1,1,0,1,0,0,516,0,0,0,0,0,0,5,2,0,1,4,5,3,0,1,9,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,4,12,13,9,5,48,72,3,0,0,7,0,0,14,0,1,0,1,0,0,0,0,0,0,0,4,0,12,0,1,0,0
275,5853,9,0,0,3,0,22,12,0,0,0,2,0,0,277,0,0,0,0,0,0,4,4,0,0,2,3,1,0,0,5,0,0,4,0,0,1,0,0,0,0,1,1,1,0,0,0,9,7,14,1,42,72,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0
300,6385,17,0,3,8,2,19,3,1,2,1,1,0,0,471,0,0,0,0,0,0,6,2,0,0,3,10,2,0,0,3,0,0,1,0,0,3,0,0,0,1,3,0,2,0,0,1,19,11,10,3,50,64,1,0,0,10,0,0,7,0,0,0,0,0,0,0,0,1,1,0,16,0,1,0,4,0,0
325,6917,16,0,1,5,1,8,5,0,0,2,0,0,0,178,0,0,0,0,0,0,7,1,0,0,1,9,1,0,0,5,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,5,6,14,0,22,75,3,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,13,0,2,2,4,0,0
350,7449,14,0,1,3,1,4,3,1,0,0,2,0,27,191,0,0,1,0,0,0,2,1,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,3,7,1,45,37,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,3,0,0
375,7981,11,0,1,4,1,10,7,1,1,2,0,0,0,313,0,0,0,0,0,0,6,0,0,0,0,9,0,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,4,0,0,0,12,10,3,3,44,98,1,0,0,5,0,0,12,0,0,0,1,0,0,0,0,0,0,0,5,1,6,1,1,0,0
390,8300,25,0,1,5,2,15,22,0,1,2,1,0,0,289,0,0,0,0,0,0,7,1,0,0,1,7,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,7,20,5,5,57,97,4,0,0,10,0,0,18,0,0,0,0,0,0,0,1,0,0,0,6,2,5,1,5,0,0
400,8513,40,0,1,5,0,7,19,0,2,1,1,0,22,305,0,0,1,0,1,0,10,6,0,0,1,10,1,0,0,6,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,6,29,10,16,7,59,46,2,0,0,12,0,0,19,0,0,1,3,0,0,0,0,0,0,0,4,0,8,0,9,0,0
415,9488,14,0,0,3,2,3,51,1,0,1,1,0,0,292,0,0,0,0,1,0,11,1,0,0,0,8,0,0,0,4,0,0,1,0,0,2,0,0,1,4,8,0,3,0,0,0,10,20,6,1,23,50,4,0,0,12,0,0,16,0,0,1,1,0,0,1,0,0,0,1,2,0,3,1,15,0,0
420,9923,6,0,0,0,0,1,27,2,1,0,0,0,0,124,0,0,0,0,0,0,1,3,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,3,0,2,18,2,0,0,1,0,0,7,0,0,0,6,0,0,0,0,1,0,0,2,0,3,0,3,0,0
425,10357,12,1,1,0,1,7,15,0,1,2,2,0,0,163,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,5,7,11,1,13,26,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,1
430,10792,4,0,0,1,0,1,45,0,0,1,0,0,0,146,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,2,5,0,2,17,0,0,0,9,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
435,10842,25,0,0,0,0,2,83,0,1,1,0,0,0,497,0,0,0,0,0,0,4,2,0,0,1,3,0,0,0,2,0,0,2,0,0,5,0,0,1,0,6,0,2,0,0,1,12,20,7,7,6,30,3,0,0,13,0,0,11,0,0,0,1,0,0,0,0,5,0,0,0,1,2,2,3,0,0
440,10891,32,0,0,2,1,9,84,0,1,0,1,0,0,232,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,1,0,1,0,0,0,2,0,0,3,0,3,1,2,0,0,0,12,4,8,0,2,29,1,0,0,24,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0
445,10941,18,0,0,1,0,12,152,0,0,0,0,0,0,216,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,6,4,0,0,0,0,3,0,0,2,0,10,0,3,0,0,0,46,15,11,2,1,42,1,0,3,6,1,0,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,13,0,0
450,10990,18,0,0,3,1,5,228,0,2,2,3,0,22,370,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,5,3,1,0,3,0,0,0,107,10,3,30,15,11,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,0
455,11040,1,0,0,0,0,7,246,0,0,1,0,0,0,92,0,0,0,0,0,0,5,5,0,1,0,2,1,0,0,7,8,0,1,0,0,2,0,0,0,2,6,0,0,0,0,0,40,20,6,0,3,28,2,0,1,20,1,0,7,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,5,0,0
