"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Huperzia.lucidula","Morus","Myrica","Parnassia","Potentilla","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polypodiaceae","Populus","Pinaceae.undiff.","Potamogeton.Triglochin","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Selaginella.selaginoides","Sphagnum","Juniperus.Thuja","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Indeterminable","Unknown","Botrychium","Caryophyllaceae","Charcoal","Cerealia","Brassicaceae","Glomus","Spore..trilete.","Urticaceae","Tilletia","Eucalyptus.spike..number.counted.","Sample.volume..ml."
1,-13,5,0,4,1,118,1,39,0,3,5,1,0,4,5,48,3,23,0,3,4,0,13,0,0,1,0,4,1,0,0,0,3,0,1,0,0,1,0,0,1,2,10,14,5,2,0,2,1,0,0,0,11,2,1,0,4,0,0,0,0,9,0,0,12,0,1,8,0,24,8,0,0,84,2,1,1,0,0,0,429,1
10,250,1,0,9,5,80,1,27,0,5,3,0,0,1,0,2,0,32,15,10,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,21,56,1,3,0,0,0,0,4,0,26,0,7,0,1,0,0,11,0,16,0,0,8,0,0,0,0,21,7,0,1,75,0,1,0,3,0,0,380,1
20,541,3,0,9,3,3,0,15,0,3,5,0,0,0,0,0,0,35,0,20,3,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,94,0,0,0,4,1,0,2,0,38,0,0,0,1,0,4,1,4,49,0,0,15,0,0,0,0,50,15,0,0,62,0,0,5,1,0,0,157,1
60,1707,1,1,27,3,1,0,18,0,15,17,0,0,1,0,0,1,27,27,42,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,22,46,0,4,0,0,0,0,2,0,33,0,0,0,0,0,3,3,3,41,0,0,20,0,0,0,0,34,6,0,0,69,0,0,0,2,0,0,501,1
95,2727,2,0,43,0,0,0,3,0,3,2,0,0,0,0,1,0,10,6,4,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,23,115,0,0,0,2,0,0,4,2,12,0,0,0,0,0,7,6,6,69,0,0,6,0,0,0,0,39,8,0,0,140,0,0,10,2,1,0,1665,1
135,2936,0,0,24,2,0,0,16,0,9,12,0,0,0,0,0,0,8,7,37,9,2,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,7,34,0,4,0,1,1,0,1,1,35,0,0,0,0,0,6,5,5,48,0,0,45,0,0,0,0,28,3,0,0,132,0,0,0,4,0,0,975,1
170,3064,0,0,37,1,0,1,12,0,7,11,0,0,1,0,0,1,22,2,47,5,4,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,9,2,0,12,72,0,4,0,1,0,0,2,1,27,0,0,0,0,0,19,6,2,34,0,0,24,0,0,0,0,35,2,0,0,86,0,0,0,1,0,0,495,1
190,3136,4,0,32,1,2,0,17,0,5,6,0,0,0,0,1,0,4,5,38,3,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,31,0,2,0,0,0,0,1,1,29,0,0,0,0,0,1,6,14,52,1,0,24,0,0,0,0,23,26,0,0,66,0,0,0,1,0,0,383,1
210,3209,3,0,20,3,0,0,14,0,5,7,0,0,0,0,2,6,24,0,32,5,2,1,0,0,0,2,0,0,0,1,0,15,0,0,0,0,1,1,4,2,0,11,62,0,2,0,2,0,0,1,0,40,0,0,0,0,0,0,11,6,22,0,0,28,0,0,0,0,60,1,0,0,112,0,0,0,0,0,0,467,1
230,3379,1,0,47,3,2,1,25,0,6,5,2,0,0,0,1,0,59,0,33,2,3,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,6,57,0,1,0,1,2,0,15,3,35,0,0,0,0,0,4,15,13,25,0,0,20,0,0,0,0,103,2,0,0,80,0,0,0,1,0,1,734,0
