"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Aquifoliaceae","Betula","Carya","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Poaceae.undiff.","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Thalictrum","Trees.undiff.","Tsuga","Ulmus","Myrica","Populus","Acer.saccharinum.type","Artemisia","Rhamnaceae.Vitaceae.undiff.","Salix","Tilia","Acer.pensylvanicum","Amorpha.type","Amaranthaceae.undiff.","Ericaceae","Juglans.cinerea","Dalea","Polygonum","Ceanothus","Salsola","Brassicaceae","Sarcobatus.vermiculatus","Ephedra","Acer.undiff.","Iva.annua.type","Celtis","Iva.xanthifolia.type","Larix","Acer.negundo","Morus","Asteraceae.subf..Asteroideae.undiff.","Prunus.Sorbus","Crataegus.type","Moraceae.undiff.","Saxifragaceae","Fraxinus.pennsylvanica.type","Lamiaceae","Fagus","Oxyria.digyna","Galium","Herbs.undiff.","Ranunculaceae.undiff.","Cornus","Fabaceae.undiff.","Cerealia","Potentilla.type","Anacardiaceae","Gleditsia","Apiaceae","Shepherdia","Vitis","Shrubs.undiff.","Rosaceae.undiff.","Pyrus.type"
1,NA,344,3,3,9,1,7,2,56,2,1,2,1,8,1,4,1,6,2,14,103,64,4,33,1,2,1,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NA,510,2,1,20,0,6,0,86,0,1,2,0,14,4,1,0,6,2,14,142,116,2,71,1,0,0,4,6,0,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,480,4,1,22,0,2,2,86,1,4,3,7,6,7,13,0,7,1,19,77,68,2,112,0,2,0,2,10,0,5,0,5,2,2,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,NA,418,0,1,54,0,11,1,112,0,3,7,5,5,3,11,0,11,0,4,21,30,1,104,0,2,0,2,7,0,3,0,7,1,5,1,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,NA,538,4,1,22,0,5,0,70,1,6,1,2,7,6,9,0,12,0,19,190,69,2,73,0,1,0,4,10,0,3,0,12,0,1,0,0,1,3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NA,532,2,2,34,0,9,0,160,1,3,0,4,11,1,9,0,8,1,18,86,28,0,126,0,1,0,0,10,0,6,0,4,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,NA,407,5,0,27,0,7,0,62,2,5,0,2,12,9,9,0,9,1,10,31,19,4,155,0,1,0,3,10,0,1,0,11,0,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1923,528,8,4,30,0,8,0,99,2,4,3,2,4,5,15,1,21,0,3,73,50,0,160,0,1,0,1,13,0,4,0,6,0,0,3,0,1,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2077,661,13,4,22,1,6,0,117,1,4,2,1,10,19,7,1,20,0,13,126,48,2,197,0,0,0,1,20,0,5,3,8,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2386,430,3,0,10,1,3,0,52,1,2,2,0,2,2,1,1,12,0,8,189,80,1,38,0,0,0,0,8,0,1,0,1,1,0,6,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2680,411,4,1,17,0,5,0,74,1,1,4,0,8,2,7,0,9,0,9,93,69,1,87,0,0,0,1,6,0,6,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
