"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Castanea","Cyperaceae","Fagus","Ilex","Pinus.undiff.","Quercus","Salix","Tsuga","Ulmus","Alnus","Acer","Ambrosia","Juniperus.Thuja","Fraxinus","Juglans","Amaranthaceae","Poaceae","Pinus.strobus","Caryophyllaceae","Picea","Rosaceae","Tilia","Nyssa","Ericaceae","Celtis","Abies","Apiaceae"
15,82,443,3,83,4,3,1,40,1,20,59,4,26,1,6,25,77,2,29,1,9,46,3,0,0,0,0,0,0,0,0,0
78,717,427,0,115,5,13,0,78,1,21,27,1,86,2,3,37,3,4,3,0,2,7,14,1,2,2,0,0,0,0,0,0
158,1638,413,0,127,3,11,2,58,1,16,42,4,87,5,1,32,1,0,5,2,0,1,7,0,2,2,4,0,0,0,0,0
178,1869,436,2,138,3,25,0,54,1,20,46,2,62,4,0,49,1,0,3,1,0,4,17,1,0,0,2,1,0,0,0,0
208,2214,410,0,125,3,6,0,74,3,35,51,4,48,8,0,46,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0
308,3538,415,0,103,5,9,0,85,4,26,54,4,33,3,0,40,2,0,4,2,0,3,32,0,3,0,3,0,0,0,0,0
358,4241,444,0,101,5,19,2,85,1,24,54,4,32,4,1,55,0,14,7,3,0,5,21,0,3,0,3,0,1,0,0,0
398,4803,428,0,116,6,24,0,111,1,29,56,1,37,4,0,30,1,0,3,2,1,0,5,0,0,0,1,0,0,0,0,0
498,6208,408,1,85,6,4,0,112,2,18,46,2,52,5,2,57,7,0,2,2,0,0,4,0,0,0,1,0,0,0,0,0
546,6882,418,0,119,3,7,4,118,4,12,54,2,26,2,3,48,3,0,1,2,2,0,3,0,1,0,3,0,1,0,0,0
612,7810,443,0,135,6,7,0,102,11,10,50,1,30,6,2,51,1,0,11,2,0,7,7,0,0,0,4,0,0,0,0,0
650,8343,412,0,67,2,10,0,110,5,34,29,3,60,3,1,45,4,6,5,0,0,7,17,0,0,0,3,1,0,0,0,0
675,8695,441,0,85,4,7,0,101,3,32,37,5,81,1,0,50,1,4,6,1,0,2,17,1,2,0,1,0,0,0,0,0
708,9158,433,0,116,4,12,0,95,2,12,53,1,21,5,1,61,2,0,19,2,1,10,9,0,1,1,5,0,0,0,0,0
760,9889,413,0,85,9,9,0,113,3,21,66,2,22,3,1,46,0,4,7,0,0,7,7,0,1,0,6,1,0,0,0,0
793,10353,407,0,94,10,7,0,104,1,29,65,7,21,7,1,37,2,0,3,2,0,1,11,0,0,0,5,0,0,0,0,0
825,10802,418,0,78,4,11,0,82,1,29,33,7,106,4,0,38,1,0,2,1,0,1,7,0,0,1,11,0,1,0,0,0
855,11224,449,0,147,1,2,0,120,3,6,31,6,62,6,0,30,3,3,7,2,0,8,2,0,0,0,10,0,0,0,0,0
866,11378,422,0,172,6,2,0,105,2,3,31,4,51,2,0,30,0,0,2,7,0,0,3,0,0,0,2,0,0,0,0,0
877,11533,452,0,52,5,7,1,92,1,12,30,3,177,7,1,30,1,1,4,5,0,2,13,0,1,0,7,0,0,0,0,0
901,11870,397,0,78,4,2,0,52,0,2,47,5,153,9,0,19,1,4,9,7,0,1,0,0,0,0,4,0,0,0,0,0
925,12207,428,0,37,6,5,0,62,0,9,44,5,202,2,0,28,2,0,11,8,0,4,1,0,0,0,2,0,0,0,0,0
940,12418,439,0,31,1,0,0,70,0,13,21,2,265,7,0,6,1,2,1,1,0,8,6,0,0,0,1,0,0,3,0,0
1005,13331,451,0,20,1,0,1,68,0,8,29,1,278,3,1,10,4,5,3,4,0,4,4,0,0,0,5,2,0,0,0,0
1067,14203,491,0,45,1,0,0,26,0,8,30,3,325,9,1,8,2,1,10,1,0,4,11,0,2,0,4,0,0,0,0,0
1088,14498,428,0,58,2,0,0,10,1,72,98,8,122,10,0,6,5,0,7,2,1,0,24,0,0,0,2,0,0,0,0,0
1120,14947,407,0,66,4,4,2,2,0,39,150,15,50,10,3,9,5,0,2,1,0,5,36,0,0,2,2,0,0,0,0,0
1133,15130,391,1,11,1,0,0,0,1,219,9,0,6,2,7,3,5,10,2,0,0,11,19,0,77,0,0,0,0,2,5,0
1168,15622,453,0,85,0,2,1,2,0,189,26,11,20,13,10,4,10,0,2,2,0,13,23,0,26,0,0,0,0,0,13,1
1189,15917,436,2,63,0,0,1,0,0,213,16,1,8,7,18,2,4,1,0,0,0,11,11,0,71,0,0,0,0,0,7,0
1208,16184,418,0,53,1,0,3,0,0,180,17,3,6,3,9,0,1,0,0,0,0,9,5,1,122,0,0,0,0,0,5,0
1233,16535,427,2,58,2,0,1,2,0,196,21,7,5,4,19,0,7,0,0,0,0,9,5,1,84,3,0,0,0,0,1,0
1273,17097,437,1,28,0,0,3,0,0,185,27,12,7,4,13,1,11,13,5,3,0,10,26,0,67,0,0,0,1,1,18,1
1298,NA,430,4,28,2,0,5,2,1,184,26,4,8,3,5,2,6,2,9,3,0,10,37,1,75,0,0,0,0,0,11,2
