"sample.depths","sample.ages","upland.sum","Betula","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.undiff.","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Amaranthaceae","Brassicaceae","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Acer.negundo","Acer.rubrum","Acer.undiff.","Carya","Celtis","Liquidambar","Tilia","Salix","Rosaceae.undiff.","Cerealia","Acer.saccharum","Ranunculus.acris.type","Myrica","Castanea","Juglans.cinerea","Nyssa","Populus.balsamifera.type","Artemisia","Cupressaceae","Fraxinus.undiff.","Rhamnus","Abies","Cephalanthus","Caryophyllaceae.undiff.","Thalictrum","Iva.annua","Dalea","Alnus.undiff.","Juglans.undiff.","Prunus.type.undiff.","Populus.tremuloides.type","Larix","Eupatorium.type","Apiaceae","Liliaceae","Alnus.viridis","Melampyrum","Sambucus","Lamiaceae","Urtica.type","Prunus.cf..P..serotina","Humulus","Platanus","Dryas","Polygonum.lapathifolium.type","Campanula","Arenaria"
1200.25,NA,160,44,3,1,1,6,1,1,3,1,2,6,4,27,1,3,1,2,5,3,1,1,1,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209.75,NA,416,138,3,0,0,46,0,3,0,1,8,18,0,46,2,52,0,1,6,0,0,1,1,65,13,3,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219.75,NA,414,144,7,0,3,20,1,3,30,2,7,12,5,43,17,22,1,5,10,6,0,1,1,45,12,1,3,3,0,0,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229.5,NA,393,109,9,0,5,15,1,4,9,3,9,18,5,41,9,10,1,2,6,9,0,2,4,89,20,0,8,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239.5,NA,371,98,3,0,9,24,4,4,0,3,13,14,4,32,0,40,0,3,4,2,0,5,1,78,12,0,7,3,0,1,0,1,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249.5,NA,378,103,1,0,1,43,0,7,1,2,25,8,7,13,0,71,0,1,4,0,0,4,5,55,10,0,6,5,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259.5,NA,329,57,1,0,1,39,0,1,0,3,14,3,1,17,0,156,0,3,3,0,0,0,0,16,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,NA,372,61,1,0,2,43,3,3,0,4,17,20,0,34,0,85,1,0,1,0,0,0,10,60,12,0,7,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,NA,415,56,5,0,1,67,0,0,0,1,8,10,0,16,0,147,0,4,1,0,0,0,2,80,0,0,10,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,1061,345,51,2,0,1,71,2,3,0,3,11,7,1,16,0,133,0,2,2,0,0,0,4,20,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
