"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Arceuthobium.pusillum","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum","Diphasiastrum.complanatum.type","Dryas","Dryopteris","Dryopteris.type.undiff.","Ephedra","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Polygonum.undiff.","Polygonum.viviparum","Populus.balsamifera.type","Populus.grandidentata.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.Vitis","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sanguisorba.canadensis","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
0,0,48,0,0,2,1,34,19,0,9,0,0,0,1,1,0,322,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,3,0,0,4,2,0,0,0,14,0,2,2,0,0,0,0,0,1,2,0,0,0,1,0,0,48,28,4,6,11,0,21,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0
50,441,29,0,1,1,0,29,13,0,2,0,0,0,0,2,0,317,0,1,0,0,0,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,1,13,2,1,0,0,22,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,61,55,6,12,34,0,4,0,0,0,0,0,3,0,0,0,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,7,0,25,0,0,0,0,0
99,911,41,0,0,3,0,62,12,0,0,0,0,0,3,0,0,327,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,1,0,0,9,2,1,0,0,6,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,51,43,7,17,7,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,10,0,0,0,0,0
150,1833,18,0,1,7,0,39,7,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,13,0,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,37,38,8,32,86,1,4,0,0,0,0,0,2,1,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,3,0,24,4,0,0,0,0
200,2764,59,1,3,12,0,38,13,0,1,0,0,0,3,1,0,432,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,15,3,3,0,0,10,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,69,59,11,50,27,0,5,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,7,1,0,0,4,0,16,1,0,0,0,0
250,3937,52,1,0,8,0,54,5,1,0,0,0,0,1,1,0,561,0,1,0,1,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,16,5,1,2,0,12,0,0,2,0,2,0,0,0,2,2,0,0,0,1,0,0,75,34,9,67,26,0,7,0,0,0,0,0,2,0,0,0,0,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,3,0,0,0,5,0,16,0,0,0,0,0
300,5107,35,0,0,4,0,50,19,0,2,0,0,0,1,0,0,471,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,6,5,0,1,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,61,39,4,36,15,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,4,0,0,0,7,1,14,0,0,0,0,0
350,6251,33,1,0,6,1,26,13,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,51,11,13,68,22,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,19,0,0,0,2,0,17,0,0,0,1,0
375,6823,20,0,0,4,0,15,14,0,0,0,0,0,1,0,0,346,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,15,25,48,33,1,1,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,0,0,6,0,0,0,0,0,0,0
400,7461,36,1,2,4,0,8,25,0,1,0,0,0,2,1,0,775,0,0,0,3,0,0,1,0,0,5,9,0,0,0,0,0,0,0,0,0,4,0,0,4,12,2,1,0,15,0,0,0,0,1,0,0,0,3,3,0,0,0,1,0,0,59,48,17,143,36,0,6,0,0,0,0,0,4,0,0,1,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,2,0,0,19,0,0,0,9,0,17,1,0,0,0,0
