"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Nemopanthus","Picea","Taxus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Rosaceae.undiff.","Myrica","Pinus","Amaranthaceae","Poaceae","Ericales","Juniperus","cf..Myrica","Betula...20.µm.","Betula...20.µm..1","Asteraceae.subf..Cichorioideae","Juglans","Brassicaceae","Caryophyllaceae","Cornus","Caprifoliaceae","Corylus","Fagus","Quercus","Salix","Tsuga","Ranunculaceae.undiff.","Populus","Acer","Ulmus","Artemisia","Saxifragaceae","Rumex.type","Lamiaceae","Tilia","Primulaceae","Sanguisorba","Urticaceae"
0,-27,315,15,43,6,77,1,12,11,10,1,42,1,1,9,16,1,25,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,440,416,22,14,9,101,3,22,16,8,5,48,1,0,2,38,0,30,89,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,673,444,45,42,4,84,4,23,11,6,3,36,0,1,3,40,3,47,85,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,906,387,15,25,4,111,0,14,6,10,1,37,6,1,4,37,1,23,83,1,0,0,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1139,378,19,63,5,83,4,16,9,5,0,34,0,2,8,16,11,38,54,6,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
30,1373,610,43,51,6,134,1,37,18,9,2,60,5,2,6,38,1,56,123,10,0,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1606,421,14,72,4,78,0,15,16,10,6,33,6,0,12,21,7,35,70,8,1,0,0,2,0,1,2,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0
40,1839,623,31,85,2,129,3,11,21,17,4,49,10,0,19,44,3,55,120,11,0,0,0,0,1,2,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
45,2072,372,31,39,2,79,1,8,10,3,2,35,3,1,6,26,2,26,88,6,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,2306,408,23,52,5,72,3,10,12,7,1,41,6,0,9,20,1,49,89,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,2539,303,19,25,1,78,0,6,7,5,1,33,5,0,10,14,2,10,77,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,2772,485,21,50,4,111,1,5,14,10,1,52,1,1,8,29,5,50,109,2,0,0,3,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0
65,3005,298,27,23,2,79,0,2,7,4,4,27,10,0,8,19,0,19,58,4,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3145,207,25,35,0,41,1,4,2,5,1,9,7,0,2,4,4,11,45,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
70,3239,348,26,21,4,109,9,4,3,5,2,21,6,0,3,4,1,14,110,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
75,3419,211,16,14,0,47,0,5,3,3,0,5,4,1,0,6,0,4,94,5,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
85,3619,245,6,12,1,61,2,5,4,3,3,15,3,0,2,6,0,19,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3820,200,17,13,0,56,1,4,4,3,1,14,3,0,2,3,1,10,60,4,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,4020,301,21,5,3,66,10,15,10,3,3,25,6,0,2,4,1,22,100,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,4221,291,47,12,1,83,12,9,6,4,3,9,4,0,0,1,0,12,80,2,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
125,4422,249,20,4,0,43,11,12,8,1,7,16,0,0,0,1,0,15,102,2,0,0,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
