"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Acer","Myrica","Populus","Poaceae","Plantago","Amaranthaceae.undiff.","Galium","Rumex","Salix","Apiaceae","Fraxinus.nigra.type","Sarcobatus.vermiculatus","Tsuga","Cornus","Rosaceae.undiff.","Tilia","Juglans.cinerea","Iva.annua.type","Ilex","Castanea","Shepherdia.canadensis","Morus","Brassicaceae","Lamiaceae","Juglans.nigra","Thalictrum","Rhamnaceae","Iva.xanthifolia.type","Nyssa","Urtica.type","Celtis","Dryas.type","Dalea","Alnus.undiff."
1,18,0.0149532710280374,0.0504672897196262,0.0224299065420561,0.00560747663551402,0.00373831775700935,0.246728971962617,0.00186915887850467,0.00186915887850467,0.011214953271028,0.0392523364485981,0.011214953271028,0.00747663551401869,0.00186915887850467,0.00186915887850467,0.00934579439252336,0.00560747663551402,0.0672897196261682,0.317757009345794,0.0934579439252336,0.00186915887850467,0.0186915887850467,0.00373831775700935,0.011214953271028,0.00186915887850467,0.00373831775700935,0.00747663551401869,0.0149532710280374,0.0205607476635514,0.00186915887850467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,211,0.0040650406504065,0.0447154471544715,0.0203252032520325,0.008130081300813,0.0040650406504065,0.25609756097561,0,0.00203252032520325,0,0.0264227642276423,0.0101626016260163,0.008130081300813,0,0,0.0121951219512195,0,0.126016260162602,0.321138211382114,0.0894308943089431,0,0.0142276422764228,0.0040650406504065,0.00609756097560976,0,0.00203252032520325,0.00203252032520325,0.008130081300813,0.016260162601626,0.0040650406504065,0.00203252032520325,0.00203252032520325,0.00203252032520325,0.00203252032520325,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,360,0.00728597449908925,0.0491803278688525,0.0218579234972678,0.00546448087431694,0.00546448087431694,0.347905282331512,0,0.00182149362477231,0,0.00728597449908925,0.0182149362477231,0,0.00546448087431694,0,0.00728597449908925,0.00910746812386157,0.063752276867031,0.302367941712204,0.0455373406193078,0.00364298724954463,0.029143897996357,0,0.00364298724954463,0,0.00728597449908925,0.00728597449908925,0.0218579234972678,0.00546448087431694,0,0.00182149362477231,0,0,0.00364298724954463,0,0.00364298724954463,0.00182149362477231,0.0109289617486339,0.00182149362477231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,553,0.00963391136801541,0.0597302504816956,0.0211946050096339,0.00385356454720617,0.00963391136801541,0.233140655105973,0,0,0.00192678227360308,0.023121387283237,0.00578034682080925,0.00770712909441233,0.00385356454720617,0.00192678227360308,0.0192678227360308,0.00192678227360308,0.0558766859344894,0.329479768786127,0.109826589595376,0.00192678227360308,0.0327552986512524,0.00578034682080925,0.0115606936416185,0,0.00385356454720617,0.00770712909441233,0.00385356454720617,0.0134874759152216,0,0.00385356454720617,0,0,0.00385356454720617,0,0.00192678227360308,0.00192678227360308,0.00770712909441233,0,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,725,0.00181818181818182,0.0509090909090909,0.0345454545454545,0,0.00545454545454545,0.26,0,0.00181818181818182,0.00727272727272727,0.0363636363636364,0.0145454545454545,0.0290909090909091,0.00363636363636364,0.00363636363636364,0.00909090909090909,0.0109090909090909,0.0381818181818182,0.301818181818182,0.110909090909091,0,0.0236363636363636,0.00363636363636364,0.00545454545454545,0,0,0.0127272727272727,0.00181818181818182,0.0109090909090909,0,0.00181818181818182,0,0,0.00545454545454545,0,0.00909090909090909,0,0.00545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,919,0.0130434782608696,0.0391304347826087,0.0217391304347826,0,0.00217391304347826,0.23695652173913,0,0,0.00217391304347826,0.0304347826086957,0.00869565217391304,0,0.00217391304347826,0,0,0.00434782608695652,0.110869565217391,0.208695652173913,0.219565217391304,0,0.0239130434782609,0,0.00869565217391304,0,0.0108695652173913,0.00434782608695652,0.0108695652173913,0.0217391304347826,0,0,0,0,0,0,0,0,0.0152173913043478,0,0,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1157,0.012987012987013,0.0476190476190476,0.0108225108225108,0.0064935064935065,0.0108225108225108,0.244588744588745,0,0,0,0.038961038961039,0.012987012987013,0.00865800865800866,0.00216450216450216,0,0.0194805194805195,0,0.0757575757575758,0.242424242424242,0.19047619047619,0,0.025974025974026,0,0.0108225108225108,0,0.0064935064935065,0.00216450216450216,0.00432900432900433,0.0173160173160173,0.00216450216450216,0,0.00216450216450216,0,0,0,0.00216450216450216,0,0,0,0,0,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1287,0.00429184549356223,0.0343347639484979,0.01931330472103,0.00214592274678112,0.00429184549356223,0.225321888412017,0,0,0,0.036480686695279,0.00858369098712446,0,0.00643776824034335,0,0.00429184549356223,0.0107296137339056,0.0515021459227468,0.349785407725322,0.158798283261803,0.00429184549356223,0.0214592274678112,0,0.0107296137339056,0,0.00429184549356223,0.00429184549356223,0.00214592274678112,0.0107296137339056,0,0.00429184549356223,0,0,0.00429184549356223,0,0.00429184549356223,0,0.00643776824034335,0.00429184549356223,0,0,0.00214592274678112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1505,0.00616016427104723,0.0513347022587269,0.0308008213552361,0,0,0.287474332648871,0,0,0.00616016427104723,0.0636550308008214,0.0184804928131417,0,0.00616016427104723,0.00410677618069815,0.0123203285420945,0.0082135523613963,0.0718685831622177,0.213552361396304,0.131416837782341,0.00205338809034908,0.0205338809034908,0.0082135523613963,0.00410677618069815,0,0.0102669404517454,0.00616016427104723,0.0184804928131417,0.0102669404517454,0,0.00205338809034908,0,0,0,0,0.00616016427104723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1725,0.00327868852459016,0.0262295081967213,0.00327868852459016,0.00655737704918033,0.00655737704918033,0.340983606557377,0,0.00327868852459016,0,0.121311475409836,0,0,0,0.00327868852459016,0.00655737704918033,0,0.0131147540983607,0.278688524590164,0.111475409836066,0.0098360655737705,0.0131147540983607,0,0.0098360655737705,0,0.0131147540983607,0.00327868852459016,0.00327868852459016,0.0098360655737705,0,0,0,0,0.00327868852459016,0,0.00327868852459016,0.00327868852459016,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1946,0.0110294117647059,0.0441176470588235,0.0128676470588235,0.00551470588235294,0.00183823529411765,0.314338235294118,0,0.00183823529411765,0.00367647058823529,0.0661764705882353,0.00735294117647059,0.0147058823529412,0.00367647058823529,0.00367647058823529,0.0147058823529412,0,0.0404411764705882,0.216911764705882,0.174632352941176,0.00183823529411765,0.0110294117647059,0,0.0147058823529412,0,0.00367647058823529,0.00551470588235294,0.00183823529411765,0.0110294117647059,0,0,0,0,0,0,0.00367647058823529,0,0.00551470588235294,0,0,0,0.00183823529411765,0.00183823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2169,0.00300751879699248,0.0315789473684211,0.043609022556391,0.0075187969924812,0.00451127819548872,0.306766917293233,0,0.00150375939849624,0,0.069172932330827,0.0075187969924812,0.0180451127819549,0.00601503759398496,0.00451127819548872,0.0195488721804511,0.00300751879699248,0.0315789473684211,0.178947368421053,0.189473684210526,0,0.0240601503759399,0,0.0075187969924812,0,0.00150375939849624,0.00601503759398496,0.0105263157894737,0.00150375939849624,0,0.00300751879699248,0,0,0.00601503759398496,0,0.00601503759398496,0,0.00451127819548872,0,0,0,0.00150375939849624,0,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2394,0.0148514851485149,0.0478547854785479,0.0066006600660066,0.0033003300330033,0.0033003300330033,0.240924092409241,0,0.00165016501650165,0.0033003300330033,0.0313531353135314,0.0148514851485149,0.0132013201320132,0.0033003300330033,0.0066006600660066,0.0066006600660066,0.0033003300330033,0.0528052805280528,0.178217821782178,0.287128712871287,0.00165016501650165,0.0297029702970297,0.00495049504950495,0.00825082508250825,0,0.00165016501650165,0.00165016501650165,0.00825082508250825,0.00495049504950495,0,0,0,0,0.00165016501650165,0,0.0099009900990099,0,0.0066006600660066,0,0,0,0,0,0,0.00165016501650165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
