"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Kalmia","Larix","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Plantago.undiff.","Quercus","Rubiaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Carya.ovata","Corylus.cornuta","Diervilla.lonicera","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rhamnus.alnifolia.R..frangula","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Vaccinium.oxycoccos","Picea.undiff.","Ericaceae.undiff.","Vaccinium.undiff.","Ostrya.Carpinus","Plantago.major","Tilia","Amaranthaceae","Castanea.dentata","Pinus.resinosa.type","Caryophyllaceae","Ledum.Chamaedaphne.calyculata","Salix","Platanus.occidentalis","Pyrola","Sambucus","Vaccinium.macrocarpon.type","Viburnum.nudum","Acer.pensylvanicum","Fabaceae","Rhododendron.canadense","Arceuthobium.pusillum","Cephalanthus.occidentalis","Taxus","Elymus.type","Rumex.type","Brassicaceae","Viburnum.alnifolium","Saxifragaceae","Viburnum.edule","Thalictrum","Liliaceae","Moneses.uniflora","Myrica.gale"
0,0,0.00340715502555366,0.0170357751277683,0.00340715502555366,0.0187393526405451,0.00170357751277683,0.240204429301533,0.0289608177172061,0.233390119250426,0.0562180579216354,0.0119250425894378,0.00340715502555366,0.0238500851788756,0.00511073253833049,0.00681431005110733,0.00851788756388416,0.00170357751277683,0.0272572402044293,0.0613287904599659,0.00170357751277683,0.010221465076661,0.00170357751277683,0.00851788756388416,0.010221465076661,0.00170357751277683,0.0119250425894378,0.00681431005110733,0.00851788756388416,0.00170357751277683,0.00340715502555366,0.00170357751277683,0.00170357751277683,0.00170357751277683,0.071550255536627,0.00170357751277683,0.00340715502555366,0.0596252129471891,0.00511073253833049,0.020442930153322,0.010221465076661,0.00340715502555366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,315,0,0.0109090909090909,0,0.00727272727272727,0.00545454545454545,0.22,0.0109090909090909,0.145454545454545,0.06,0.0127272727272727,0.00181818181818182,0.00363636363636364,0.00545454545454545,0,0.0218181818181818,0,0.0381818181818182,0.0981818181818182,0,0.0381818181818182,0.00363636363636364,0.00727272727272727,0.00545454545454545,0,0.0145454545454545,0.00545454545454545,0.00545454545454545,0.00181818181818182,0.00181818181818182,0,0.00545454545454545,0.00363636363636364,0.136363636363636,0,0.00181818181818182,0.0963636363636364,0.0127272727272727,0,0.00181818181818182,0,0.00181818181818182,0.00181818181818182,0.00727272727272727,0.00181818181818182,0.00181818181818182,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,642,0.00148148148148148,0.00740740740740741,0,0,0,0.198518518518519,0.0133333333333333,0.133333333333333,0.0607407407407407,0.00888888888888889,0.00148148148148148,0.00296296296296296,0.00148148148148148,0.00444444444444444,0.0207407407407407,0,0.0459259259259259,0.12,0,0.0355555555555556,0,0.00148148148148148,0.0133333333333333,0,0.0103703703703704,0.0192592592592593,0.0177777777777778,0.00148148148148148,0,0,0.00148148148148148,0.00148148148148148,0.0933333333333333,0,0.00148148148148148,0.115555555555556,0.0118518518518519,0.0177777777777778,0.0148148148148148,0,0.00296296296296296,0,0.00296296296296296,0,0,0.00148148148148148,0.00148148148148148,0.00148148148148148,0.00888888888888889,0.00148148148148148,0.00148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,993,0.00675675675675676,0.00675675675675676,0,0,0,0.20777027027027,0.0253378378378378,0.116554054054054,0.0540540540540541,0.0135135135135135,0.00168918918918919,0,0,0.00168918918918919,0.0101351351351351,0,0.0320945945945946,0.109797297297297,0,0.0236486486486486,0,0.00337837837837838,0.0101351351351351,0,0.0168918918918919,0.00844594594594595,0.00337837837837838,0.00168918918918919,0.00168918918918919,0,0,0.00168918918918919,0.097972972972973,0,0,0.160472972972973,0.0320945945945946,0.00337837837837838,0.0219594594594595,0,0,0,0.00844594594594595,0.00506756756756757,0,0.00337837837837838,0,0,0.00337837837837838,0,0,0.00168918918918919,0.00168918918918919,0.00337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1387,0,0.0094876660341556,0,0.00379506641366224,0.00189753320683112,0.280834914611006,0.0094876660341556,0.0455407969639469,0.079696394686907,0.00569259962049336,0,0,0.00189753320683112,0,0.0246679316888046,0,0.0265654648956357,0.165085388994307,0,0.0227703984819734,0,0.00189753320683112,0.00379506641366224,0,0.00569259962049336,0.0132827324478178,0.0113851992409867,0.00569259962049336,0,0,0.00189753320683112,0.00189753320683112,0.108159392789374,0,0,0.119544592030361,0.00379506641366224,0.0132827324478178,0.00379506641366224,0.00379506641366224,0,0,0.0113851992409867,0,0,0,0,0.00189753320683112,0.00189753320683112,0,0.00189753320683112,0,0,0,0.00189753320683112,0.00379506641366224,0.00189753320683112,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1930,0.00108932461873638,0.00326797385620915,0.00108932461873638,0.00108932461873638,0,0.0751633986928105,0.0065359477124183,0.354030501089325,0.0152505446623094,0.0065359477124183,0,0.00108932461873638,0.00217864923747277,0.00217864923747277,0.0359477124183007,0,0.0065359477124183,0.183006535947712,0,0.0152505446623094,0.00108932461873638,0,0.00544662309368192,0,0.00326797385620915,0.0108932461873638,0.00108932461873638,0,0,0,0,0.00544662309368192,0.205882352941176,0,0,0.0457516339869281,0.00108932461873638,0.00326797385620915,0,0,0,0,0.00108932461873638,0,0,0,0,0,0.00435729847494553,0,0,0,0,0,0,0,0,0.00108932461873638,0,0,0,0,0,0,0,0,0,0,0,0
120,2602,0,0,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.0782997762863535,0.00894854586129754,0.0894854586129754,0.0268456375838926,0.0178970917225951,0.00223713646532438,0.00671140939597315,0.00223713646532438,0,0.12751677852349,0,0.0201342281879195,0.174496644295302,0,0.0223713646532438,0,0,0.00223713646532438,0,0.00671140939597315,0.00223713646532438,0.0156599552572707,0.00223713646532438,0,0,0,0.0223713646532438,0.308724832214765,0,0,0.0357941834451902,0.00447427293064877,0.00223713646532438,0.00223713646532438,0,0,0,0.00894854586129754,0,0,0,0,0,0.00223713646532438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3318,0,0.00705218617771509,0,0,0,0.0578279266572638,0,0.0225669957686883,0,0.00564174894217207,0.00141043723554302,0.00141043723554302,0.00423131170662906,0,0.132581100141044,0,0.00987306064880113,0.272214386459803,0,0.00705218617771509,0,0,0.00141043723554302,0,0.00282087447108604,0,0.00705218617771509,0.00141043723554302,0,0,0,0.00423131170662906,0.441466854724965,0,0,0.00846262341325811,0.00141043723554302,0.00282087447108604,0,0,0,0,0.00282087447108604,0,0,0.00282087447108604,0,0,0,0,0,0,0,0,0,0.00141043723554302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3990,0,0.00654664484451719,0,0,0,0.126022913256956,0.0016366612111293,0.0654664484451719,0.00654664484451719,0.00490998363338789,0.0016366612111293,0.00490998363338789,0.0016366612111293,0.0016366612111293,0.0834697217675941,0,0.0114566284779051,0.178396072013093,0,0.0130932896890344,0.0016366612111293,0,0.0147299509001637,0,0.00981996726677578,0.00327332242225859,0.00490998363338789,0,0,0,0,0.0229132569558101,0.391162029459902,0.00327332242225859,0,0.0245499181669394,0.0016366612111293,0.00327332242225859,0.00490998363338789,0,0.0016366612111293,0,0.00327332242225859,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4536,0,0.00184162062615101,0,0,0.00184162062615101,0.10865561694291,0,0.0423572744014733,0.00552486187845304,0.00552486187845304,0,0.00368324125230203,0,0,0.114180478821363,0,0.0110497237569061,0.244935543278085,0,0.0239410681399632,0,0,0.00552486187845304,0,0.00920810313075507,0,0.0202578268876611,0.00184162062615101,0,0,0,0.0220994475138122,0.355432780847145,0,0,0.00920810313075507,0,0.00552486187845304,0,0,0,0,0.00368324125230203,0,0,0,0,0,0.00184162062615101,0,0,0,0,0,0,0.00184162062615101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
