"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ostrya.Carpinus","Picea","Quercus","Salix","Thalictrum","Trees.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Urtica.type","Alnus","Rosaceae.undiff.","Myrica","Pinus","Populus","Poaceae","Ranunculaceae.undiff.","Amaranthaceae","Caryophyllaceae","Oxyria.digyna","Saxifraga.type","Abies","Fraxinus.undiff.","Shepherdia.canadensis","Epilobium","Polygonaceae.undiff.","Potentilla.type","Polygonum","Castanea"
448,NA,0.00383141762452107,0.0153256704980843,0.14176245210728,0.00766283524904215,0.0268199233716475,0.130268199233716,0.0229885057471264,0.00383141762452107,0.00766283524904215,0.0229885057471264,0.0613026819923372,0.0153256704980843,0.0613026819923372,0.00383141762452107,0.0191570881226054,0.00383141762452107,0.00766283524904215,0.00383141762452107,0.00766283524904215,0.0268199233716475,0.0996168582375479,0.00383141762452107,0.0383141762452107,0.229885057471264,0.0153256704980843,0.0191570881226054,0,0,0,0,0,0,0,0,0,0,0,0,0
454,NA,0,0.0115830115830116,0.177606177606178,0,0.0231660231660232,0.142857142857143,0.0231660231660232,0.00386100386100386,0,0.0231660231660232,0.0193050193050193,0.0193050193050193,0.0733590733590734,0.00772200772200772,0.0115830115830116,0,0.0115830115830116,0.00772200772200772,0.0501930501930502,0.0154440154440154,0.0888030888030888,0.00386100386100386,0.0308880308880309,0.227799227799228,0.00386100386100386,0.0115830115830116,0.00772200772200772,0.00386100386100386,0,0,0,0,0,0,0,0,0,0,0
459.5,12832,0,0.0427046263345196,0.0320284697508897,0.00711743772241993,0.0320284697508897,0.185053380782918,0.0427046263345196,0,0.00355871886120996,0.0355871886120996,0.0462633451957295,0.0142348754448399,0.0640569395017794,0.00711743772241993,0.00355871886120996,0,0.00711743772241993,0,0,0.0177935943060498,0.138790035587189,0.00355871886120996,0,0.199288256227758,0.0142348754448399,0.0177935943060498,0,0.00355871886120996,0.00711743772241993,0.0676156583629893,0.00711743772241993,0,0,0,0,0,0,0,0
461.5,12955,0.00303030303030303,0.0242424242424242,0.0212121212121212,0.00606060606060606,0.0151515151515152,0.248484848484848,0.127272727272727,0.00303030303030303,0,0.0212121212121212,0.0454545454545455,0.00303030303030303,0.121212121212121,0.00303030303030303,0.0121212121212121,0,0,0.00303030303030303,0,0.0242424242424242,0.0787878787878788,0,0,0.160606060606061,0.00606060606060606,0.0151515151515152,0,0.0121212121212121,0.00303030303030303,0.0424242424242424,0,0,0,0,0,0,0,0,0
466,13267,0.00898203592814371,0.0179640718562874,0.0778443113772455,0.0029940119760479,0.029940119760479,0.332335329341317,0.149700598802395,0,0,0.0239520958083832,0.0419161676646707,0.0149700598802395,0.11377245508982,0,0.0119760479041916,0,0.00898203592814371,0.0029940119760479,0,0.0029940119760479,0.0149700598802395,0,0.00898203592814371,0.0988023952095808,0.0029940119760479,0.0179640718562874,0,0.0029940119760479,0,0,0,0.0029940119760479,0.00598802395209581,0.0029940119760479,0,0,0,0,0
473,13934,0.00309597523219814,0.0123839009287926,0.0247678018575851,0.00309597523219814,0.0247678018575851,0.340557275541796,0.0990712074303406,0.00309597523219814,0,0.0154798761609907,0.0247678018575851,0.0123839009287926,0.179566563467492,0,0.00309597523219814,0,0.00619195046439629,0,0.00309597523219814,0.0278637770897833,0.0123839009287926,0,0.021671826625387,0.142414860681115,0.00619195046439629,0.0154798761609907,0,0.00309597523219814,0,0.00309597523219814,0,0,0,0,0.00309597523219814,0.00309597523219814,0.00309597523219814,0.00309597523219814,0
480,14601,0,0.03003003003003,0.0540540540540541,0,0.042042042042042,0.321321321321321,0.072072072072072,0,0,0.018018018018018,0.027027027027027,0.012012012012012,0.0930930930930931,0,0.003003003003003,0,0.009009009009009,0.003003003003003,0,0.027027027027027,0.009009009009009,0.003003003003003,0.0540540540540541,0.165165165165165,0.027027027027027,0.018018018018018,0.003003003003003,0,0.003003003003003,0,0,0,0,0.003003003003003,0,0.003003003003003,0,0,0
490,15553,0.00282485875706215,0.019774011299435,0.0480225988700565,0.00282485875706215,0.0254237288135593,0.34180790960452,0.0903954802259887,0,0,0.0254237288135593,0.0169491525423729,0.00847457627118644,0.144067796610169,0.00564971751412429,0.00564971751412429,0,0.00847457627118644,0.00564971751412429,0.00282485875706215,0.0141242937853107,0.0112994350282486,0,0.0338983050847458,0.135593220338983,0.00847457627118644,0.0310734463276836,0,0,0,0.00564971751412429,0.00282485875706215,0,0,0.00282485875706215,0,0,0,0,0
500,NA,0.0158730158730159,0.0674603174603175,0.0238095238095238,0,0,0.126984126984127,0.00396825396825397,0.0119047619047619,0.00793650793650794,0.00396825396825397,0.0476190476190476,0.0238095238095238,0.198412698412698,0.00396825396825397,0.0317460317460317,0,0.0158730158730159,0.0119047619047619,0,0.0158730158730159,0.0198412698412698,0,0.00396825396825397,0.293650793650794,0,0.0515873015873016,0,0.00396825396825397,0,0,0,0,0,0,0.00793650793650794,0,0,0,0.00793650793650794
