"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Ilex","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tilia","Tsuga","Ulmus","Alnus","Acer","Fabaceae","Rosaceae.undiff.","Fraxinus","Populus","Poaceae","Abies","Pinus.subg..Pinus","Platanus","Juglans","Caryophyllaceae","Corylus","Ericaceae","Urtica.type","Taxus","Asteraceae.subf..Asteroideae.undiff.","Shepherdia","Castanea","Cupressaceae","Larix","Rhamnaceae","Thalictrum","Myrica","Lamiaceae","Salix","Nemopanthus","Asteraceae.subf..Cichorioideae","Sarcobatus.vermiculatus","Liquidambar","Apiaceae","Onagraceae","Galium","Ranunculaceae.undiff.","Dryas.type","Potentilla.type"
10,47,276,50,2,28,6,3,2,30,1,10,2,4,14,28,2,2,20,23,2,15,1,1,5,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,148,200,6,3,24,1,0,1,34,0,9,1,2,7,23,1,1,26,21,1,24,0,1,4,0,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,309,665,6,0,70,9,0,1,122,3,35,3,9,32,91,1,5,104,63,8,51,0,5,24,3,4,1,0,3,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,504,243,2,1,22,4,0,1,47,0,18,2,5,5,37,0,1,28,22,4,23,0,3,11,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,730,212,0,2,19,1,0,0,62,1,10,1,1,4,23,1,3,21,17,3,22,0,1,11,2,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,984,241,1,2,32,5,0,1,70,1,11,1,1,8,30,0,2,19,28,2,18,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1260,225,1,2,23,11,1,0,66,0,8,1,0,3,23,1,0,25,28,3,9,0,0,13,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1557,576,1,4,62,12,0,0,151,1,32,1,2,14,71,0,6,50,54,5,56,0,2,33,1,2,0,2,5,2,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
165,1870,308,1,0,32,7,1,0,80,0,16,0,4,10,31,0,4,16,35,2,43,0,0,14,3,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,2196,399,2,1,41,9,0,1,97,0,15,1,12,14,55,0,5,26,46,0,35,0,1,23,1,0,0,3,4,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
