"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.undiff.","Alnus.incana.type","Betula","Bidens.type","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Ilex","Juglans.nigra","Juglans.undiff.","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Plantago.lanceolata","Platanus","Quercus","Rubus","Salix","Sambucus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Ambrosia","Populus","Brassicaceae","Urtica","Acer.saccharum","Chenopodium.type","Celtis.Maclura.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.pennsylvanica.F..americana.type","Liquidambar.styraciflua","Mitella","Castanea","Lonicera","Nyssa","Rumex","Xanthium","Myrica.type","Cephalanthus.occidentalis","Prunus","Rhamnus","Zanthoxylum.americanum","Catalpa.speciosa","Diodia","Artemisia","Tsuga","Zea.mays","Viburnum","Dodecatheon","Solanaceae","Iva","Trifolium","Liriodendron.tulipifera","Hypericum","Onagraceae","Lamiaceae","Cornus.florida","Acer.rubrum","Magnolia","Morus","Polygonum.hydropiper.type","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Robinia","Hypoxis.hirsuta","Juglans.cinerea","Celastraceae","Galium","Toxicodendron.radicans","Malvaceae","Tilia"
10,-23,521,1,1,3,4,1,13,2,1,4,11,1,1,3,75,1,4,2,5,29,34,3,6,2,129,3,28,2,2,4,15,2,2,68,1,3,2,2,3,4,20,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-15,525,1,1,4,4,4,17,4,1,2,13,0,1,6,27,0,5,5,7,30,32,3,2,0,109,2,41,3,0,8,10,0,3,108,0,1,0,0,2,2,17,17,7,0,3,1,1,1,3,2,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-7,615,0,1,4,5,1,10,2,1,4,15,0,0,2,17,0,4,5,2,27,41,6,4,1,123,1,38,3,0,3,1,1,2,237,1,0,0,0,1,0,19,16,1,0,2,0,2,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,697,1,0,3,3,4,9,2,1,4,16,1,4,0,32,1,9,5,4,36,58,3,3,0,123,1,27,1,0,18,4,0,1,236,0,3,2,0,2,0,7,6,1,0,44,0,1,3,4,0,7,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,966,0,0,1,2,10,1,0,0,4,22,0,0,6,20,0,1,1,1,26,54,1,0,2,136,14,12,0,0,16,4,0,1,569,0,1,0,0,2,0,10,4,1,0,22,0,0,0,10,0,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,25,579,0,0,1,8,3,1,0,1,7,7,0,0,5,26,0,4,5,3,29,43,1,3,0,128,3,23,2,0,8,1,0,2,208,0,3,1,0,1,0,8,9,2,0,18,0,1,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
90,41,748,0,1,3,6,13,7,0,0,2,14,0,0,1,19,0,2,0,0,31,82,0,2,0,137,5,16,1,0,45,4,1,1,321,0,0,0,1,2,0,3,6,1,0,10,0,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,57,762,0,0,1,1,17,8,0,1,4,44,0,1,1,27,0,0,1,0,25,79,0,0,1,139,2,18,0,1,36,1,0,3,303,0,0,1,0,1,1,8,3,2,0,18,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
130,73,648,0,0,0,1,10,4,0,0,3,27,1,1,3,13,0,0,1,1,37,67,0,0,0,101,2,74,0,0,21,2,0,1,254,0,2,0,1,0,0,4,2,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,88,1184,0,0,0,0,7,5,0,1,0,15,0,0,2,21,0,0,1,0,22,39,0,0,0,74,0,191,2,0,41,2,0,2,723,0,3,0,0,0,0,3,2,2,1,10,0,0,0,4,0,1,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
160,96,677,1,0,2,1,9,8,1,0,0,11,1,1,1,18,1,0,1,0,25,65,0,1,0,73,1,107,1,0,15,3,1,1,290,0,4,0,0,2,0,5,4,4,0,7,0,0,0,2,0,0,1,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,104,455,0,1,1,1,1,6,1,1,3,17,0,4,1,10,0,1,0,1,12,40,0,0,1,53,0,129,4,0,0,11,0,1,112,0,0,0,0,0,1,5,12,13,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,112,403,0,1,1,2,0,4,0,0,3,20,0,1,5,5,1,0,0,0,18,49,0,0,0,71,0,99,7,0,5,2,0,1,61,1,0,0,0,1,2,6,16,2,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,116,373,0,0,1,1,1,5,1,0,2,25,0,2,9,12,0,0,0,0,16,96,0,0,0,111,0,7,0,0,5,4,1,0,23,0,0,0,0,0,1,6,19,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,120,514,0,1,3,7,3,7,0,1,7,23,0,2,10,19,0,0,0,0,16,73,0,2,0,84,0,58,2,0,9,2,0,0,144,0,0,2,0,1,0,8,11,2,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
