"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Alnus","Myrica","Poaceae","Acer.rubrum","Fraxinus.nigra.type","Salix","Amaranthaceae","Ilex","Tilia","Ulmus","Artemisia","Cannabaceae","Fraxinus.pennsylvanica.type","Nyssa","Cornus","Platanus","Asteraceae.undiff.","Pinus.subg..Pinus","Castanea","Juglans.cinerea","Rosaceae","Thalictrum","Juglans.nigra","Nemopanthus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Sambucus","Liliaceae","Liquidambar","Lamiaceae","Polygonaceae.undiff.","Arceuthobium","Vitis","Epilobium"
780,10133,411,9,3,0,43,0,2,1,0,0,5,2,114,115,39,0,40,5,3,0,0,3,1,1,1,0,5,0,0,3,0,0,2,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,10500,294,7,2,1,17,0,0,3,0,0,6,0,108,83,37,0,5,5,1,0,0,2,0,0,0,1,2,0,0,3,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,10683,195,0,5,1,5,0,0,0,0,1,6,1,38,82,35,0,2,0,3,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,10867,903,7,12,2,37,2,3,4,3,2,20,11,287,289,76,0,16,14,13,2,2,9,0,2,1,0,6,1,0,5,0,0,2,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,11050,227,0,0,0,23,0,0,1,2,0,3,0,20,93,34,0,1,4,1,4,0,3,0,0,0,0,5,5,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
840,11115,197,5,0,0,13,1,0,3,0,1,2,7,64,50,15,0,2,3,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,11244,583,14,4,3,39,0,2,1,0,1,8,26,148,173,59,0,4,8,5,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,11373,192,5,1,0,15,0,0,5,0,1,6,12,45,39,15,0,6,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,11503,568,23,3,3,55,1,3,1,0,2,12,32,103,175,36,0,10,7,7,1,1,4,1,1,0,0,9,0,0,1,0,0,1,2,72,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
920,11632,204,10,2,0,23,0,0,2,0,0,4,12,35,47,15,0,3,3,4,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,11762,171,9,0,0,18,0,0,3,0,2,5,14,24,43,12,0,2,6,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,11891,443,24,5,0,39,0,3,5,0,1,5,97,39,94,31,0,4,12,31,6,0,1,5,0,0,0,8,0,0,2,0,0,0,4,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980,12020,167,3,0,2,21,0,1,7,0,0,2,74,5,20,2,0,0,6,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1000,12150,385,12,0,1,20,0,0,13,0,0,0,215,7,38,13,0,0,5,0,8,0,1,1,1,0,0,1,2,0,1,0,1,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,12214,145,0,2,0,6,0,0,0,1,0,9,39,2,40,9,0,0,3,0,6,0,3,0,0,0,0,3,1,0,2,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,NA,179,8,0,0,15,0,5,10,1,2,4,54,5,18,11,0,2,0,1,3,0,5,2,1,0,0,1,6,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
