"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Pinus","Amaranthaceae","Poaceae","Cupressaceae","Abies","Iva.annua","Shepherdia.canadensis","Juglans.cinerea","Fraxinus.nigra","Myrica","Populus","Tilia","Ulmus","Iva.xanthifolia","Apiaceae","Thalictrum","Quercus","Onagraceae"
1,-2,324,3,66,55,1,1,118,2,1,66,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,112,339,2,64,53,4,1,136,3,0,58,1,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,253,330,1,76,50,2,2,133,1,7,37,1,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,395,323,0,52,48,1,1,137,3,2,60,0,8,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,536,324,0,63,50,3,0,141,0,0,51,1,6,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,678,323,1,61,35,2,0,149,2,0,49,0,11,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,819,334,1,66,34,1,0,147,4,2,61,0,13,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,961,363,1,72,41,2,0,185,2,1,40,1,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,1102,327,1,65,30,4,1,157,1,1,51,1,11,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,1244,373,2,88,42,2,4,174,1,1,42,2,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1385,320,0,54,39,2,1,150,3,0,45,0,14,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
55,1527,304,1,65,43,1,0,135,1,0,40,1,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1668,329,0,58,35,1,0,161,1,1,53,0,9,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1810,310,1,70,36,0,2,144,0,0,40,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1951,340,0,81,17,0,0,160,4,0,66,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2093,319,1,69,25,2,1,149,0,0,55,1,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2234,359,1,77,26,1,1,174,0,0,66,0,7,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
85,2376,321,1,79,34,1,0,137,1,1,59,0,4,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
90,2517,368,4,79,26,3,1,188,3,1,52,0,5,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
95,2659,334,0,62,15,2,1,160,0,0,81,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2800,359,2,69,24,0,0,170,0,1,79,0,10,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,2942,304,1,80,20,1,1,137,1,0,53,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110,3083,324,0,62,23,2,1,153,2,2,68,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,3225,329,2,79,27,1,1,141,1,1,61,0,11,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,3421,337,1,66,12,0,1,166,0,0,78,1,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3618,348,1,62,23,0,1,150,2,0,100,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3814,338,2,76,9,1,0,148,0,0,95,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4010,314,0,77,5,1,1,134,1,0,87,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4207,363,6,70,9,1,2,152,0,0,111,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4403,334,0,83,5,0,1,147,1,0,87,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,4600,339,0,80,9,0,2,133,2,1,103,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,4796,330,2,87,11,1,1,131,2,0,87,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,4992,352,1,102,5,2,2,115,3,0,118,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5189,352,0,117,10,1,2,95,1,1,111,1,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
170,5385,319,1,104,8,0,6,73,0,0,119,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5581,327,2,118,16,2,1,58,3,1,121,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,NA,369,0,111,16,0,1,22,4,0,203,0,5,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
185,NA,348,0,97,23,1,0,18,3,0,193,0,4,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,NA,335,2,88,129,2,0,14,5,1,63,1,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
195,NA,329,4,63,50,2,0,14,25,2,75,2,40,0,44,0,1,0,0,0,1,0,0,0,2,0,0,0,3,1
