"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Heteranthera","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum.persicaria","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1,-25,1,0,15,2,1,16,0,2,0,27,0,1,0,0,1,0,1,0,1,18,3,0,0,4,0,2,1,4,0,0,0,1,0,0,9,3,29,1,0,10,0,0,0,0,24,0,1,2,0,0,9,0,2,9,0,27,1,0,0
10,21,2,0,21,4,1,11,0,1,1,36,0,2,0,0,0,5,0,0,1,20,3,0,0,2,0,0,0,0,0,0,0,0,0,0,11,6,18,0,0,6,0,0,0,0,25,0,0,0,0,0,1,0,0,14,0,27,1,1,0
20,73,2,0,13,3,1,14,0,1,0,33,0,0,0,0,3,1,0,0,4,30,4,4,0,7,0,0,0,0,1,1,2,1,0,0,6,2,19,0,0,6,0,0,0,2,19,0,2,0,0,0,3,0,2,14,0,27,1,0,0
30,124,3,0,19,5,1,13,0,3,0,26,0,1,0,0,0,1,0,0,6,17,3,4,0,3,0,2,0,1,0,0,0,1,0,0,6,5,18,0,0,2,0,0,0,0,24,0,3,0,0,0,2,0,0,25,0,30,0,0,0
40,370,0,0,18,2,0,0,0,1,1,24,0,4,0,0,0,0,1,0,0,31,2,3,0,1,0,0,0,2,0,0,0,1,0,0,9,1,30,0,0,1,0,0,0,0,15,0,0,0,0,0,6,0,2,29,0,30,1,0,0
50,810,2,0,23,1,0,0,0,0,0,35,0,3,0,0,0,1,0,0,4,31,3,5,0,2,0,0,0,0,0,0,0,3,0,0,8,5,19,0,0,0,0,0,0,0,20,0,0,1,0,0,3,0,1,24,0,26,0,0,0
60,1251,2,0,19,4,0,0,0,0,0,28,0,4,0,0,0,1,0,0,2,35,4,1,0,2,0,1,0,2,0,0,0,0,0,0,5,4,29,0,0,0,0,0,0,1,16,0,0,0,0,0,6,0,1,21,0,33,0,0,1
70,1691,2,0,9,0,0,1,1,0,0,32,0,2,0,0,0,0,1,0,3,30,4,3,0,5,0,1,0,1,0,0,0,2,0,0,7,5,26,0,0,2,0,0,0,1,28,0,0,0,0,0,5,0,0,16,0,36,1,0,0
80,2131,0,0,23,1,0,0,0,0,0,28,0,2,0,0,0,1,0,0,3,38,0,6,0,1,0,0,0,0,0,0,0,1,0,0,5,6,25,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,1,17,0,34,0,0,0
90,2572,2,0,18,2,0,1,0,0,0,24,0,2,0,0,0,0,1,0,2,34,1,4,0,5,0,0,0,0,0,0,0,0,0,0,5,4,24,0,2,1,0,0,0,0,14,0,0,0,0,0,8,0,6,19,0,42,1,0,0
