"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Ulmus","Pinus","Populus","Fraxinus.undiff.","Salix","Alnus","Poaceae","Acer.saccharum","Fraxinus.nigra","Artemisia","Platanus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.americana.type","Asteraceae.subf..Cichorioideae","Thalictrum","Apiaceae","Ambrosia","Sanguisorba","Urtica","Amaranthaceae.undiff.","Cupressaceae","Shepherdia.canadensis","Arceuthobium","Carya","Caryophyllaceae","Rosaceae.undiff.","Dryas","Celtis","Sarcobatus.vermiculatus","Iva.annua"
102,10235,0.06,0.085,0.025,0.005,0.005,0.015,0.01,0.055,0.05,0.02,0.015,0.65,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10566,0.0298507462686567,0.0895522388059701,0.0199004975124378,0,0,0.0099502487562189,0.0149253731343284,0.0199004975124378,0.0945273631840796,0.0298507462686567,0.0099502487562189,0.63681592039801,0,0.00497512437810945,0.00497512437810945,0.0099502487562189,0.0149253731343284,0.00497512437810945,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,10830,0.0637254901960784,0.0735294117647059,0.0245098039215686,0,0,0.0392156862745098,0.00490196078431373,0.0637254901960784,0.0490196078431373,0.0196078431372549,0.00490196078431373,0.607843137254902,0,0.0147058823529412,0,0.00490196078431373,0,0,0.00490196078431373,0.00490196078431373,0.00490196078431373,0.00490196078431373,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,10953,0.0099009900990099,0.099009900990099,0.0247524752475248,0,0,0.0297029702970297,0,0.262376237623762,0.0445544554455446,0.00495049504950495,0.0297029702970297,0.425742574257426,0,0.0099009900990099,0.00495049504950495,0.0148514851485149,0,0,0.0099009900990099,0.00495049504950495,0,0.0099009900990099,0,0.00495049504950495,0.00495049504950495,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,11362,0.015,0.055,0.025,0,0,0.035,0.005,0.375,0.04,0.005,0.005,0.375,0,0,0.005,0.02,0.01,0,0,0.005,0,0.015,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
150,12056,0.0148514851485149,0.108910891089109,0.0544554455445545,0.00495049504950495,0,0.00495049504950495,0,0.331683168316832,0.0148514851485149,0.00495049504950495,0.0297029702970297,0.346534653465347,0,0.00495049504950495,0.0099009900990099,0.00495049504950495,0.0297029702970297,0,0.00495049504950495,0,0,0.0148514851485149,0,0.00495049504950495,0,0,0,0.00495049504950495,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0
160,12750,0.045,0.09,0.06,0,0,0.005,0.005,0.29,0.04,0.035,0.015,0.365,0,0,0,0.005,0.03,0,0,0.005,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,13204,0.01,0.04,0.06,0.005,0,0.015,0,0.32,0.01,0,0.01,0.4,0,0,0.005,0.015,0.03,0.005,0,0.01,0.03,0.02,0,0,0,0.01,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
180,13388,0.00492610837438424,0.0197044334975369,0.0640394088669951,0.00492610837438424,0,0,0,0.507389162561576,0.0394088669950739,0.0344827586206897,0,0.246305418719212,0.00492610837438424,0.0147783251231527,0,0,0.0295566502463054,0,0.00985221674876847,0.00492610837438424,0,0,0.00492610837438424,0,0.00492610837438424,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0
190,13572,0.00497512437810945,0.0298507462686567,0.0696517412935323,0.00497512437810945,0,0.00497512437810945,0.0149253731343284,0.437810945273632,0.0447761194029851,0.0099502487562189,0.0149253731343284,0.258706467661692,0,0.00497512437810945,0,0,0.0447761194029851,0.00497512437810945,0.00497512437810945,0.0149253731343284,0,0.0199004975124378,0,0,0,0,0.00497512437810945,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0
200,13755,0.0147783251231527,0.0246305418719212,0.137931034482759,0,0.00492610837438424,0,0.0344827586206897,0.403940886699507,0.0640394088669951,0.00985221674876847,0,0.147783251231527,0,0.0147783251231527,0,0.0197044334975369,0.0640394088669951,0,0.0147783251231527,0.0246305418719212,0,0.00492610837438424,0,0,0.00492610837438424,0.00492610837438424,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0
210,13838,0,0.0346534653465347,0.0792079207920792,0.00495049504950495,0,0,0.0594059405940594,0.346534653465347,0.0594059405940594,0,0.0396039603960396,0.217821782178218,0.00495049504950495,0.0099009900990099,0.0099009900990099,0.0148514851485149,0.0396039603960396,0.0247524752475248,0.0099009900990099,0.0247524752475248,0,0.0148514851485149,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0
