"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Cornus.canadensis","Cornus.sericea.type","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Cyperaceae","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Equisetum","Lycopodium","Matteuccia.struthiopteris","Osmunda","Polypodiaceae","Pteridium","Sphagnum","Nymphaea","Sparganium","Typha","Indeterminable"
0,-43,8,2,52,102,2,0,0,0,9,0,68,1,1,7,1,1,1,34,1,44,0,6,0,0,0,16,0,8,0,0,2,1,0,0,2,14,1,0,0,1,0,2,0,3,2,0,51,0,0,0,10
0.5,-26,20,3,95,74,0,0,0,0,4,0,95,1,4,12,1,2,0,47,1,48,0,2,1,0,0,7,0,7,0,0,9,0,0,0,2,11,0,0,0,2,0,1,0,2,3,2,43,0,1,0,6
1,-9,15,1,48,60,0,0,0,0,15,0,90,1,9,10,1,1,0,34,0,12,0,5,2,0,0,3,1,17,0,0,5,0,0,0,1,11,0,0,0,1,0,0,0,0,4,2,27,0,0,1,10
1.5,8,2,1,89,73,0,0,0,0,4,0,84,4,1,4,0,2,0,65,0,20,0,1,1,0,0,12,0,21,1,0,3,0,1,0,5,6,0,0,0,2,0,0,0,0,4,2,36,0,0,0,9
2,25,24,2,80,80,1,0,0,0,4,0,101,0,0,0,1,1,3,56,0,20,0,2,0,0,0,4,0,11,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,2,3,2,60,0,0,0,11
2.5,42,14,1,115,113,0,0,0,0,4,0,86,0,0,1,0,1,0,38,0,14,0,13,0,0,0,4,0,18,0,0,7,0,0,0,5,5,0,0,0,0,0,8,0,1,5,5,73,0,0,0,11
3,59,14,1,49,80,0,0,0,0,2,0,54,4,1,1,0,0,0,86,0,34,1,1,2,0,1,17,0,8,1,0,4,0,0,0,12,7,0,1,0,0,0,0,0,2,3,3,92,0,0,1,3
3.5,75,24,2,32,64,0,0,1,0,1,0,48,2,2,0,1,0,0,74,0,33,0,1,1,0,0,24,0,8,0,0,0,0,0,0,5,19,0,0,0,0,0,3,0,1,2,2,128,0,0,1,8
4,92,20,2,58,84,0,0,0,0,9,0,59,1,2,0,1,1,1,70,2,31,0,2,0,0,1,7,0,12,0,0,7,0,1,0,4,1,0,0,0,0,0,2,0,2,5,5,148,2,0,0,7
4.5,109,16,0,56,85,0,0,0,0,3,0,58,1,0,2,0,1,0,62,0,34,0,9,0,0,0,11,0,12,0,0,2,0,0,0,1,12,0,0,0,1,0,4,0,0,2,2,80,0,0,0,4
