"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Juglans.cinerea","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Fraxinus","Populus","Amaranthaceae","Poaceae","Brassicaceae","Plantago","Rosaceae","Abies.balsamea","Acer.saccharum","Campanula.type","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Ericaceae.undiff.","Ostrya.Carpinus","Tilia","Acer.saccharinum","Galium","Ilex.Nemopanthus","Andromeda.glaucophylla","Rubiaceae.undiff.","Picea.undiff.","Picea.glauca.type","Acer.pensylvanicum","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Fabaceae","Gentiana","Ranunculaceae.undiff."
2,47,610,2,15,1,51,3,64,121,5,2,1,3,32,41,10,1,69,23,5,7,3,5,55,1,3,2,1,6,2,4,1,26,27,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,165,506,2,5,0,149,1,30,213,0,7,2,0,12,2,1,0,3,14,0,1,4,5,10,0,0,1,1,4,2,0,2,5,20,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,283,361,0,2,0,78,2,22,132,2,1,2,0,30,4,6,0,4,6,0,0,0,2,8,0,0,4,2,6,0,0,0,0,34,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17,402,173,1,2,0,16,1,8,25,3,0,2,1,23,3,3,0,1,3,0,2,0,4,3,0,0,0,3,5,0,0,0,0,37,10,0,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,520,644,2,1,2,3,1,25,16,8,2,2,1,171,8,0,0,0,11,0,5,0,0,1,0,0,0,8,18,0,0,2,0,240,38,0,73,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
27,638,391,0,1,0,2,1,20,13,8,1,2,0,124,12,3,0,0,11,0,5,0,1,2,0,0,0,0,19,0,0,1,0,54,27,0,72,0,2,5,2,0,0,3,0,0,0,0,0,0,0,0,0
32,756,388,3,1,0,2,0,27,17,16,0,1,0,55,22,1,0,1,6,0,4,0,1,2,0,0,1,5,27,0,0,2,0,49,12,0,48,0,0,8,4,0,0,73,0,0,0,0,0,0,0,0,0
37,874,379,2,1,1,1,1,26,93,7,3,5,0,52,14,4,0,0,9,1,5,1,1,5,0,0,0,6,13,0,0,6,0,38,14,0,59,0,1,0,7,0,2,0,1,0,0,0,0,0,0,0,0
42,992,274,1,2,0,0,0,38,20,16,2,0,0,23,4,9,0,1,7,0,1,0,0,1,0,0,4,2,8,0,0,1,0,17,4,0,85,0,1,0,24,0,0,0,0,3,0,0,0,0,0,0,0
47,1110,494,0,3,0,7,1,57,22,35,1,0,0,75,25,7,0,2,12,0,1,0,0,1,0,0,2,0,12,0,1,0,0,64,10,0,121,4,0,5,23,0,0,0,0,2,1,0,0,0,0,0,0
52,1228,513,0,3,0,2,0,47,35,37,0,0,1,64,37,10,0,0,11,0,9,0,0,3,0,0,2,1,29,0,0,0,0,37,8,4,146,2,0,3,5,0,0,0,0,17,0,0,0,0,0,0,0
57,1346,485,2,2,0,0,0,27,29,40,0,1,0,65,31,6,0,1,14,0,7,0,0,0,0,0,0,0,55,0,1,0,0,40,3,0,132,1,1,4,0,0,0,0,0,22,0,1,0,0,0,0,0
62,1465,685,0,5,0,1,0,40,58,93,1,2,0,85,55,3,0,1,45,0,22,0,3,4,0,0,5,0,51,0,1,0,0,57,3,3,121,4,0,5,0,0,0,0,0,9,0,0,2,6,0,0,0
67,1583,627,2,6,0,0,4,59,67,55,4,0,1,80,36,3,0,0,29,0,17,0,0,5,1,0,2,0,47,0,0,0,0,25,6,0,158,0,0,2,0,0,0,0,0,14,0,0,1,3,0,0,0
72,1701,510,4,1,0,1,6,27,82,32,2,3,4,60,33,3,0,3,27,0,9,0,2,4,2,0,1,0,54,0,5,0,0,17,4,0,111,0,0,2,0,0,0,0,0,9,0,0,0,2,0,0,0
77,1819,539,1,4,0,3,3,60,53,25,0,1,0,64,47,3,0,1,17,0,16,0,2,4,0,0,0,0,57,0,0,0,0,42,0,0,121,0,0,6,0,0,0,0,0,7,0,0,0,2,0,0,0
82,1937,607,0,5,0,1,2,49,50,43,2,2,0,104,25,0,0,2,26,0,0,0,0,0,0,0,0,0,48,0,4,0,0,39,2,0,192,1,0,2,0,0,0,0,0,5,0,0,1,2,0,0,0
87,2055,560,0,1,0,0,0,45,58,52,0,2,2,70,30,7,0,2,13,0,14,0,1,1,0,0,2,0,63,0,0,0,0,60,3,1,114,2,0,2,0,0,0,0,0,11,0,4,0,0,0,0,0
92,2173,533,0,3,0,0,1,34,32,27,1,1,0,53,22,2,0,2,23,0,6,0,1,0,0,0,1,0,43,0,0,0,0,124,0,0,147,0,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0
97,2291,394,0,2,0,0,0,19,24,27,1,1,0,61,8,5,0,1,15,0,8,0,0,2,0,0,1,26,43,0,4,1,0,40,0,0,85,0,0,0,0,0,0,0,0,17,0,0,0,2,1,0,0
102,2409,438,3,4,0,0,1,21,47,21,0,2,0,51,6,11,0,1,26,0,5,0,0,2,0,0,3,1,26,0,2,0,0,37,21,0,138,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0
107,2528,476,0,3,0,0,0,29,64,20,0,0,0,100,17,15,0,2,11,0,4,0,0,0,0,0,2,7,51,0,1,2,0,20,18,0,105,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
112,2603,671,3,6,0,3,2,53,138,63,1,8,0,67,36,6,0,0,29,0,6,0,2,1,0,0,5,2,43,0,10,8,0,22,11,0,128,1,0,0,0,0,0,0,0,10,0,0,1,6,0,0,0
117,2674,301,0,1,0,1,2,13,80,11,0,1,2,31,5,2,0,0,3,0,8,0,0,0,0,0,1,0,15,0,2,0,0,48,0,0,64,0,0,0,0,0,0,0,0,2,0,2,1,6,0,0,0
122,2744,559,0,4,0,0,0,15,64,28,0,2,0,155,27,11,0,1,12,0,23,0,0,0,0,0,0,6,39,0,0,2,0,21,14,0,112,9,0,2,0,0,0,0,0,4,0,0,0,8,0,0,0
127,2815,482,10,1,0,1,0,20,46,19,1,6,0,118,18,4,0,1,9,0,6,0,1,1,0,0,3,2,55,0,3,2,0,18,13,0,102,0,0,4,0,0,0,0,0,12,0,0,0,6,0,0,0
132,2885,446,4,2,0,1,1,26,73,10,0,3,0,99,27,2,0,0,15,0,8,0,0,1,0,0,2,6,44,0,0,0,0,18,19,0,74,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0
137,2956,410,7,4,0,1,0,27,86,11,0,5,0,111,16,3,0,1,15,0,10,0,0,0,0,0,0,6,30,0,1,0,0,6,6,0,51,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0
142,3027,582,3,1,0,1,0,31,103,6,0,15,0,197,10,1,0,2,17,0,25,0,1,0,0,0,0,12,31,0,5,0,0,17,8,0,82,0,0,2,0,0,0,0,0,10,0,0,0,1,0,1,0
147,3097,506,2,3,0,2,0,27,138,9,1,10,0,133,7,0,0,1,7,0,10,0,0,0,0,0,0,15,44,0,6,0,0,7,4,0,74,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
152,3168,363,2,0,0,1,0,20,55,4,0,1,0,121,5,2,0,1,8,0,5,0,0,0,0,0,2,8,18,0,2,0,0,21,16,0,60,2,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0
157,3239,516,1,6,0,2,0,20,81,14,0,8,0,159,10,10,0,0,8,0,7,0,0,0,0,0,1,5,32,0,2,0,0,29,18,0,95,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0
162,3309,550,2,5,0,3,0,37,90,30,2,11,0,132,23,2,0,0,13,0,10,0,1,0,0,0,0,9,54,0,7,4,0,10,4,0,83,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0
167,3380,494,0,5,0,0,0,81,65,14,2,7,0,128,29,0,0,0,12,0,8,0,0,0,0,1,0,2,33,0,6,2,0,2,5,0,73,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0
172,3451,572,3,4,0,2,0,31,93,5,1,14,0,194,17,0,0,1,8,0,9,0,0,1,0,0,2,7,43,0,3,3,0,8,1,0,93,0,0,10,0,0,0,0,0,16,0,2,0,0,0,0,1
177,3521,401,0,6,0,1,0,31,100,6,1,23,0,112,8,0,0,1,9,0,9,0,1,0,0,0,0,3,20,0,0,3,0,6,3,0,50,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
182,3584,431,1,3,0,3,1,23,132,1,0,5,0,131,1,0,0,1,1,0,8,0,0,1,0,0,0,7,26,0,0,5,0,27,2,0,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
187,3646,688,29,2,0,0,0,22,233,0,1,8,0,195,3,1,0,0,6,0,24,0,1,1,0,0,0,3,38,0,1,1,0,28,1,0,70,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0
192,3708,512,5,0,0,1,0,15,139,7,1,16,0,158,12,3,0,0,7,0,8,0,2,0,0,0,1,4,26,0,1,0,0,42,8,0,47,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
202,3832,472,0,2,0,0,0,13,160,5,2,7,0,125,7,1,0,7,19,0,11,0,0,1,0,0,0,0,26,0,4,1,0,34,4,0,34,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0
207,3894,289,6,2,0,0,2,17,69,10,0,6,0,0,8,3,0,2,12,0,7,0,0,4,0,0,0,2,32,0,7,7,0,50,5,0,26,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0
212,3956,321,3,5,0,1,0,22,95,1,0,11,0,99,2,3,0,2,6,0,3,0,1,7,0,0,0,2,6,0,1,3,0,25,0,0,10,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,1
217,4018,433,9,6,0,2,2,21,89,7,0,7,0,130,11,0,0,0,13,0,13,0,0,8,0,0,0,4,23,0,4,0,0,48,3,0,26,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1
222,4080,489,23,2,0,3,2,29,43,15,3,9,0,134,3,0,0,0,2,0,11,0,1,2,0,0,0,7,33,0,4,6,0,70,12,0,33,0,0,1,0,0,28,0,0,12,0,0,0,0,0,0,1
227,4142,588,7,2,0,1,2,39,26,3,0,5,0,103,11,0,0,0,6,0,9,0,2,0,0,0,0,17,36,0,6,3,0,13,2,0,28,0,0,4,0,0,256,0,0,7,0,0,0,0,0,0,0
232,4204,478,11,10,0,0,1,15,36,2,0,4,0,122,7,0,0,2,3,0,13,0,0,5,0,0,0,26,16,0,4,1,0,56,0,0,14,0,0,2,0,0,121,0,0,6,0,1,0,0,0,0,0
237,4266,730,18,37,0,4,2,52,37,7,2,8,0,238,8,0,0,3,18,0,14,0,1,5,0,0,0,15,47,0,3,3,0,112,0,0,21,0,0,17,0,0,26,0,0,32,0,0,0,0,0,0,0
242,4328,404,11,13,0,0,1,28,18,1,1,3,0,117,4,0,0,0,4,0,4,0,2,3,0,0,0,5,29,0,1,2,0,128,0,0,7,0,0,3,0,0,7,0,0,12,0,0,0,0,0,0,0
