"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Fabaceae","Fraxinus","Juglans","Larix","Liliaceae","Malvaceae","Myriophyllum","Nuphar","Onagraceae","Ostrya.Carpinus","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Populus","Portulacaceae","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae","Sagittaria","Salix","Sparganium.type","Thalictrum","Typha.latifolia","Ulmus","Unknown"
450,NA,0,0,2,2,0,0,1,3,1,0,0,0,5,100,0,1,0,0,0,0,0,0,0,0,166,6,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
458,NA,0,3,2,2,0,0,1,2,2,0,0,0,6,52,0,0,0,0,0,0,0,0,0,0,145,63,11,0,1,1,0,0,2,0,0,0,1,2,1,0,0,0,2
468,NA,0,2,3,2,0,0,2,8,2,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,164,50,10,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1
478,NA,0,0,0,1,0,0,2,4,1,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,161,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,NA,1,2,0,3,0,0,3,7,4,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,129,102,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
497,NA,0,1,0,5,0,0,3,3,2,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,132,109,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1
508,NA,0,1,0,6,1,0,2,4,2,0,0,0,4,56,0,0,0,0,0,0,0,0,0,0,105,104,4,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1
517,NA,0,0,1,7,1,0,2,4,0,0,0,0,1,27,0,0,0,1,0,0,0,1,0,0,163,77,8,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,1
528,24287,0,1,2,3,2,0,2,5,2,0,0,0,4,69,0,0,0,0,0,0,0,0,0,0,81,114,7,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,1
537,24625,0,0,5,5,3,0,0,11,1,0,0,0,7,59,0,0,0,0,0,1,0,0,1,0,44,146,4,0,0,1,0,0,3,0,0,0,2,2,1,0,0,1,3
550,25114,0,0,11,7,3,0,3,25,3,0,0,0,6,57,0,0,0,0,0,0,0,0,0,0,21,138,8,0,0,2,0,0,2,8,0,0,0,0,1,1,0,0,4
560,25490,0,0,49,6,6,0,3,29,3,0,0,0,11,53,0,0,0,0,1,0,0,0,0,2,6,104,9,0,0,4,3,0,1,0,0,0,2,1,0,0,0,0,4
566,25715,0,0,73,2,4,0,1,26,9,0,0,0,11,62,0,0,0,0,1,0,2,0,0,2,6,84,2,0,0,0,0,0,4,4,1,1,0,1,0,2,0,0,1
578,26167,0,1,62,2,3,0,1,29,9,0,0,0,5,70,0,0,0,0,0,0,4,0,0,5,2,90,5,0,1,0,0,1,2,3,0,0,0,2,0,1,0,0,2
589,26580,0,1,82,0,3,0,0,10,1,0,0,0,2,88,0,0,0,0,0,0,0,0,0,1,4,102,4,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,1
600,26993,0,0,51,4,6,0,0,10,2,0,0,0,1,108,1,0,0,0,0,0,0,0,0,1,0,106,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2
610,27369,0,0,59,2,6,0,3,28,2,1,0,0,2,101,0,0,1,1,0,0,0,0,0,0,3,76,5,0,1,0,0,0,5,0,0,1,0,2,0,0,0,0,1
620,28094,0,1,38,1,4,0,1,9,4,0,0,0,2,104,0,1,1,1,0,0,0,0,0,1,10,101,9,0,0,1,0,0,4,0,0,1,0,1,0,1,0,0,1
630,28820,0,0,45,1,10,1,0,15,8,0,0,0,6,95,0,0,0,0,0,0,0,0,0,2,2,98,4,0,0,0,0,0,3,0,0,2,2,4,0,1,0,0,2
640,29545,0,0,39,4,3,0,2,19,3,0,0,0,8,101,0,1,0,1,0,0,0,0,0,0,4,84,12,0,0,6,0,2,3,0,0,1,0,3,1,1,0,0,2
650,30270,0,1,50,5,3,0,6,16,20,0,0,0,1,88,2,0,0,0,0,0,0,0,0,1,0,57,9,0,1,0,0,2,20,0,0,1,3,3,6,2,0,0,3
661,31067,0,2,63,9,1,0,1,16,13,0,1,0,7,101,0,0,0,0,0,0,0,0,0,3,0,43,13,0,1,4,0,1,12,0,0,0,2,1,3,0,0,0,3
670,31581,0,1,17,30,1,2,1,35,63,5,0,0,3,85,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,1,3,0,0,0,5,1,9,0,0,0,5
680,32153,0,1,15,15,1,0,4,37,72,0,0,6,0,68,0,1,0,0,0,0,0,0,0,2,1,37,11,1,0,0,0,0,5,1,0,0,4,0,13,1,1,0,3
691,32781,0,0,19,12,1,0,1,21,28,0,0,0,7,108,0,5,0,0,0,0,0,0,0,6,1,43,12,1,0,8,0,2,9,0,0,0,1,1,1,2,0,0,3
710,33866,0,1,7,8,0,0,3,30,2,0,0,0,4,117,1,1,0,0,0,0,0,0,0,0,1,87,12,2,0,3,0,2,8,0,0,0,1,1,1,0,0,0,8
730,NA,1,0,4,5,0,0,2,9,1,0,0,0,7,140,0,3,0,0,0,0,0,0,0,1,2,104,4,0,0,3,0,0,4,0,0,0,0,3,0,0,1,0,1
