"sample.depths","sample.ages","Betula","Cyperaceae","Picea","Quercus","Salix","Tsuga","Alnus","Ambrosia","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.strobus","Pinus.banksiana.P..resinosa","Artemisia","Carya","Ulmus","Acer.saccharum","Larix","Myrica.gale","Corylus","Fagus","Fraxinus.nigra","Ostrya","Ericaceae","Populus","Rosaceae","Cupressaceae","Fraxinus.americana","Asteraceae.subf..Asteroideae.undiff.","Ranunculus","Juglans.cinerea","Platanus","Thalictrum","Shepherdia.canadensis"
1,-21,0.0737327188940092,0.00460829493087558,0.0967741935483871,0.00460829493087558,0.0138248847926267,0.00921658986175115,0.00460829493087558,0.0276497695852535,0.0230414746543779,0.00460829493087558,0.0184331797235023,0.248847926267281,0.470046082949309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56,0.0723981900452489,0.0135746606334842,0.0769230769230769,0,0.00452488687782805,0.00452488687782805,0.00904977375565611,0.0316742081447964,0.00904977375565611,0.0180995475113122,0.00904977375565611,0.230769230769231,0.502262443438914,0.00452488687782805,0.00452488687782805,0.00452488687782805,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,595,0.0634146341463415,0.0048780487804878,0.097560975609756,0.0146341463414634,0.0048780487804878,0.0097560975609756,0.0097560975609756,0,0,0,0.0146341463414634,0.414634146341463,0.321951219512195,0,0,0.0097560975609756,0,0.0292682926829268,0.0048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1586,0.144927536231884,0.00483091787439614,0.140096618357488,0.00483091787439614,0,0,0.00966183574879227,0.00483091787439614,0.00483091787439614,0,0.0241545893719807,0.270531400966184,0.36231884057971,0.00483091787439614,0,0.00483091787439614,0,0,0,0.00483091787439614,0.00483091787439614,0.00483091787439614,0.00483091787439614,0,0,0,0,0,0,0,0,0,0,0
40,1920,0.176190476190476,0.0142857142857143,0.0285714285714286,0.00952380952380952,0,0.00952380952380952,0.019047619047619,0.00476190476190476,0,0,0.00952380952380952,0.352380952380952,0.347619047619048,0.00476190476190476,0,0.00476190476190476,0.00476190476190476,0,0.00476190476190476,0,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2255,0.19811320754717,0.0141509433962264,0.0424528301886792,0.00471698113207547,0,0.00943396226415094,0.0283018867924528,0.00471698113207547,0,0,0.00943396226415094,0.316037735849057,0.344339622641509,0,0,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00943396226415094,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2589,0.198067632850242,0,0.0338164251207729,0.0144927536231884,0,0.00483091787439614,0.0338164251207729,0,0,0,0.0144927536231884,0.285024154589372,0.376811594202899,0,0,0.0241545893719807,0,0.00966183574879227,0,0,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0,0,0
70,2923,0.199074074074074,0.00925925925925926,0.0509259259259259,0,0.00925925925925926,0,0.0416666666666667,0,0,0,0.00925925925925926,0.49537037037037,0.12962962962963,0,0,0.00925925925925926,0.00925925925925926,0.00925925925925926,0.00462962962962963,0,0.00462962962962963,0,0.00462962962962963,0.00925925925925926,0.00462962962962963,0,0,0,0,0,0,0,0,0
80,3258,0.115207373271889,0.0276497695852535,0.0414746543778802,0.0138248847926267,0,0.00460829493087558,0.032258064516129,0,0,0,0,0.56221198156682,0.170506912442396,0.00921658986175115,0,0.00921658986175115,0,0,0.00460829493087558,0,0,0.00460829493087558,0,0,0,0.00460829493087558,0,0,0,0,0,0,0,0
90,3592,0.147465437788018,0.0138248847926267,0.0230414746543779,0.0184331797235023,0.00460829493087558,0.00921658986175115,0.0414746543778802,0,0,0,0.00460829493087558,0.442396313364055,0.253456221198157,0.0184331797235023,0,0.00460829493087558,0,0,0,0,0.00460829493087558,0,0.00921658986175115,0,0,0,0.00460829493087558,0,0,0,0,0,0,0
100,3927,0.159817351598174,0.0182648401826484,0.0319634703196347,0.0182648401826484,0,0,0.0593607305936073,0,0,0,0.0045662100456621,0.493150684931507,0.17351598173516,0.0091324200913242,0,0.0228310502283105,0,0,0,0,0.0045662100456621,0,0.0045662100456621,0,0,0,0,0,0,0,0,0,0,0
110,4261,0.112676056338028,0.0328638497652582,0.0140845070422535,0.0328638497652582,0,0,0.0234741784037559,0,0.00469483568075117,0,0.00469483568075117,0.539906103286385,0.192488262910798,0,0,0.028169014084507,0.00469483568075117,0.00469483568075117,0,0,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4596,0.169724770642202,0.0275229357798165,0.0321100917431193,0.018348623853211,0.00458715596330275,0,0.0412844036697248,0,0.00458715596330275,0.00458715596330275,0.0137614678899083,0.435779816513761,0.197247706422018,0,0,0.018348623853211,0.00458715596330275,0,0,0,0,0.0229357798165138,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,0
130,4930,0.0469483568075117,0.0375586854460094,0.00469483568075117,0.00469483568075117,0,0,0.0187793427230047,0.00469483568075117,0,0,0.00938967136150235,0.610328638497653,0.253521126760563,0,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0,0.00469483568075117,0,0,0,0,0,0,0
140,5264,0.104265402843602,0.023696682464455,0.028436018957346,0.033175355450237,0,0.004739336492891,0.018957345971564,0,0.004739336492891,0,0.009478672985782,0.535545023696682,0.18957345971564,0.004739336492891,0,0.014218009478673,0,0.004739336492891,0,0,0.004739336492891,0.004739336492891,0.009478672985782,0,0,0,0,0.004739336492891,0,0,0,0,0,0
150,5599,0.0531400966183575,0.0289855072463768,0,0,0,0.00483091787439614,0,0,0.00483091787439614,0,0,0.695652173913043,0.202898550724638,0,0,0.00483091787439614,0,0,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5933,0.024390243902439,0.0146341463414634,0.0048780487804878,0,0,0,0.0097560975609756,0,0,0,0,0.546341463414634,0.375609756097561,0,0,0.0146341463414634,0,0,0,0,0.0048780487804878,0,0.0048780487804878,0,0,0,0,0,0,0,0,0,0,0
170,6268,0.0198019801980198,0.00495049504950495,0.0099009900990099,0.0198019801980198,0,0,0.00495049504950495,0,0,0,0,0.648514851485149,0.277227722772277,0,0,0.00495049504950495,0.00495049504950495,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,6602,0.0536585365853659,0,0.0195121951219512,0.0195121951219512,0,0,0.0048780487804878,0.0048780487804878,0.0048780487804878,0,0,0.521951219512195,0.326829268292683,0,0,0.0146341463414634,0,0,0.0048780487804878,0,0,0.0097560975609756,0.0048780487804878,0,0,0,0,0.0048780487804878,0.0048780487804878,0,0,0,0,0
190,6937,0.0198019801980198,0,0,0.0099009900990099,0,0,0,0.00495049504950495,0.00495049504950495,0,0.0099009900990099,0.613861386138614,0.316831683168317,0,0,0.0099009900990099,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0
200,7271,0.0245098039215686,0,0.0196078431372549,0.0147058823529412,0,0.00490196078431373,0,0.00490196078431373,0,0,0.00980392156862745,0.715686274509804,0.147058823529412,0.00980392156862745,0,0.0245098039215686,0,0,0,0,0,0.00980392156862745,0.00490196078431373,0,0,0,0,0.00980392156862745,0,0,0,0,0,0
210,7647,0.0568720379146919,0.028436018957346,0.004739336492891,0,0,0.009478672985782,0.014218009478673,0,0,0,0.004739336492891,0.66824644549763,0.165876777251185,0,0,0.009478672985782,0,0,0.009478672985782,0,0,0.004739336492891,0.018957345971564,0,0,0,0,0.004739336492891,0,0,0,0,0,0
