"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
10,12,0.001445087,0.00433526,0.007225434,0,0.01734104,0.001445087,0.164739884,0,0.015895954,0.033236994,0,0,0,0,0.00433526,0.001445087,0.01734104,0.00433526,0,0.002890173,0.002890173,0,0,0.001445087,0,0,0.01734104,0.001445087,0.002890173,0,0.007225434,0.023121387,0.098265896,0.00433526,0,0.310693642,0,0,0,0,0.001445087,0.030346821,0.00867052,0,0.066473988,0,0,0.001445087,0,0,0.007225434,0.00433526,0,0,0,0,0.050578035,0,0,0,0.002890173,0.080924855,0,0,0
11,31,0,0.008207934,0.005471956,0.002735978,0.013679891,0,0.140902873,0.002735978,0.020519836,0.038303694,0,0.006839945,0,0,0.004103967,0.001367989,0.045143639,0.005471956,0.004103967,0.001367989,0.001367989,0.001367989,0,0.001367989,0.001367989,0,0.02872777,0.002735978,0.006839945,0.004103967,0.009575923,0.013679891,0.071135431,0.001367989,0,0.299589603,0,0,0,0,0.001367989,0.027359781,0.008207934,0,0.060191518,0,0,0,0,0,0.002735978,0.005471956,0,0,0,0.001367989,0.088919289,0,0,0,0.001367989,0.05745554,0.001367989,0,0
12,35,0,0.002886003,0.005772006,0,0.038961039,0.004329004,0.157287157,0,0.023088023,0.056277056,0,0.004329004,0,0.001443001,0.004329004,0,0.027417027,0.008658009,0.002886003,0.001443001,0,0.001443001,0,0.001443001,0,0,0.017316017,0,0,0.004329004,0,0.01010101,0.082251082,0.004329004,0,0.304473304,0,0,0,0,0.001443001,0.027417027,0.01010101,0,0.050505051,0,0,0.001443001,0,0,0,0.007215007,0,0,0,0,0.067821068,0,0,0,0.001443001,0.067821068,0,0,0
13,42,0,0.008253095,0.008253095,0,0.031636864,0,0.105914718,0.002751032,0.012379642,0.028885832,0,0.006877579,0,0.002751032,0.001375516,0,0.024759285,0.005502063,0.001375516,0.001375516,0,0.001375516,0,0,0,0,0.011004127,0.001375516,0.001375516,0.005502063,0.002751032,0.019257221,0.077028886,0.002751032,0,0.370013755,0,0,0,0,0,0.031636864,0.008253095,0,0.056396149,0,0.001375516,0.002751032,0,0,0.001375516,0.002751032,0,0,0,0,0.09215956,0,0,0,0,0.067400275,0,0,0.001375516
14,45,0,0.004273504,0.015669516,0,0.02991453,0.002849003,0.132478632,0,0.011396011,0.022792023,0,0.005698006,0,0.001424501,0.004273504,0,0.034188034,0.004273504,0.001424501,0.008547009,0,0.001424501,0,0.001424501,0.001424501,0,0.044159544,0.001424501,0.001424501,0.004273504,0.004273504,0.014245014,0.066951567,0,0.001424501,0.364672365,0,0,0,0,0,0.042735043,0.007122507,0,0.04985755,0,0,0.002849003,0,0,0,0.004273504,0,0,0,0,0.04985755,0,0,0,0,0.056980057,0,0,0
16,51,0,0.004291845,0.00286123,0,0.027181688,0.00286123,0.118741059,0,0.017167382,0.018597997,0,0.007153076,0,0,0.00286123,0,0.035765379,0.00286123,0.001430615,0.005722461,0.001430615,0.001430615,0,0.001430615,0.001430615,0,0.022889843,0.001430615,0.00286123,0.005722461,0.004291845,0.028612303,0.092989986,0.001430615,0,0.357653791,0,0,0,0,0,0.051502146,0.004291845,0,0.0472103,0,0.001430615,0.00286123,0,0,0,0.007153076,0,0,0,0,0.040057225,0,0,0,0,0.074391989,0,0,0
18,61,0,0.00311042,0.00622084,0,0.046656299,0.00155521,0.138413686,0,0.027993779,0.038880249,0,0.00155521,0,0.00311042,0.00311042,0,0.027993779,0.00777605,0,0.00311042,0,0,0,0.00155521,0,0,0.0155521,0,0,0,0.00311042,0.00933126,0.111975117,0.00311042,0,0.356143079,0,0,0,0,0.00311042,0.034214619,0.00777605,0,0.027993779,0,0,0,0,0,0,0,0,0,0,0.00155521,0.065318818,0,0,0,0,0.049766719,0,0,0
20,71,0,0.0016,0.0128,0,0.0416,0.0016,0.1184,0,0.0208,0.0192,0,0.0032,0,0.0032,0.0032,0,0.04,0.0032,0.0032,0.0048,0,0,0,0.0016,0,0,0.016,0,0.0048,0.0096,0,0.0192,0.0704,0.0032,0,0.4368,0,0,0,0,0.0016,0.0352,0.008,0,0.0192,0,0.0016,0.0032,0,0,0,0.0032,0,0,0,0,0.0288,0,0,0,0.0048,0.056,0,0,0
22.5,81,0.001526718,0.004580153,0.01221374,0,0.045801527,0.001526718,0.119083969,0.004580153,0.018320611,0.032061069,0,0.003053435,0,0.001526718,0.004580153,0,0.027480916,0.004580153,0.004580153,0.004580153,0,0.001526718,0,0.001526718,0.001526718,0,0.016793893,0,0.003053435,0.004580153,0.009160305,0.025954198,0.087022901,0.004580153,0,0.39389313,0,0,0,0,0.003053435,0.036641221,0.007633588,0,0.019847328,0,0.001526718,0.004580153,0,0,0,0.004580153,0,0,0,0,0.024427481,0,0,0,0.001526718,0.05648855,0,0,0
24.5,92,0,0.003034901,0.010622155,0,0.031866464,0.001517451,0.125948407,0.012139605,0.02124431,0.030349014,0,0.025796662,0,0,0.001517451,0,0.031866464,0.007587253,0.004552352,0.003034901,0,0,0,0.001517451,0.001517451,0,0.018209408,0,0,0.007587253,0.004552352,0.024279211,0.063732929,0.001517451,0,0.412746586,0,0,0,0,0.001517451,0.024279211,0.007587253,0,0.027314112,0,0,0,0,0,0,0.007587253,0,0,0,0,0.028831563,0,0,0,0,0.056145675,0,0,0
