"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae.Taxaceae","Fagus","Fraxinus","Juglans","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Spore..monolete.","Spore..trilete.","Indeterminable..crumpled."
1,-38,0,1,3,14,1,1,0,2,3,3,0,1,0,87,135,0,0,0,43,8,2,0,3,4,0,0,6
9,53,0,3,6,15,1,0,0,0,5,13,0,0,0,149,60,0,0,1,42,3,1,1,0,4,1,0,5
19,167,0,1,7,15,2,0,0,0,5,7,0,1,1,181,61,0,3,0,46,6,2,0,3,2,1,1,5
29,280,0,0,3,15,0,1,0,1,0,7,0,1,1,171,78,0,2,2,28,0,1,0,1,5,1,0,5
39,394,0,0,4,24,0,1,0,1,2,5,3,1,0,156,100,0,0,1,34,4,0,2,0,0,0,0,0
49,507,1,0,2,27,1,0,1,0,0,4,0,0,0,173,85,0,8,1,3,0,1,0,1,5,1,0,4
59,620,1,0,2,25,0,1,0,0,1,4,1,0,0,188,78,0,5,0,4,2,0,1,0,1,0,0,6
69,724,0,0,2,38,0,0,0,0,1,5,1,0,1,153,104,0,5,2,1,0,0,0,0,1,5,1,2
79,828,0,0,6,47,2,0,0,0,1,1,1,0,0,154,117,0,4,0,0,0,1,7,0,0,0,0,0
89,933,2,1,4,35,3,0,1,0,2,7,1,0,1,93,145,0,5,0,1,2,1,2,0,2,0,1,2
99,1037,0,0,5,64,0,0,0,0,3,2,1,0,0,143,105,0,6,0,3,0,0,5,0,0,2,0,3
109,1141,0,1,4,46,1,0,1,0,1,6,0,1,0,138,114,0,4,0,2,0,0,0,0,2,2,1,0
119,1245,1,0,4,43,0,0,0,0,2,2,1,0,0,136,143,0,3,2,1,0,0,2,0,0,0,0,0
129,1349,1,0,4,49,0,1,1,0,0,1,0,0,1,134,109,0,2,0,2,1,1,0,0,1,0,1,1
139,1453,0,0,6,61,0,0,0,0,2,0,0,0,0,127,117,1,2,0,2,1,2,0,0,1,2,0,4
149,1557,0,0,4,86,1,2,1,0,2,3,0,0,1,118,85,0,3,0,1,0,0,1,0,1,0,2,2
159,1661,0,0,7,46,0,1,1,0,4,1,1,0,0,104,146,0,4,0,3,0,3,0,0,3,2,0,1
169,1765,1,2,0,48,0,0,0,0,2,6,1,0,2,125,117,0,9,1,0,0,2,2,0,0,0,0,0
179,1869,0,1,3,50,1,0,0,0,3,3,0,0,0,155,82,0,5,0,0,1,0,1,0,3,1,0,0
